learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.019222747,1.7001481789785125E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,14.0,4528.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.123212885,1.1350549511125105E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,36.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.188045151,1.7367190620698448E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,54.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.22526406,2.0825229590154357E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,64.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.262971327,2.4333012490618147E-8,5000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,19.0,4536.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.284738392,2.6357975930267324E-8,6000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,45.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.314725362,2.914762708056511E-8,7000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,67.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.345264713,3.198866555982786E-8,8000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,88.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.374869088,3.474278563450608E-8,9000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,112.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.404625224,3.7511085746991965E-8,10000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,131.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.434131939,4.0256181496439705E-8,11000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,150.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.463664838,4.3003713219770127E-8,12000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,171.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.493349778,4.576538976074093E-8,13000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,191.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.525959734,4.880202364023361E-8,14000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,216.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.555293998,5.1533625605362986E-8,15000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,232.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.584789662,5.428025711264047E-8,16000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,242.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.614332683,5.7031298496172656E-8,17000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,262.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.643772717,5.977274974676056E-8,18000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,281.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.673390784,6.253077940179242E-8,19000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,296.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.711710201,6.614451976161657E-8,20000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,315.0,4560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.75132564,6.983235525923264E-8,21000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,0.0,5.0,4448.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.782519183,7.273702842870106E-8,22000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,0.0,28.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.812282283,7.550850193558054E-8,23000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,1.0,47.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.84201768,7.827739580087157E-8,24000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,0.0,64.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.87172475,8.104365191908554E-8,25000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,0.0,77.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.901191019,8.37874851851124E-8,26000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,0.0,94.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.930891063,8.655308705787279E-8,27000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,0.0,106.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.961197214,8.937512826298882E-8,28000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,0.0,128.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.991438667,9.219114493460706E-8,29000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,1.0,148.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.021586376,9.499843237397366E-8,30000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,1.0,171.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.051646734,9.779758588299363E-8,31000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,0.0,191.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.082745297,1.0069347908841033E-7,32000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,0.0,216.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.112471661,1.0346159334273596E-7,33000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,1.0,250.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.146997066,1.067118917903118E-7,34000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,1.0,270.0,4560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.176636399,1.0950220454803566E-7,35000.0,26.0,3.0,1.0,898.0,34.53846153846154,662.6,0.0,1.0,0.0,290.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
