learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.023694914,2.0881351767190628E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,53.0,4528.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.129246124,1.193583359286603E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,96.0,4536.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.204235696,1.893219762708164E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,146.0,4536.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.265077657,2.460887215078705E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,197.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.312278351,2.903818823137217E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,250.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.338082126,3.145966949679992E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,300.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.365712457,3.4052558671894173E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,344.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.388410375,3.618257969405916E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,397.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.411729694,3.8380904502806567E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,453.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.433425583,4.0426187687814236E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,522.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.465033612,4.340589366920706E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,575.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.486541371,4.544265584169369E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,623.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.507348959,4.741311255636521E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,673.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.52808268,4.937657414377149E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,720.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.549042762,5.136147187997069E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,774.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.57057184,5.3409476176872846E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,826.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.591347237,5.538578479193978E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,869.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.612273047,5.7376401798211857E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,932.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.6330645,5.935423777812884E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,981.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.665103414,6.244703807766651E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1028.0,8328.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
21000.0,0.693136967,6.516641858276598E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1083.0,9072.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
22000.0,0.727901451,6.853872961517214E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1125.0,9072.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
23000.0,0.759568241,7.161068149719593E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,1183.0,9088.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
24000.0,0.787024236,7.419806381943531E-8,24000.0,44.0,0.0,1.0,3376.0,76.72727272727273,0.9767441860465116,0.0,1.0,0.0,29.0,4552.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.808287313,7.620188549043402E-8,25000.0,44.0,0.0,1.0,3376.0,76.72727272727273,0.9767441860465116,0.0,1.0,0.0,79.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.829188893,7.817163986615835E-8,26000.0,44.0,0.0,1.0,3376.0,76.72727272727273,0.9767441860465116,0.0,1.0,1.0,138.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.851829768,8.030530452698674E-8,27000.0,44.0,0.0,1.0,3376.0,76.72727272727273,0.9767441860465116,0.0,1.0,1.0,187.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.873217176,8.233000563373373E-8,28000.0,44.0,0.0,1.0,3376.0,76.72727272727273,0.9767441860465116,0.0,1.0,1.0,235.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.89408163,8.43051997809381E-8,29000.0,44.0,0.0,1.0,3376.0,76.72727272727273,0.9767441860465116,0.0,1.0,0.0,278.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.915441233,8.632726864658916E-8,30000.0,44.0,0.0,1.0,3376.0,76.72727272727273,0.9767441860465116,0.0,1.0,0.0,330.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,0.936758285,8.834530929821853E-8,31000.0,44.0,0.0,1.0,3376.0,76.72727272727273,0.9767441860465116,0.0,1.0,1.0,372.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
