learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.354761245,1.4544229653258293E-7,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,17.0,1604512.0
2000.0,0.963299937,5.829461413750052E-7,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,30.0,2779048.0
3000.0,1.458070024,1.1680876787656401E-6,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,57.0,4571512.0
4000.0,1.679640008,1.4420384229404913E-6,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,71.0,4779296.0
5000.0,1.931124544,1.7688574759685516E-6,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,95.0,5023952.0
6000.0,2.146253929,2.051157908675083E-6,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,113.0,5072408.0
7000.0,2.372017158,2.3521156964027985E-6,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,138.0,5152936.0
8000.0,2.622156421,2.693590001715374E-6,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,160.0,5276896.0
9000.0,2.979801398,3.211464982004633E-6,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,182.0,5597256.0
10000.0,3.34313769,3.779341324746745E-6,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,204.0,6041536.0
11000.0,3.650670064,4.297278953357239E-6,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,226.0,6510120.0
12000.0,4.02171736,4.9998673256020745E-6,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,261.0,7319376.0
13000.0,4.35158763,5.651839651073263E-6,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,281.0,7639912.0
14000.0,4.725674519,6.454246508560311E-6,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,303.0,8291336.0
15000.0,5.154011399,7.4226562509290685E-6,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,321.0,8739288.0
16000.0,5.668892436,8.642925741536645E-6,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,337.0,9161176.0
17000.0,6.204582368,9.979912669651131E-6,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,353.0,9647528.0
18000.0,6.590253488,1.0974086700580934E-5,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,366.0,9964320.0
19000.0,7.026658488,1.2161086630815353E-5,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,384.0,1.0513888E7
20000.0,7.56395182,1.372393534242117E-5,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,406.0,1.1243664E7
21000.0,8.128320209,1.548361594397816E-5,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,422.0,1.20524E7
22000.0,8.679519975,1.7264345120925395E-5,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,437.0,1.2487952E7
23000.0,9.233320014,1.91326266653642E-5,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,451.0,1.3040424E7
24000.0,9.826076967,2.1225538515873307E-5,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,473.0,1.364824E7
25000.0,13.024119945,4.3447982185751126E-5,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,501.0,2.686024E7
26000.0,14.165239972,5.13783966434225E-5,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,522.0,2.6863768E7
27000.0,15.097057543,5.7855117811869046E-5,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,544.0,2.6867464E7
28000.0,15.952031227,6.379831992670897E-5,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,560.0,2.6870152E7
29000.0,16.864060252,7.013900444840349E-5,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,582.0,2.6873848E7
30000.0,17.792106327,7.659177006630532E-5,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,600.0,2.6876872E7
31000.0,18.594688542,8.217283993448274E-5,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,619.0,2.6880064E7
32000.0,19.413201861,8.786540445575848E-5,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,639.0,2.6883424E7
33000.0,20.821796305,9.766294413977321E-5,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,657.0,2.6886448E7
34000.0,21.940309031,1.0544402317833341E-4,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,682.0,2.6890648E7
35000.0,23.057281888,1.1321497246495454E-4,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,694.0,2.6892664E7
