learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.019401383,1.7161483347002004E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,47.0,4544.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.125665304,1.149684701539783E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,93.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.190003261,1.7483326868911583E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,137.0,4560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.247912784,2.287165762933799E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,195.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.297712363,2.7510326300698024E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,243.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.329439952,3.046564793327823E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,300.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.365686661,3.384191088277433E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,339.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.403802877,3.739231232351727E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,389.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.441975607,4.094797785939028E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,440.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.47851795,4.4351778153609486E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,476.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.515613894,4.780714457884224E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,532.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.54752025,5.0779117775532516E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,578.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.577713315,5.359150349284625E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,629.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.608658132,5.6473912461782906E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,681.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.639553237,5.9351690919746955E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,742.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.670323292,6.221782137728607E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,789.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.702055981,6.517361805826426E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,844.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.732887714,6.804549362072308E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,891.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.763734623,7.091878277817948E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,945.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.795263756,7.38556188803932E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.828255529,7.692869513727725E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1050.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.866675368,8.051477286651731E-8,22000.0,0.0,1.0,1.0,0.0,?,?,1.0,0.0,0.0,1106.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.900863264,8.366905150348941E-8,23000.0,4.0,1.0,1.0,2541.0,635.25,0.6666666666666666,0.0,1.0,0.0,77.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.936063212,8.695844817536572E-8,24000.0,4.0,1.0,1.0,2541.0,635.25,0.6666666666666666,0.0,1.0,0.0,122.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.97069713,9.018957407072186E-8,25000.0,4.0,1.0,1.0,2541.0,635.25,0.6666666666666666,0.0,1.0,0.0,182.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.012475984,9.414201020989566E-8,26000.0,4.0,1.0,1.0,2541.0,635.25,0.6666666666666666,0.0,1.0,0.0,229.0,9016.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
27000.0,1.045240264,9.717396034683203E-8,27000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,1.0,75.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.076138241,1.0003320601303336E-7,28000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,1.0,124.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.106957281,1.0288514698497742E-7,29000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,0.0,163.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.142925997,1.0624355542599947E-7,30000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,0.0,212.0,7752.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
31000.0,1.174282633,1.0918113202536891E-7,31000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,1.0,257.0,8960.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
32000.0,1.205556404,1.1211152812116674E-7,32000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,1.0,303.0,9032.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
33000.0,1.236721085,1.1503170233134386E-7,33000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,1.0,356.0,9032.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
34000.0,1.267928728,1.1795628966612532E-7,34000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,1.0,414.0,9080.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
35000.0,1.299090763,1.2087660290115615E-7,35000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,0.0,461.0,9080.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
36000.0,1.330089785,1.2378176787729684E-7,36000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,0.0,503.0,9096.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
37000.0,1.361644297,1.267389922407497E-7,37000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,1.0,548.0,9096.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
38000.0,1.392752293,1.2965437003741453E-7,38000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,0.0,600.0,9096.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
39000.0,1.423818266,1.325658095244194E-7,39000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,1.0,640.0,9096.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
40000.0,1.457393691,1.357525242367428E-7,40000.0,27.0,1.0,1.0,2541.0,94.11111111111111,134.03846153846155,0.0,1.0,1.0,684.0,9096.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
41000.0,1.494055734,1.3914395264437833E-7,41000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,44.0,4432.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.519966592,1.415412162657351E-7,42000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,96.0,4488.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.541807059,1.435618887194432E-7,43000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,141.0,4488.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.563533193,1.4557202808806255E-7,44000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,183.0,4496.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.587116744,1.477543605398531E-7,45000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,232.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.609701307,1.4984425042727543E-7,46000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,290.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.631616135,1.5187216557541443E-7,47000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,338.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.653383916,1.5388647355133248E-7,48000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,385.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,1.675328074,1.5591714820229546E-7,49000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,430.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.696658608,1.5789103914335157E-7,50000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,476.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,1.717907091,1.5985733722594456E-7,51000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,535.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,1.73922657,1.6183020515630843E-7,52000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,590.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,1.760821745,1.6382858552048598E-7,53000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,628.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,1.782083279,1.6579609132017935E-7,54000.0,33.0,3.0,2.0,1550.5,93.96969696969697,581.3548387096774,0.0,2.0,0.0,668.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
