learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.050835459,5.12653632853801E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,38.0,16424.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.166184685,1.7447497103319815E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,82.0,16696.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.240303731,2.530158722571408E-8,3000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,2.0,20.0,15000.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.310230278,3.275830489521225E-8,4000.0,13.0,0.0,0.0,?,0.0,49.92307692307692,?,0.0,9.0,46.0,16760.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.345573606,3.653969948177536E-8,5000.0,13.0,0.0,0.0,?,0.0,49.92307692307692,?,0.0,0.0,84.0,16880.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.385972238,4.087717963048153E-8,6000.0,13.0,0.0,0.0,?,0.0,49.92307692307692,?,0.0,2.0,130.0,16888.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.424288158,4.4998261423293086E-8,7000.0,13.0,0.0,0.0,?,0.0,49.92307692307692,?,0.0,0.0,156.0,16896.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.459782173,4.8829715943655206E-8,8000.0,13.0,0.0,0.0,?,0.0,49.92307692307692,?,0.0,1.0,201.0,16928.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.500738185,5.316974066334052E-8,9000.0,61.0,0.0,0.0,?,0.0,101.06557377049181,?,0.0,8.0,19.0,15080.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.533746011,5.668793803181085E-8,10000.0,61.0,0.0,0.0,?,0.0,101.06557377049181,?,0.0,8.0,48.0,16568.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.56738046,6.028642946758824E-8,11000.0,61.0,0.0,0.0,?,0.0,101.06557377049181,?,0.0,8.0,92.0,16696.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.600993794,6.389344463008766E-8,12000.0,61.0,0.0,0.0,?,0.0,101.06557377049181,?,0.0,6.0,129.0,16736.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.634609063,6.751284224739506E-8,13000.0,61.0,0.0,0.0,?,0.0,101.06557377049181,?,0.0,6.0,168.0,16752.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.669310269,7.126008035330723E-8,14000.0,61.0,0.0,0.0,?,0.0,101.06557377049181,?,0.0,4.0,213.0,16760.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.703308225,7.49478422261402E-8,15000.0,61.0,0.0,0.0,?,0.0,101.06557377049181,?,0.0,6.0,264.0,16760.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.73717975,7.863072280351279E-8,16000.0,61.0,0.0,0.0,?,0.0,101.06557377049181,?,0.0,6.0,302.0,16760.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.771140699,8.233267453871046E-8,17000.0,61.0,0.0,0.0,?,0.0,101.06557377049181,?,0.0,9.0,341.0,16760.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.805377435,8.607949776624847E-8,18000.0,61.0,0.0,0.0,?,0.0,101.06557377049181,?,0.0,1.0,376.0,16760.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.840198266,8.990090925800717E-8,19000.0,61.0,0.0,0.0,?,0.0,101.06557377049181,?,0.0,5.0,420.0,16760.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.880179197,9.411460359668152E-8,20000.0,111.0,0.0,0.0,?,0.0,157.07207207207207,?,0.0,6.0,12.0,13048.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.914102052,9.772534625309209E-8,21000.0,111.0,0.0,1.0,0.0,0.0,157.07207207207207,1.0,0.0,1.0,54.0,15760.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.947644789,1.0131819079528045E-7,22000.0,111.0,0.0,1.0,0.0,0.0,157.07207207207207,1.0,0.0,3.0,103.0,16880.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
