learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.069924233,7.342145594571614E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,44.0,16776.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.182805302,1.986133697717347E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,94.0,16880.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.243601898,2.6629714458475097E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,144.0,16936.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.311832255,3.4257592847125814E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,201.0,16944.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.350279056,3.857440925955979E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,252.0,16944.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.392480128,4.332926333755462E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,308.0,16952.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.431514283,4.7737717732453926E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,347.0,16952.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.468026042,5.1880641424765604E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,395.0,16952.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.505129776,5.610233076183953E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,440.0,16952.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.541391108,6.023912781047945E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,483.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.57792768,6.442131404517218E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,538.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.61452031,6.863521159474014E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,597.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
