learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.027850676,2.6400235422617862E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,41.0,16704.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.14192066,1.385877606731322E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,76.0,16840.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.191489684,1.8734594485180245E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,109.0,16896.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.244214127,2.392090235285254E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,149.0,16904.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.283097366,2.7745782802305702E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,192.0,16912.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.309927747,3.0384932321129985E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,246.0,16944.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.341770536,3.3517189348849155E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,288.0,16952.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.373735006,3.666148183899207E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,327.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.405374942,3.977385045181131E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,370.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.437713732,4.29549641864457E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,408.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.469271918,4.605929118584013E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,439.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.500986472,4.917899984894113E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,481.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.532566676,5.2285492722884644E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,511.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.564188997,5.539612857704361E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,562.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.595383985,5.846472838484578E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,592.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.627473646,6.162133570833751E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,638.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.659226478,6.474480971552016E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,687.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.690703971,6.784119907684623E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,732.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.722171503,7.093660859093897E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,782.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.754127632,7.408008059059166E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,822.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.795861684,7.834837675222506E-8,21000.0,0.0,1.0,1.0,0.0,?,?,1.0,0.0,0.0,862.0,16960.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.830673033,8.177285615207007E-8,22000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,9.0,49.0,16504.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.862453467,8.490049232802044E-8,23000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,2.0,79.0,16664.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.89430648,8.803573274803038E-8,24000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,4.0,121.0,16720.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.925977638,9.115313902207754E-8,25000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,2.0,163.0,16728.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.95750991,9.425700520364982E-8,26000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,0.0,199.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.989406443,9.739672726643375E-8,27000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,1.0,230.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.021181529,1.0052456050579125E-7,28000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,5.0,262.0,16752.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.052722745,1.0362950291995579E-7,29000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,9.0,297.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.084181671,1.0672634464100623E-7,30000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,3.0,338.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.115695733,1.0982861399379247E-7,31000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,7.0,371.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.147623601,1.1297161873866492E-7,32000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,1.0,402.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.179097723,1.1606995636605346E-7,33000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,9.0,438.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.210724034,1.1918327559976527E-7,34000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,5.0,477.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.242400202,1.2230150279625007E-7,35000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,8.0,514.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.273998302,1.2541204491666206E-7,36000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,5.0,563.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.305307459,1.2849414325811588E-7,37000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,2.0,599.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.337097899,1.3162361948125684E-7,38000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,4.0,636.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.368846859,1.3474901238017404E-7,39000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,0.0,682.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.40037207,1.3785237924939642E-7,40000.0,36.0,1.0,1.0,1581.0,43.916666666666664,0.9714285714285714,0.0,1.0,7.0,707.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.429980776,1.4076708384061851E-7,41000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,0.0,742.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.451957298,1.4293047016261765E-7,42000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,9.0,773.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.47444197,1.4514387917517372E-7,43000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,2.0,824.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.496683159,1.4733331952736402E-7,44000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,4.0,862.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.520960244,1.4972317510264615E-7,45000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,2.0,911.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.542937573,1.5188664086636775E-7,46000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,0.0,945.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.565223338,1.5408046931548663E-7,47000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,1.0,992.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.587577941,1.5628107423212999E-7,48000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,5.0,1024.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,1.609685111,1.584573216472628E-7,49000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,9.0,1061.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.632004033,1.606544140978592E-7,50000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,3.0,1104.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,1.654059656,1.6282558718527354E-7,51000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,7.0,1140.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,1.676100079,1.649952639725866E-7,52000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,1.0,1198.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,1.698587716,1.6720896486210323E-7,53000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,9.0,1253.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,1.720787475,1.6939432681210957E-7,54000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,5.0,1291.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55000.0,1.742979141,1.7157889208075277E-7,55000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,8.0,1336.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56000.0,1.765248846,1.737711395706857E-7,56000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,5.0,1372.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57000.0,1.787762276,1.7598737954365708E-7,57000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,2.0,1417.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
58000.0,1.809814963,1.7815826360889398E-7,58000.0,36.0,1.0,2.0,790.5,43.916666666666664,0.9714285714285714,0.5,1.0,4.0,1465.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
