learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.032174207,2.9270719142961837E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,58.0,16856.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.139244998,1.3194866402037442E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,123.0,16912.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.189965377,1.8060490841853124E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,173.0,16944.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.253632395,2.416822284427782E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,213.0,16952.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.306053528,2.9196675761832546E-8,5000.0,12.0,0.0,0.0,?,0.0,0.9166666666666666,?,0.0,0.0,41.0,16448.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.349868738,3.339788985865191E-8,6000.0,30.0,0.0,0.0,?,0.0,45.5,?,0.0,1.0,29.0,16488.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.391789879,3.742304412051001E-8,7000.0,30.0,0.0,0.0,?,0.0,45.5,?,0.0,6.0,81.0,16904.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.439850798,4.1988089104534854E-8,8000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,8.0,9.0,13008.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.481003996,4.593771897354474E-8,9000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,8.0,55.0,16784.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.522124067,4.988638217830617E-8,10000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,0.0,107.0,16896.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.559113024,5.343895669261201E-8,11000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,7.0,143.0,16912.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.592423343,5.663932241755849E-8,12000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,7.0,200.0,16944.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.624812312,5.975170357541492E-8,13000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,1.0,242.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.657283224,6.28727653765306E-8,14000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,6.0,296.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.689677966,6.59869080824405E-8,15000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,5.0,348.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.721944532,6.908953043524177E-8,16000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,0.0,390.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.755348004,7.230188785824926E-8,17000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,4.0,449.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.787875784,7.543083924597751E-8,18000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,7.0,510.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.820204356,7.85414310666298E-8,19000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,9.0,565.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.85280543,8.167864732372265E-8,20000.0,33.0,0.0,0.0,?,0.0,112.84848484848484,?,0.0,3.0,603.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.88586436,8.486074430044742E-8,21000.0,33.0,0.0,1.0,0.0,0.0,112.84848484848484,1.0,0.0,2.0,651.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.918421062,8.79953077285737E-8,22000.0,33.0,0.0,1.0,0.0,0.0,112.84848484848484,1.0,0.0,9.0,708.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.956835215,9.1681583956122E-8,23000.0,39.0,0.0,1.0,2592.0,66.46153846153847,485.13157894736844,0.0,1.0,1.0,19.0,16352.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.994263484,9.527224636355416E-8,24000.0,71.0,0.0,1.0,2592.0,36.50704225352113,274.77142857142854,0.0,1.0,1.0,36.0,16680.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.02669743,9.838566038656775E-8,25000.0,71.0,0.0,1.0,2592.0,36.50704225352113,274.77142857142854,0.0,1.0,0.0,81.0,16856.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.059037117,1.0149062863060586E-7,26000.0,71.0,0.0,1.0,2592.0,36.50704225352113,274.77142857142854,0.0,1.0,1.0,127.0,16880.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.091393837,1.0459837064745114E-7,27000.0,71.0,0.0,1.0,2592.0,36.50704225352113,274.77142857142854,0.0,1.0,6.0,193.0,16920.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.128152323,1.0808133860310749E-7,28000.0,114.0,0.0,1.0,2592.0,22.736842105263158,209.01769911504425,0.0,1.0,8.0,11.0,11968.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.164792625,1.115964836185136E-7,29000.0,162.0,0.0,1.0,2592.0,16.0,150.6832298136646,0.0,1.0,8.0,41.0,16688.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.197014103,1.1468983574589097E-7,30000.0,162.0,0.0,1.0,2592.0,16.0,150.6832298136646,0.0,1.0,0.0,88.0,16896.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.229273532,1.1778783274003618E-7,31000.0,162.0,0.0,1.0,2592.0,16.0,150.6832298136646,0.0,1.0,7.0,137.0,16920.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.261383368,1.2087206183555643E-7,32000.0,162.0,0.0,1.0,2592.0,16.0,150.6832298136646,0.0,1.0,7.0,181.0,16944.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.293996915,1.240051460976485E-7,33000.0,162.0,0.0,1.0,2592.0,16.0,150.6832298136646,0.0,1.0,1.0,218.0,16952.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.330324432,1.274886295519873E-7,34000.0,167.0,0.0,1.0,2592.0,15.520958083832335,175.16265060240963,0.0,1.0,6.0,51.0,16416.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
