learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.355253146,1.694287804069867E-7,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,13.0,1865000.0
2000.0,0.767831171,3.8307228480705164E-7,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,32.0,2001640.0
3000.0,1.00358884,5.099992520251228E-7,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,61.0,2081896.0
4000.0,1.201738672,6.1739620225289E-7,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,82.0,2095080.0
5000.0,1.377696995,7.131579527486736E-7,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,102.0,2103704.0
6000.0,1.539663911,8.015998111298556E-7,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,126.0,2110736.0
7000.0,1.658136262,8.66682344125207E-7,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,151.0,2123488.0
8000.0,1.775050377,9.312089014923779E-7,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,177.0,2133408.0
9000.0,1.875227482,9.866407068389943E-7,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,192.0,2138912.0
10000.0,1.987410919,1.0489266558544191E-6,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,217.0,2146168.0
11000.0,2.102185188,1.1128178254813823E-6,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,242.0,2151784.0
12000.0,2.216788597,1.1766302484907621E-6,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,262.0,2152336.0
13000.0,2.33418031,1.2429301186054735E-6,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,286.0,2183120.0
14000.0,2.442268315,1.3043781489726567E-6,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,303.0,2197520.0
15000.0,2.568340611,1.3768452717669967E-6,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,335.0,2221896.0
16000.0,2.679294744,1.4410088519786213E-6,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,360.0,2235360.0
17000.0,2.778210158,1.4984326874003681E-6,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,375.0,2244040.0
18000.0,2.886532429,1.5611101596634873E-6,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,392.0,2236640.0
19000.0,3.001499361,1.6286478799048352E-6,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,417.0,2270784.0
20000.0,3.129126008,1.7032734044321705E-6,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,448.0,2260208.0
21000.0,3.250450311,1.7775214928996165E-6,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,468.0,2365592.0
22000.0,3.368803434,1.8521648392575582E-6,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,487.0,2437888.0
23000.0,4.789256083,3.3732171815863104E-6,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,509.0,4139232.0
24000.0,4.948891846,3.5443609075274915E-6,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,526.0,4144128.0
25000.0,5.109407943,3.7167354549067073E-6,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,550.0,4151040.0
26000.0,5.265841531,3.88495899391143E-6,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,570.0,4156800.0
27000.0,5.4238681,4.055178145852074E-6,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,594.0,4163712.0
28000.0,5.573478184,4.216487492080316E-6,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,608.0,4167744.0
29000.0,5.728737365,4.384095904179896E-6,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,626.0,4172928.0
30000.0,5.886840456,4.555021800901999E-6,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,7.0,647.0,4178976.0
31000.0,6.045166823,4.726425006890233E-6,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,667.0,4184736.0
32000.0,6.200329655,4.894576796226437E-6,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,682.0,4189056.0
33000.0,6.348403501,5.055178556239143E-6,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,694.0,4192512.0
34000.0,6.507372318,5.227810259361153E-6,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,712.0,4197696.0
35000.0,6.717097029,5.45593518814299E-6,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,736.0,4204608.0
36000.0,6.927954559,5.685669366554454E-6,36000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,760.0,4211520.0
37000.0,7.139311436,5.916341277986924E-6,37000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,785.0,4218720.0
38000.0,7.30224384,6.0943819126686055E-6,38000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,803.0,4223904.0
39000.0,7.45686092,6.26352048634396E-6,39000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,7.0,819.0,4228512.0
40000.0,7.615850555,6.437714731326262E-6,40000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,9.0,842.0,4235136.0
41000.0,7.769151569,6.606035489700745E-6,41000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,859.0,4244192.0
42000.0,7.92647016,6.779013593330327E-6,42000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,8.0,880.0,4250240.0
43000.0,8.084876162,6.95347060099404E-6,43000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,4.0,904.0,4257152.0
44000.0,8.24444348,7.12946815001141E-6,44000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,926.0,4263488.0
45000.0,8.396505896,7.297369309347977E-6,45000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,4.0,942.0,4268096.0
46000.0,8.558300561,7.476329844443609E-6,46000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,6.0,968.0,4275584.0
47000.0,8.714080898,7.648881688885972E-6,47000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,989.0,4281632.0
48000.0,8.87069186,7.822586952981785E-6,48000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,6.0,1009.0,4287392.0
49000.0,9.026817582,7.995986657918611E-6,49000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,1029.0,4293152.0
50000.0,9.189770983,8.177285131788331E-6,50000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,7.0,1055.0,4300640.0
51000.0,9.353022131,8.35923111472876E-6,51000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,6.0,1081.0,4308128.0
52000.0,9.510140756,8.534529603921261E-6,52000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,4.0,1097.0,4312736.0
53000.0,9.670594507,8.713776259482655E-6,53000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,3.0,1116.0,4318208.0
54000.0,9.828264291,8.8900890898061E-6,54000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,8.0,1131.0,4322528.0
55000.0,9.989931872,9.071125369626073E-6,55000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1152.0,4328576.0
56000.0,10.149655154,9.2501748173197E-6,56000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,6.0,1168.0,4333184.0
57000.0,10.313928646,9.434606544976984E-6,57000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,1191.0,4339808.0
58000.0,10.473264342,9.613743852733196E-6,58000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1212.0,4345856.0
59000.0,10.636140273,9.797128336385062E-6,59000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,7.0,1234.0,4352192.0
60000.0,10.794995286,9.976234155447579E-6,60000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,9.0,1255.0,4358240.0
61000.0,10.955576075,1.0157745709162657E-5,61000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,0.0,1279.0,4369312.0
62000.0,11.113712572,1.0336730013484272E-5,62000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,8.0,1299.0,4375072.0
63000.0,11.271095847,1.0515096314699423E-5,63000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,4.0,1319.0,4380832.0
64000.0,11.422188272,1.0686490643973083E-5,64000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,2.0,1333.0,4384864.0
65000.0,11.582721019,1.0868844940322502E-5,65000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,4.0,1354.0,4390912.0
66000.0,11.740150179,1.1047920089767572E-5,66000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,6.0,1375.0,4396960.0
67000.0,11.904072694,1.1234698951731362E-5,67000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,5.0,1401.0,4404448.0
68000.0,12.05884367,1.1411246273118758E-5,68000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,6.0,1418.0,4409344.0
69000.0,12.219404391,1.1594697026859368E-5,69000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,1.0,1443.0,4416544.0
70000.0,12.376579907,1.1774502469591675E-5,70000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,7.0,1462.0,4422016.0
