learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.01305701,1.120935363508761E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,7.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.114328491,1.0326636790177889E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,17.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.163271747,1.4775638593410453E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,29.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.216986138,1.9658342400826515E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,34.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.262366571,2.378545154950892E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,41.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.29292269,2.6564368142771225E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,53.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.331669693,3.008820209484754E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,60.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.366869243,3.328941405407464E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,73.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.397795065,3.6103297259346064E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,81.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.428549826,3.890161594138584E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,92.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.450412943,4.0890900421558563E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,104.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.470855368,4.2750918770707725E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,115.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.491182988,4.460049122576291E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,126.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.511643828,4.646218512161945E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,137.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.531849998,4.830070706635092E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,144.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.552009871,5.013501653289008E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,151.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.572379566,5.1989302616169055E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,165.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.592542374,5.382475544323524E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,177.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.612776236,5.5666676430151694E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,186.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.632973342,5.7505251459297205E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,197.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.658329056,5.981594173181803E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,206.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.686670949,6.239876532968342E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,215.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.71233379,6.473792238475756E-8,23000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,0.0,2.0,1592.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.732850985,6.660924494301901E-8,24000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,1.0,17.0,1816.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.754648971,6.859743039056867E-8,25000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,1.0,27.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.774712589,7.042742483743157E-8,26000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,0.0,34.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.794890816,7.226787272462415E-8,27000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,1.0,46.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.814982082,7.410038893433495E-8,28000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,0.0,51.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.835107661,7.593603481883598E-8,29000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,0.0,58.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.855758386,7.782047657268537E-8,30000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,1.0,68.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,0.875849324,7.96538360523743E-8,31000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,0.0,86.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,0.895898207,8.14833578848156E-8,32000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,0.0,96.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,0.916032872,8.332070758686092E-8,33000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,1.0,103.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,0.93778714,8.530585101129902E-8,34000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,0.0,115.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,0.957741598,8.712675627397789E-8,35000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,1.0,126.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,0.977846096,8.896135314509895E-8,36000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,1.0,138.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,0.998132788,9.081257577540768E-8,37000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,1.0,148.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.018162053,9.264030740540683E-8,38000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,0.0,161.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.038224285,9.447104737488554E-8,39000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,1.0,174.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.058261317,9.62994877673665E-8,40000.0,44.0,0.0,1.0,2911.0,66.1590909090909,0.9767441860465116,0.0,1.0,0.0,180.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.078255901,9.8124054650149E-8,41000.0,44.0,0.0,2.0,1455.5,66.1590909090909,0.9767441860465116,0.5,1.0,1.0,191.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.09826313,9.994977542781789E-8,42000.0,44.0,0.0,2.0,1455.5,66.1590909090909,0.9767441860465116,0.5,1.0,0.0,197.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.11457836,1.0143859001595734E-7,43000.0,44.0,0.0,2.0,1455.5,66.1590909090909,0.9767441860465116,0.5,1.0,1.0,206.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.127452714,1.0261341415561529E-7,44000.0,44.0,0.0,2.0,1455.5,66.1590909090909,0.9767441860465116,0.5,1.0,0.0,216.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.146008379,1.0430498555501923E-7,45000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,0.0,3.0,1640.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.166456485,1.0617000667664533E-7,46000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,1.0,9.0,1816.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.180129799,1.0741711579338337E-7,47000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,0.0,20.0,1816.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.192778679,1.085708149995303E-7,48000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,1.0,32.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,1.205526937,1.0973357843268456E-7,49000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,1.0,42.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.218163254,1.1088613177270525E-7,50000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,0.0,49.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,1.231020875,1.120588701606604E-7,51000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,1.0,61.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,1.244040604,1.1324639435343859E-7,52000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,1.0,72.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,1.256830838,1.1441354228607069E-7,53000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,0.0,84.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,1.269408463,1.155612889978331E-7,54000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,1.0,90.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55000.0,1.282174567,1.167262349942368E-7,55000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,0.0,99.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56000.0,1.294842384,1.1788221200157786E-7,56000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,0.0,108.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57000.0,1.307466348,1.1903418728867755E-7,57000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,0.0,113.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
58000.0,1.320014759,1.2017926813367755E-7,58000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,1.0,118.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
59000.0,1.332604543,1.2132812439134138E-7,59000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,0.0,128.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60000.0,1.34549318,1.2250369173605616E-7,60000.0,106.0,0.0,2.0,3904.0,73.66037735849056,211.97115384615384,0.0,2.0,1.0,133.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
61000.0,1.358142516,1.2365743253377783E-7,61000.0,106.0,0.0,3.0,2602.6666666666665,73.66037735849056,211.97115384615384,0.3333333333333333,2.0,0.0,137.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
62000.0,1.372060635,1.2492750341887483E-7,62000.0,106.0,0.0,3.0,2602.6666666666665,73.66037735849056,211.97115384615384,0.3333333333333333,2.0,1.0,151.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
