learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.041570944,2.8014867639541624E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,21.0,273744.0
2000.0,0.130711798,9.114243132993579E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,53.0,273744.0
3000.0,0.186189626,1.3043059117272496E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,86.0,273744.0
4000.0,0.226750897,1.59155178200081E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,108.0,273744.0
5000.0,0.254097986,1.7852177639976144E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,131.0,273744.0
6000.0,0.280131109,1.9695785319842398E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,165.0,273744.0
7000.0,0.311077399,2.1887332523278892E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,194.0,273744.0
8000.0,0.343918005,2.421303095880896E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,228.0,273744.0
9000.0,0.376330685,2.650842462990433E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,256.0,273744.0
10000.0,0.407348586,2.8705043164566162E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,291.0,273744.0
11000.0,0.438436064,3.090658898711205E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,327.0,273744.0
12000.0,0.468745677,3.305304814610631E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,362.0,273744.0
13000.0,0.499197994,3.520961328394712E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,394.0,273744.0
14000.0,0.526744185,3.716037306327374E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,418.0,273744.0
15000.0,0.551077053,3.8883572478033614E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,442.0,273744.0
16000.0,0.575554685,4.06170237562433E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,468.0,273744.0
17000.0,0.600037363,4.235083238091321E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,500.0,273744.0
18000.0,0.624344843,4.4072233874164535E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,525.0,273744.0
19000.0,0.648574418,4.578811830915512E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,554.0,273744.0
20000.0,0.67301576,4.751899961054326E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,584.0,273744.0
21000.0,0.698432805,4.931897802118213E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,608.0,273744.0
22000.0,0.723067804,5.106357367917896E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,636.0,273744.0
23000.0,0.7474912,5.279318408489228E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,658.0,273744.0
24000.0,0.772173139,5.454110392894597E-8,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,691.0,273744.0
25000.0,0.796720902,5.62795217280835E-8,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,716.0,273744.0
26000.0,0.821194176,5.8012664382457746E-8,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,746.0,273744.0
27000.0,0.845643656,5.974412199884654E-8,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,779.0,273744.0
28000.0,0.86977635,6.145314553759994E-8,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,802.0,273744.0
29000.0,0.894172047,6.318079436194153E-8,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,826.0,273744.0
30000.0,0.918629423,6.491281115543098E-8,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,852.0,273744.0
31000.0,0.942870979,6.662954405810685E-8,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,889.0,273744.0
32000.0,0.96697507,6.833654199622573E-8,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,922.0,273744.0
33000.0,0.991499621,7.007331597331913E-8,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,950.0,273744.0
34000.0,1.015962445,7.180571858201177E-8,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,991.0,273744.0
35000.0,1.040324058,7.353095365352929E-8,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1023.0,273744.0
36000.0,1.064579607,7.524867750924081E-8,36000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1056.0,273744.0
37000.0,1.088745495,7.696005177300424E-8,37000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1080.0,273744.0
38000.0,1.11325866,7.869601941898466E-8,38000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,1110.0,273744.0
39000.0,1.137634631,8.042227129202336E-8,39000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,1140.0,273744.0
40000.0,1.161773885,8.21317593953386E-8,40000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,1170.0,273744.0
41000.0,1.186041135,8.385031188976019E-8,41000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,1198.0,273744.0
42000.0,1.210546716,8.558574245378374E-8,42000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1223.0,273744.0
43000.0,1.23483381,8.730570025600492E-8,43000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,1255.0,273744.0
44000.0,1.259140377,8.902703709263353E-8,44000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1290.0,273744.0
45000.0,1.283370335,9.074294865082948E-8,45000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1312.0,273744.0
46000.0,1.30741256,9.244556537687777E-8,46000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,1341.0,273744.0
47000.0,1.331795658,9.41723219681531E-8,47000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1376.0,273744.0
48000.0,1.355942986,9.58823818541318E-8,48000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,1400.0,273744.0
49000.0,1.375028198,9.723395398072897E-8,49000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,1429.0,273744.0
50000.0,1.391788119,9.842085418742149E-8,50000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1452.0,273744.0
51000.0,1.40845366,9.960107061311602E-8,51000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,1485.0,273744.0
52000.0,1.425437104,1.0080380021989346E-7,52000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,1511.0,273744.0
53000.0,1.44440679,1.0214719105295837E-7,53000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1544.0,273744.0
54000.0,1.461008654,1.0332289801560342E-7,54000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,1573.0,273744.0
55000.0,1.4777929,1.045115208645165E-7,55000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1601.0,273744.0
56000.0,1.494231835,1.0567568955894559E-7,56000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,1632.0,273744.0
