learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.131287029,1.4309189402864624E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,40.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.271272857,3.0378547691791834E-8,2000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,1.0,40.0,30560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.343706691,3.87183117311096E-8,3000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,1.0,80.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.412603052,4.667445385671531E-8,4000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,2.0,121.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.457982751,5.1932551745853073E-8,5000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,0.0,165.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.517977967,5.890561497832131E-8,6000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,4.0,204.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.571072666,6.509928823538538E-8,7000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,3.0,247.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.623823445,7.127544095640795E-8,8000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,3.0,308.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.676062649,7.740867157412486E-8,9000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,2.0,355.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.727236513,8.344224251072854E-8,10000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,0.0,399.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.78104243,8.980429255817085E-8,11000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,2.0,448.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.83257966,9.591526397584213E-8,12000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,1.0,495.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.865068903,9.978989731007152E-8,13000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,1.0,553.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.895497592,1.034302526378259E-7,14000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,0.0,607.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.926347335,1.0713157959499707E-7,15000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,2.0,657.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.954924565,1.1056811839797431E-7,16000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,2.0,696.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
