learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
1000.0,0.142569294,1.1323012944000466E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,11.0,316920.0
2000.0,0.257771979,2.0768185091360164E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,19.0,316920.0
3000.0,0.327462131,2.648190159558629E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,34.0,316920.0
4000.0,0.372889705,3.02063916685991E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,44.0,316920.0
5000.0,0.406428109,3.2956119240727275E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,49.0,316920.0
6000.0,0.445622256,3.6169546649853385E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,58.0,316920.0
7000.0,0.485190016,3.941360562890768E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,64.0,316920.0
8000.0,0.519832383,4.225384429094071E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,73.0,316920.0
9000.0,0.5541889,4.507064684592187E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,80.0,316920.0
10000.0,0.588339945,4.787060327955211E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,84.0,316920.0
11000.0,0.622755327,5.0692232024638596E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,94.0,316920.0
12000.0,0.657466234,5.353809010516851E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,99.0,316920.0
13000.0,0.691878895,5.63594957624562E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,105.0,316920.0
14000.0,0.725980556,5.9155403328811125E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,113.0,316920.0
15000.0,0.760597625,6.199356787282352E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,121.0,316920.0
16000.0,0.794866539,6.480318808291728E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,135.0,316920.0
17000.0,0.829072744,6.760766694322229E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,142.0,316920.0
