learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.099792482,9.381674840321971E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,47.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.214129832,2.0628142539618744E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,110.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.276648857,2.677764832450905E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,157.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.347439027,3.3748047110862614E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,212.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.384172184,3.7365000608385435E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,261.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.421896415,4.107954083308784E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,312.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.458157343,4.464999600395767E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,367.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.496508319,4.8426249070815326E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,416.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.532753819,5.1995185113923827E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,459.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.56865555,5.5530271725389684E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,492.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.605245998,5.913317329112026E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,546.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.643624154,6.291210265383952E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,609.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.67967577,6.646194778646859E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,665.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.716026377,7.004123325669724E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,716.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.752087237,7.359198860562302E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,760.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.789515529,7.727738900983292E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,811.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.82596117,8.086603206287655E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,866.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.861892236,8.440400716363969E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,905.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.898249764,8.798397411450329E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,966.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.952410018,9.328753004435035E-8,20000.0,2.0,0.0,0.0,?,0.0,0.5,?,0.0,1.0,13.0,27992.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.989504283,9.694149890865716E-8,21000.0,2.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,60.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.026652996,1.0060083117069469E-7,22000.0,2.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,106.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.06368567,1.0424873301638496E-7,23000.0,2.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,158.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.102416589,1.0806392040753529E-7,24000.0,2.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,2.0,208.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.138841998,1.1165200364238685E-7,25000.0,2.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,249.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
