learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.014385349,1.2549493690497345E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,9.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.084737916,7.691289102209526E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,20.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.11591518,1.0543600988063134E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,36.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.153988683,1.4026828545907305E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,44.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.181888631,1.6579308882061804E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,50.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.200269355,1.8260904724974596E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,59.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.229763309,2.0980702143278385E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,70.0,2320.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.256626199,2.3457874884179068E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,82.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.282876478,2.587855544311512E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,89.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.312328199,2.8594458327496218E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,104.0,2320.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.339804671,3.112656369309045E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,117.0,2320.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.365261316,3.3474058957702174E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,127.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.390732685,3.5822912002189297E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,143.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.415520876,3.810876549901855E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,153.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.435757407,3.997488574756931E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,172.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.455825386,4.182546290228972E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,184.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.475800693,4.3667494269410775E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,191.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.49558634,4.549203605957123E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,199.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.521059313,4.7857116315847065E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,211.0,4400.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
20000.0,0.541545178,4.9766071110934856E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,223.0,4624.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
21000.0,0.566174913,5.203405019504536E-8,21000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,1.0,5.0,2320.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.586675008,5.392175977382395E-8,22000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,1.0,18.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.606846891,5.5779246617719124E-8,23000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,0.0,27.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.627027327,5.763752104723413E-8,24000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,1.0,40.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.64712325,5.948801326892857E-8,25000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,1.0,49.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.666939616,6.131276305251652E-8,26000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,0.0,59.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.686969033,6.315713120438366E-8,27000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,1.0,73.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.706830968,6.498607711671128E-8,28000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,0.0,81.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.726742084,6.681955176145666E-8,29000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,0.0,93.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.746375249,6.862743185334114E-8,30000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,1.0,101.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,0.765939417,7.042895849672664E-8,31000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,1.0,109.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,0.785519504,7.223195100886955E-8,32000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,0.0,114.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,0.805408648,7.406340240665609E-8,33000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,0.0,122.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,0.825254414,7.589085942948445E-8,34000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,0.0,127.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,0.844848681,7.769515767810453E-8,35000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,0.0,142.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,0.864706875,7.952375910805125E-8,36000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,1.0,156.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,0.884565982,8.135244460974717E-8,37000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,1.0,166.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,0.904256649,8.316561965642083E-8,38000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,0.0,178.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,0.92362974,8.494955136265192E-8,39000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,0.0,185.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,0.943410379,8.677101129806497E-8,40000.0,51.0,1.0,1.0,857.0,16.80392156862745,0.98,0.0,1.0,1.0,200.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,0.965175599,8.878742465078623E-8,41000.0,51.0,2.0,2.0,428.5,16.80392156862745,0.98,0.5,1.0,0.0,208.0,2320.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,0.986133575,9.071729727074296E-8,42000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,0.0,10.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,0.998898856,9.189276222441758E-8,43000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,0.0,20.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.011077323,9.301419160368334E-8,44000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,0.0,34.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.023090472,9.412039801095094E-8,45000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,0.0,40.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.037032429,9.540421478232782E-8,46000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,0.0,53.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.049122391,9.65174943585673E-8,47000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,0.0,68.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.061149923,9.762502519515446E-8,48000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,0.0,79.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,1.073126646,9.872787738825297E-8,49000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,1.0,90.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.085056119,9.982637866114368E-8,50000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,0.0,103.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,1.096949871,1.009215906383573E-7,51000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,0.0,111.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,1.110094062,1.0214010773706352E-7,52000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,1.0,122.0,2320.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,1.122141288,1.0325693195796675E-7,53000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,0.0,129.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,1.134091139,1.0436472914156606E-7,54000.0,68.0,2.0,2.0,1021.0,30.029411764705884,308.2121212121212,0.0,2.0,1.0,135.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
