learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.028177324,2.5180244466414057E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,14.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.102183974,9.396646015544731E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,36.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.148524171,1.3703781639051933E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,54.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.18755537,1.733157518600424E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,64.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.220046446,2.0351490506728486E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,84.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.240049093,2.221065639370431E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,110.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.267798829,2.478988316023101E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,132.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.295411427,2.7356363499176994E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,153.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.319328586,2.9579367590894298E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,177.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.340775042,3.15727297390004E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,196.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.365542171,3.387729804593656E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,215.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.38706392,3.58798854534328E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,236.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.408446481,3.786952149084873E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,256.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.429917605,3.9867398268762565E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,281.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.451280506,4.185520495353474E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,297.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.472329743,4.3813825368334856E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,307.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.493503784,4.5784058729592306E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,327.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.514599322,4.774698742805257E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,346.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.535457323,4.968781343378956E-8,19000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,361.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.556140166,5.161234107989405E-8,20000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,380.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.57887004,5.372734388223954E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,410.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.599896858,5.5683878220899256E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,433.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.620856972,5.763420578749645E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,452.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.642043514,5.960560236021878E-8,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,469.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.663115872,6.156637417188951E-8,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,482.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.683912073,6.350144972018072E-8,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,499.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.704965278,6.546043935529063E-8,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,511.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.725694443,6.738927723909421E-8,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,533.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.746300659,6.93066747832133E-8,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,553.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.766885484,7.122208190605047E-8,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,576.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,0.787518781,7.314199932295418E-8,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,596.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,0.808957073,7.513682110056284E-8,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,621.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,0.829752947,7.70718662216763E-8,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,655.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,0.850356874,7.898905077555116E-8,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,675.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,0.870902665,8.090082580525017E-8,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,695.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,0.89149895,8.281729927505058E-8,36000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,722.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,0.91209956,8.473417518382273E-8,37000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,754.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,0.932658898,8.664721075473562E-8,38000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,773.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,0.953173794,8.855611102095911E-8,39000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,793.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,0.974177999,9.051054123188061E-8,40000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,816.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,0.994706614,9.242071804382738E-8,41000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,836.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.010215791,9.386383879394998E-8,42000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,855.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.023418622,9.509235526368025E-8,43000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,879.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.036599553,9.631883394994673E-8,44000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,899.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.05140584,9.76965511558288E-8,45000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,916.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.064609838,9.892517621429433E-8,46000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,938.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.077864055,1.0015847412425613E-7,47000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,960.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.091034253,1.013839541105264E-7,48000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,984.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,1.114994559,1.036111668965469E-7,49000.0,9.0,0.0,2.0,4480.5,995.6666666666666,0.875,0.5,1.0,1.0,6.0,11464.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.129230219,1.0493752583066624E-7,50000.0,9.0,0.0,2.0,4480.5,995.6666666666666,0.875,0.5,1.0,1.0,29.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,1.142702197,1.0619273130625074E-7,51000.0,9.0,0.0,2.0,4480.5,995.6666666666666,0.875,0.5,1.0,1.0,44.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,1.156037477,1.0743520041319647E-7,52000.0,9.0,0.0,2.0,4480.5,995.6666666666666,0.875,0.5,1.0,2.0,56.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,1.169338091,1.0867443963415095E-7,53000.0,9.0,0.0,2.0,4480.5,995.6666666666666,0.875,0.5,1.0,2.0,72.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,1.182753864,1.0992440840108323E-7,54000.0,9.0,0.0,2.0,4480.5,995.6666666666666,0.875,0.5,1.0,0.0,99.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55000.0,1.196307324,1.1118720568334687E-7,55000.0,9.0,0.0,2.0,4480.5,995.6666666666666,0.875,0.5,1.0,2.0,122.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56000.0,1.209869328,1.1245079902358977E-7,56000.0,9.0,0.0,2.0,4480.5,995.6666666666666,0.875,0.5,1.0,1.0,144.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57000.0,1.223259663,1.1369839769187075E-7,57000.0,9.0,0.0,2.0,4480.5,995.6666666666666,0.875,0.5,1.0,2.0,165.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
