learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.048564,3.6223202943801883E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,8384.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3000.0,0.12026,9.297355545891656E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,8384.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4000.0,0.179464,1.3916451417737537E-8,3000.0,3.0,0.0,0.0,?,0.0,117.33333333333333,?,0.0,0.0,81.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.252834,1.9731279354956415E-8,4000.0,3.0,0.0,0.0,?,0.0,117.33333333333333,?,0.0,0.0,1081.0,8392.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.29417,2.3064448146356478E-8,5000.0,3.0,0.0,0.0,?,0.0,117.33333333333333,?,0.0,1.0,2081.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.335011,2.6252384268575247E-8,6000.0,4.0,0.0,0.0,?,0.0,664.0,?,0.0,1.0,777.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.375964,2.9456690893405017E-8,7000.0,5.0,0.0,0.0,?,0.0,742.4,?,0.0,0.0,721.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.416403,3.2613750158084766E-8,8000.0,7.0,0.0,0.0,?,0.0,731.4285714285714,?,0.0,1.0,313.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.454703,3.564828657441669E-8,9000.0,8.0,0.0,0.0,?,0.0,700.0,?,0.0,1.0,833.0,8352.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
11000.0,0.489483,3.8452805893288716E-8,10000.0,8.0,0.0,0.0,?,0.0,700.0,?,0.0,0.0,1833.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
12000.0,0.515649,4.049427712129222E-8,11000.0,11.0,0.0,0.0,?,0.0,753.4545454545455,?,0.0,0.0,145.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.538017,4.229618354803986E-8,12000.0,11.0,0.0,0.0,?,0.0,753.4545454545455,?,0.0,0.0,1145.0,12832.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
14000.0,0.561295,4.411348925696479E-8,13000.0,14.0,0.0,0.0,?,0.0,720.0,?,0.0,0.0,353.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.589461,4.6375588584277364E-8,14000.0,14.0,0.0,0.0,?,0.0,720.0,?,0.0,0.0,1353.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
16000.0,0.615621,4.8422438907954425E-8,15000.0,16.0,0.0,0.0,?,0.0,738.0,?,0.0,1.0,625.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.641153,5.0417298881544004E-8,16000.0,18.0,0.0,0.0,?,0.0,725.3333333333334,?,0.0,0.0,377.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.665237,5.230530446602238E-8,17000.0,19.0,0.0,0.0,?,0.0,727.578947368421,?,0.0,0.0,609.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.686038,5.392656251788139E-8,18000.0,21.0,0.0,0.0,?,0.0,731.4285714285714,?,0.0,0.0,73.0,4544.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.709398,5.5751188513305455E-8,19000.0,23.0,0.0,1.0,0.0,0.0,713.7391304347826,1.0,0.0,1.0,17.0,4520.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.738228,5.8002653014328745E-8,20000.0,25.0,0.0,1.0,464.0,18.56,704.0,0.0,1.0,0.0,473.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.762223,5.987533875223663E-8,21000.0,26.0,0.0,1.0,464.0,17.846153846153847,727.04,0.0,1.0,1.0,193.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.783739,6.155962773081329E-8,22000.0,27.0,0.0,1.0,464.0,17.185185185185187,707.6923076923077,0.0,1.0,1.0,969.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.801367,6.295572306132979E-8,23000.0,27.0,0.0,1.0,464.0,17.185185185185187,707.6923076923077,0.0,1.0,0.0,1969.0,8992.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
25000.0,0.81743,6.421234916067786E-8,24000.0,28.0,0.0,1.0,464.0,16.571428571428573,775.1111111111111,0.0,1.0,0.0,441.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.831387,6.530959327187804E-8,25000.0,28.0,0.0,1.0,464.0,16.571428571428573,775.1111111111111,0.0,1.0,0.0,1441.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
