learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.086355341,8.635823257101907E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,301.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.189311326,1.93057189095248E-8,2000.0,6.0,0.0,0.0,?,0.0,134.83333333333334,?,0.0,1.0,64.0,4552.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.257994757,2.6916586873839716E-8,3000.0,7.0,0.0,0.0,?,0.0,135.85714285714286,?,0.0,1.0,922.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.299837817,3.133095236308252E-8,4000.0,11.0,0.0,0.0,?,0.0,235.0909090909091,?,0.0,0.0,287.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.341496177,3.5692380388199046E-8,5000.0,14.0,0.0,0.0,?,0.0,263.07142857142856,?,0.0,1.0,190.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.366765102,3.8388485065903516E-8,6000.0,15.0,0.0,0.0,?,0.0,296.06666666666666,?,0.0,0.0,432.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.39415368,4.128070691546425E-8,7000.0,18.0,0.0,0.0,?,0.0,309.5,?,0.0,1.0,302.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.419918906,4.3955325042305305E-8,8000.0,20.0,0.0,0.0,?,0.0,339.5,?,0.0,0.0,83.0,4552.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.449114334,4.6989708926071304E-8,9000.0,28.0,0.0,0.0,?,0.0,277.57142857142856,?,0.0,0.0,101.0,4544.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.473610964,4.961857127764365E-8,10000.0,31.0,0.0,0.0,?,0.0,269.4193548387097,?,0.0,0.0,521.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.506270704,5.3060125506605115E-8,11000.0,34.0,0.0,0.0,?,0.0,282.44117647058823,?,0.0,0.0,270.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.55263649,5.7926776875193326E-8,12000.0,38.0,0.0,0.0,?,0.0,280.10526315789474,?,0.0,1.0,229.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.585731666,6.138072207846782E-8,13000.0,41.0,0.0,0.0,?,0.0,285.8292682926829,?,0.0,1.0,154.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.634494918,6.651142981682593E-8,14000.0,47.0,0.0,0.0,?,0.0,268.63829787234044,?,0.0,0.0,247.0,4560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.670387816,7.027563040065889E-8,15000.0,50.0,0.0,0.0,?,0.0,273.14,?,0.0,1.0,216.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.712331277,7.460813916521974E-8,16000.0,56.0,0.0,0.0,?,0.0,265.17857142857144,?,0.0,1.0,23.0,4520.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.746493267,7.814146411683616E-8,17000.0,61.0,0.0,0.0,?,0.0,259.59016393442624,?,0.0,1.0,38.0,4536.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.78614548,8.236105384701034E-8,18000.0,64.0,0.0,0.0,?,0.0,257.515625,?,0.0,1.0,392.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.8337338,8.735267635259569E-8,19000.0,68.0,0.0,1.0,0.0,0.0,259.61764705882354,1.0,0.0,1.0,219.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.88215404,9.236822717958233E-8,20000.0,71.0,0.0,1.0,485.0,6.830985915492958,264.42857142857144,0.0,1.0,0.0,56.0,4544.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.940132105,9.855092131914156E-8,21000.0,74.0,0.0,1.0,485.0,6.554054054054054,264.06849315068496,0.0,1.0,0.0,289.0,8912.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
23000.0,0.985113143,1.031937491863076E-7,22000.0,75.0,0.0,1.0,485.0,6.466666666666667,277.8783783783784,0.0,1.0,0.0,3.0,3720.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.035557969,1.0860536986388059E-7,23000.0,77.0,0.0,1.0,485.0,6.298701298701299,279.36842105263156,0.0,1.0,0.0,334.0,9096.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
25000.0,1.070646542,1.1224092046487248E-7,24000.0,78.0,0.0,1.0,485.0,6.217948717948718,292.72727272727275,0.0,1.0,1.0,26.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.113716802,1.1692585946248223E-7,25000.0,80.0,0.0,1.0,485.0,6.0625,291.69620253164555,0.0,1.0,1.0,522.0,9088.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
27000.0,1.156684514,1.2176842583980412E-7,26000.0,81.0,0.0,1.0,485.0,5.987654320987654,294.775,0.0,1.0,1.0,984.0,9104.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
