learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.038767666,3.5256329083028763E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.137188481,1.2896292641411225E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,2000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.210615747,1.9887313034998047E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,3000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.283061674,2.6870212736781686E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,4000.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.337177734,3.216540907945691E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,5000.0,13648.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.391916177,3.758539877222644E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,6000.0,18136.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.414105035,3.978268359816737E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,7000.0,18176.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.433838416,4.173681114433541E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,8000.0,18176.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.454289133,4.378284014601054E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,9000.0,22096.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
11000.0,0.473791478,4.5734149002884004E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,10000.0,22128.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
12000.0,0.494686249,4.7824777166555746E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,11000.0,22128.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.529204651,5.131931088135682E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,12000.0,26672.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
14000.0,0.569258608,5.5415197229731E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,13000.0,30600.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
15000.0,0.600775591,5.871650301632575E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,14000.0,40168.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
16000.0,0.626357562,6.139650539700356E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,15000.0,40224.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
17000.0,0.662713593,6.524810139576387E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,16000.0,44760.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
18000.0,0.701127048,6.931782204917736E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,17000.0,44776.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
19000.0,0.739241101,7.33558225018676E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,18000.0,44776.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
20000.0,0.778043251,7.746680382469256E-8,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,19000.0,44784.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
21000.0,0.819129524,8.181978171193559E-8,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,20000.0,44784.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
22000.0,0.857378219,8.55218442439619E-8,21000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,0.0,884.0,9104.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
23000.0,0.884942844,8.82222068558861E-8,22000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,1.0,1884.0,13624.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
24000.0,0.911696301,9.084310356761432E-8,23000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,0.0,2884.0,13624.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
25000.0,0.93939548,9.358949574882371E-8,24000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,0.0,3884.0,18184.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
26000.0,0.965784762,9.617859382835113E-8,25000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,1.0,4884.0,14176.0,0.0,0.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
27000.0,0.998947784,9.954421792379683E-8,26000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,0.0,5884.0,27168.0,0.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
28000.0,1.026155378,1.023057798286072E-7,27000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,0.0,6884.0,27216.0,0.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
29000.0,1.055665452,1.0533579393144695E-7,28000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,0.0,7884.0,31744.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
30000.0,1.082975388,1.0814046905891348E-7,29000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,0.0,8884.0,31824.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
31000.0,1.109680106,1.1088298952328248E-7,30000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,1.0,9884.0,31824.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
32000.0,1.150908886,1.1519765073447177E-7,31000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,1.0,10884.0,39328.0,0.0,0.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
33000.0,1.191562553,1.1951379786866199E-7,32000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,0.0,11884.0,45168.0,0.0,0.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
34000.0,1.218244758,1.2234799353182108E-7,33000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,0.0,12884.0,45368.0,0.0,0.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
35000.0,1.255470937,1.264176630212946E-7,34000.0,1.0,2.0,1.0,1199.0,1199.0,?,0.0,1.0,1.0,13884.0,57288.0,0.0,0.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
