learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.04215859,3.834012402801051E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.175085723,1.664958547687365E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,2000.0,4560.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.240645236,2.2970211752264037E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,3000.0,4560.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.283010889,2.710459612093245E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,4000.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.318910172,3.0697170738410205E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,5000.0,17584.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7000.0,0.348720685,3.368467654646685E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,6000.0,18136.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.373140221,3.613191741179675E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,7000.0,18136.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.404971827,3.932216775917759E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,8000.0,18160.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.423896233,4.121882332897435E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,9000.0,18160.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.443258286,4.3159341074426974E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,10000.0,18160.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12000.0,0.46732808,4.5596240246126225E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,11000.0,22080.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.504812724,4.9473843097045196E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,12000.0,30544.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
14000.0,0.534634996,5.263380130783138E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,13000.0,40216.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
15000.0,0.570417369,5.642566015295064E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,14000.0,40256.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
16000.0,0.600191574,5.960856269368282E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,15000.0,43832.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
17000.0,0.626840302,6.246413128172773E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,16000.0,44816.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
18000.0,0.661921297,6.622341228601007E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,17000.0,44832.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
19000.0,0.697898474,7.007880265234867E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,18000.0,44840.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
20000.0,0.725295038,7.301467638464232E-8,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,19000.0,44840.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
21000.0,0.755345529,7.626542495374465E-8,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,20000.0,48736.0,0.0,0.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
22000.0,0.79039212,7.965755823871949E-8,21000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,0.0,880.0,9104.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
23000.0,0.826476198,8.315010911310919E-8,22000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,0.0,1880.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
24000.0,0.854350697,8.584806098694189E-8,23000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,0.0,2880.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
25000.0,0.881116129,8.843866709678951E-8,24000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,1.0,3880.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
26000.0,0.90622546,9.089860128825117E-8,25000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,0.0,4880.0,13640.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
27000.0,0.931955728,9.344977462286958E-8,26000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,1.0,5880.0,18184.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
28000.0,0.961834366,9.644682850921113E-8,27000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,0.0,6880.0,22632.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
29000.0,0.990688301,9.937495604139442E-8,28000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,0.0,7880.0,27144.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
30000.0,1.022871197,1.026417092919536E-7,29000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,1.0,8880.0,27240.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
31000.0,1.060256095,1.0643680583277718E-7,30000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,1.0,9880.0,27272.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
32000.0,1.10076121,1.1059425189540412E-7,31000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,0.0,10880.0,31600.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
33000.0,1.136120043,1.1429519870521501E-7,32000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,1.0,11880.0,39392.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
34000.0,1.16435216,1.1725458689740549E-7,33000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,1.0,12880.0,39992.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
35000.0,1.197673317,1.207803205818683E-7,34000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,1.0,13880.0,43784.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
36000.0,1.234881495,1.247235800388828E-7,35000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,1.0,14880.0,44432.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
37000.0,1.273798963,1.2884871203893176E-7,36000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,0.0,15880.0,44504.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
38000.0,1.302577653,1.3190327440860372E-7,37000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,0.0,16880.0,45056.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
39000.0,1.339538301,1.358629846914361E-7,38000.0,1.0,1.0,1.0,1264.0,1264.0,?,0.0,1.0,0.0,17880.0,48872.0,0.0,0.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
40000.0,1.380067509,1.4025424326814711E-7,39000.0,1.0,1.0,2.0,632.0,1264.0,?,0.5,1.0,0.0,18880.0,53544.0,0.0,0.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
41000.0,1.431697606,1.468210592595819E-7,40000.0,1.0,1.0,2.0,632.0,1264.0,?,0.5,1.0,0.0,19880.0,126256.0,0.0,0.0,45.0,32.0,32.0,4.0,0.0,0.0,1.0
42000.0,1.478926684,1.5133925048928293E-7,41000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,910.0,4512.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.518133564,1.5509023792665037E-7,42000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,1910.0,4536.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.556925579,1.5880169510761689E-7,43000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,2910.0,4552.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.599406871,1.6294929869827917E-7,44000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,3910.0,12072.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
46000.0,1.638119121,1.667303591055278E-7,45000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,4910.0,12216.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
47000.0,1.678201157,1.7069157904021647E-7,46000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,5910.0,16664.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
48000.0,1.716651615,1.74505320561195E-7,47000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,6910.0,18048.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
49000.0,1.745890533,1.7740571018396772E-7,48000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,7910.0,18088.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
50000.0,1.775676834,1.8038487154339336E-7,49000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,8910.0,21240.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
51000.0,1.806394203,1.8350985819560372E-7,50000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,9910.0,27864.0,0.0,0.0,14.0,9.0,9.0,3.0,0.0,0.0,1.0
52000.0,1.836587221,1.8666485928048276E-7,51000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,10910.0,38504.0,0.0,0.0,14.0,9.0,9.0,3.0,0.0,0.0,1.0
53000.0,1.863973778,1.895274511176741E-7,52000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,11910.0,38624.0,0.0,0.0,14.0,9.0,9.0,3.0,0.0,0.0,1.0
54000.0,1.889543361,1.922002817104405E-7,53000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,12910.0,38648.0,0.0,0.0,14.0,9.0,9.0,3.0,0.0,0.0,1.0
55000.0,1.915383571,1.949017757422332E-7,54000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,13910.0,38704.0,0.0,0.0,14.0,9.0,9.0,3.0,0.0,0.0,1.0
56000.0,1.939631869,1.9743734337448864E-7,55000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,14910.0,38784.0,0.0,0.0,14.0,9.0,9.0,3.0,0.0,0.0,1.0
57000.0,1.958441758,1.9940431168052469E-7,56000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,15910.0,38800.0,0.0,0.0,14.0,9.0,9.0,3.0,0.0,0.0,1.0
58000.0,1.977411036,2.0138794744862449E-7,57000.0,2.0,2.0,2.0,1235.5,1235.5,?,0.0,2.0,0.0,16910.0,38800.0,0.0,0.0,14.0,9.0,9.0,3.0,0.0,0.0,1.0
