learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.075461788,6.788820985646711E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,1000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.179101879,1.6627452018879768E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,1000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.237931116,2.2214712125106404E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,2000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.29199006,2.7351266933325676E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,3000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.332682421,3.1217760192097886E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,4000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.368374209,3.460911066437761E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,5000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.417594696,3.9288065777445834E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,6000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.463357162,4.363829750671155E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,7000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.495190578,4.6664418003236256E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,8000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.516920726,4.873011042705013E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,9000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.542645453,5.1175532044453756E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,10000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.565844143,5.338183398520367E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,11000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.592069749,5.5876009536286195E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,12000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.633077518,5.977603666413368E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,13000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.671436606,6.342416206689552E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,14000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.699218404,6.606633862276665E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,15000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.737337483,6.96916380675758E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,16000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.777306927,7.349291572023183E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,17000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.815212227,7.709788380052894E-8,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,18000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.842924443,7.973344278869943E-8,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,19000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.868253862,8.214238684104755E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,20000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.888708411,8.40885973622712E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,9.0,21000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.919617171,8.702950571033482E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,22000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.944793314,8.942496670976488E-8,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,23000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.966849539,9.152357358462074E-8,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,24000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.993614263,9.407018497392329E-8,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,25000.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
