learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.107056199,9.793355754678034E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,16960.0,0.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.184101998,1.7160150255177997E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,1000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.235369875,2.2062168525322856E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,1000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.276544244,2.5999088111434958E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,1000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.309075894,2.910962734164256E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,1000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.343266873,3.2378824615642014E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,1000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.371838816,3.511075335533875E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,1000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.390452772,3.689054135771054E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,1000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.430121315,4.069899677780353E-8,9000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,4.0,990.0,16960.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.496894654,4.6994584710461396E-8,10000.0,2.0,0.0,0.0,?,0.0,935.5,?,0.0,4.0,118.0,16896.0,1.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.548361636,5.193523957165993E-8,11000.0,2.0,0.0,0.0,?,0.0,935.5,?,0.0,0.0,1118.0,16960.0,0.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.611734427,5.802982868127111E-8,12000.0,3.0,0.0,0.0,?,0.0,1212.0,?,0.0,1.0,353.0,16952.0,1.0,29.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.679817449,6.457035752175169E-8,13000.0,4.0,0.0,0.0,?,0.0,1118.75,?,0.0,4.0,514.0,16768.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.732258514,6.959627257412092E-8,14000.0,4.0,0.0,0.0,?,0.0,1118.75,?,0.0,3.0,1514.0,16768.0,0.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.787529234,7.489955677017983E-8,15000.0,5.0,0.0,0.0,?,0.0,1270.0,?,0.0,9.0,639.0,16768.0,1.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.845893968,8.048087134056206E-8,16000.0,5.0,0.0,0.0,?,0.0,1270.0,?,0.0,0.0,1639.0,16768.0,0.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.898700015,8.55477768362955E-8,17000.0,6.0,0.0,0.0,?,0.0,1331.6666666666667,?,0.0,3.0,999.0,16768.0,1.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.95494795,9.097602400878443E-8,18000.0,6.0,0.0,0.0,?,0.0,1331.6666666666667,?,0.0,3.0,1999.0,16768.0,0.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.01711077,9.693752484792843E-8,19000.0,7.0,0.0,1.0,0.0,0.0,1450.7142857142858,1.0,0.0,8.0,837.0,16768.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.069380753,1.0194498813401493E-7,20000.0,8.0,9.0,1.0,203.0,25.375,1598.4285714285713,0.0,1.0,3.0,800.0,16960.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.180922504,1.1268054861215046E-7,21000.0,8.0,9.0,1.0,203.0,25.375,1598.4285714285713,0.0,1.0,1.0,1800.0,16960.0,0.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.249055164,1.19097952001457E-7,22000.0,9.0,9.0,1.0,203.0,22.555555555555557,1398.625,0.0,1.0,5.0,115.0,16536.0,1.0,39.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.332171621,1.270694518075966E-7,23000.0,10.0,9.0,1.0,203.0,20.3,1311.6666666666667,0.0,1.0,3.0,496.0,16768.0,1.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.417499161,1.349445009192576E-7,24000.0,12.0,9.0,1.0,203.0,16.916666666666668,1208.8181818181818,0.0,1.0,4.0,5.0,9200.0,2.0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.463381299,1.393525432344402E-7,25000.0,12.0,9.0,1.0,203.0,16.916666666666668,1208.8181818181818,0.0,1.0,2.0,1005.0,16960.0,0.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.509459735,1.4375941803929292E-7,26000.0,13.0,9.0,1.0,203.0,15.615384615384615,1191.5833333333333,0.0,1.0,3.0,1003.0,16768.0,1.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.563023343,1.489167507721194E-7,27000.0,14.0,9.0,1.0,203.0,14.5,1222.3076923076924,0.0,1.0,5.0,412.0,16960.0,1.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.651343409,1.5737232762965892E-7,28000.0,14.0,9.0,1.0,203.0,14.5,1222.3076923076924,0.0,1.0,4.0,1412.0,16960.0,0.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
