learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.076918257,7.262587383501232E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,1000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.189437404,1.8273625248840285E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,1000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.272905711,2.644177007962846E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,1000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.307596067,2.983654184658908E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,1000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.353644654,3.434282143207474E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,2000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.394162914,3.830790743737171E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,3000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.422665284,4.1097127616244055E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,4000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.448096204,4.3585778041850355E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,5000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.467850526,4.551892091882311E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,6000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.487647931,4.745627986530049E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,7000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.512122703,4.985136237723546E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,8000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.536228831,5.221036966863192E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,9000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.560978051,5.463230945242362E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,10000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.584729646,5.695662241497388E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,11000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.608232776,5.925662078222053E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,12000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.63774416,6.214458230118371E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,13000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.661987194,6.45169871092712E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,14000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.705387365,6.87640947259259E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,15000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.746061289,7.274441389148022E-8,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,7.0,16000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.780648428,7.612908492158272E-8,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,17000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.819353789,7.991676201411007E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,9.0,18000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.856893963,8.359041479593766E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,19000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.896137855,8.74307921211877E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,20000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.933402885,9.107751952112965E-8,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,21000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.966057039,9.427303011413666E-8,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,22000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.99844001,9.74420029456955E-8,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,23000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.019317777,9.948508529310013E-8,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,24000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.045888572,1.0208528301640106E-7,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,25000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.071186214,1.0456089095862791E-7,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,7.0,26000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.09676842,1.0706434611675228E-7,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,27000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.126739732,1.099973158388378E-7,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,28000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.151772724,1.1244702533401136E-7,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,29000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.173858598,1.1460833211056475E-7,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,30000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.194448097,1.1662320477145828E-7,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,31000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.220634873,1.191858226884529E-7,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,32000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.252017916,1.2225694332894767E-7,36000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,33000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.277107001,1.2471214204229828E-7,37000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,34000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.305843936,1.2752431657308092E-7,38000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,35000.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
