learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.066805737,6.091526731736959E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,41.0,16312.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.135041532,1.2598151919692757E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,41.0,16312.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.182547691,1.7128102376523118E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,41.0,16312.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.218631065,2.0568833009687562E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,41.0,16312.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.245920632,2.3171030053198337E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,41.0,16312.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.271151125,2.557688406659911E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,41.0,16312.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.292014554,2.756631663111349E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,41.0,16312.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.311615636,2.9435378079762062E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,41.0,16312.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.330740753,3.125905387916913E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,41.0,16312.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.346365957,3.2748995425440376E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,41.0,16312.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
