learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.109031354,1.0011724122431542E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,105.0,16928.0,5.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.211233571,1.9747911151047383E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,105.0,16928.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.287747742,2.703695341512561E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,105.0,16928.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.329300017,3.099538731939677E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,105.0,16928.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.365735639,3.4466388641177786E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,105.0,16928.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.403736802,3.808652958462636E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,105.0,16928.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.423407973,3.9960483061857526E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,105.0,16928.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.439924869,4.15339478389298E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,105.0,16928.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.507120232,4.8124793189228E-8,9000.0,5.0,0.0,0.0,?,0.0,105.2,?,0.0,9.0,458.0,16960.0,5.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.591752358,5.632783349466614E-8,10000.0,11.0,0.0,0.0,?,0.0,171.36363636363637,?,0.0,5.0,96.0,16920.0,6.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
