learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
2000.0,3.592626019,8.525433841520811E-6,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,1000.0,9193816.0
3000.0,4.058275544,9.632956452234797E-6,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,1000.0,9193816.0
4000.0,4.464042244,1.0598050950988551E-5,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,1000.0,9193816.0
5000.0,4.913875505,1.1667955419609466E-5,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,1000.0,9193816.0
6000.0,5.455535059,1.2956263838616772E-5,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,9193816.0
7000.0,5.991872602,1.4231914137728072E-5,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,1000.0,9193816.0
8000.0,6.425195595,1.526254981268073E-5,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,1000.0,9193816.0
9000.0,6.76886528,1.6079949866410953E-5,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,1000.0,9193816.0
10000.0,7.427871674,1.769646130102031E-5,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,2000.0,9481816.0
11000.0,8.054949113,1.928137343307333E-5,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,3000.0,9769816.0
12000.0,8.704849022,2.0972389724843057E-5,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,4000.0,1.0057816E7
13000.0,9.487827575,2.3068008331202922E-5,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,5000.0,1.0345816E7
14000.0,10.357742991,2.5461124592316423E-5,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,6000.0,1.0633816E7
15000.0,11.110054815,2.7586767816138638E-5,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,7000.0,1.0921816E7
16000.0,11.886522392,2.9838514018475426E-5,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,8000.0,1.1209816E7
17000.0,12.704666428,3.227207790826238E-5,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,9000.0,1.1497816E7
18000.0,13.494493023,3.4680258428763916E-5,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,10000.0,1.1785816E7
19000.0,14.272030718,3.71089011777468E-5,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,11000.0,1.2073816E7
20000.0,15.035229834,3.954962007116247E-5,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,12000.0,1.2361816E7
21000.0,15.865996543,4.2268317789138594E-5,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,13000.0,1.2649816E7
22000.0,16.627515581,4.4817138954608434E-5,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,14000.0,1.2937816E7
23000.0,17.594311091,4.8125056918344133E-5,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,15000.0,1.3225816E7
24000.0,18.506657708,5.131465158698056E-5,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,16000.0,1.3513816E7
25000.0,19.393656739,5.4481716814291743E-5,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,17000.0,1.3801816E7
26000.0,20.230628097,5.753251547616669E-5,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,18000.0,1.4089816E7
27000.0,21.079047913,6.068825649027109E-5,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,19000.0,1.4377816E7
28000.0,21.888788588,6.37604588375071E-5,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,7.0,20000.0,1.4665816E7
29000.0,22.769196324,6.716730080576664E-5,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,21000.0,1.4957896E7
30000.0,25.920564353,7.587176597664964E-5,29000.0,1.0,0.0,1.0,9488.0,9488.0,?,0.0,1.0,1.0,22000.0,1.0676904E7
31000.0,26.662513349,7.797639964913239E-5,30000.0,1.0,0.0,1.0,9488.0,9488.0,?,0.0,1.0,3.0,23000.0,1.0964904E7
32000.0,27.365417459,8.002264792218597E-5,31000.0,1.0,0.0,1.0,9488.0,9488.0,?,0.0,1.0,7.0,24000.0,1.1252904E7
33000.0,28.0239456,8.198877595912961E-5,32000.0,1.0,0.0,1.0,9488.0,9488.0,?,0.0,1.0,3.0,25000.0,1.1540904E7
34000.0,28.781869951,8.4308135072913E-5,33000.0,1.0,0.0,1.0,9488.0,9488.0,?,0.0,1.0,5.0,26000.0,1.1828904E7
35000.0,29.570297092,8.677957957478865E-5,34000.0,1.0,0.0,1.0,9488.0,9488.0,?,0.0,1.0,2.0,27000.0,1.2116904E7
36000.0,30.414757289,8.948958538020398E-5,35000.0,1.0,0.0,1.0,9488.0,9488.0,?,0.0,1.0,1.0,28000.0,1.2404904E7
37000.0,31.234745229,9.218214971998914E-5,36000.0,1.0,0.0,1.0,9488.0,9488.0,?,0.0,1.0,9.0,29000.0,1.2692904E7
38000.0,32.072186084,9.49944177628311E-5,37000.0,1.0,0.0,1.0,9488.0,9488.0,?,0.0,1.0,7.0,30000.0,1.2980904E7
39000.0,32.885612978,9.778664788904733E-5,38000.0,1.0,0.0,1.0,9488.0,9488.0,?,0.0,1.0,4.0,31000.0,1.3268904E7
40000.0,33.700326008,1.0064399375303241E-4,39000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,5.0,32000.0,1.3556904E7
41000.0,34.512046966,1.0355132380386356E-4,40000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,0.0,33000.0,1.3844904E7
42000.0,35.268424815,1.0631678672591063E-4,41000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,6.0,34000.0,1.4132904E7
43000.0,36.13100675,1.0953481957937358E-4,42000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,2.0,35000.0,1.4420904E7
44000.0,37.322450205,1.1406850496126606E-4,43000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,2.0,36000.0,1.4708904E7
45000.0,38.359039642,1.1809017114836137E-4,44000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,2.0,37000.0,1.4996904E7
46000.0,39.27687695,1.2171949774635537E-4,45000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,1.0,38000.0,1.5284904E7
47000.0,40.05530867,1.2485558227678416E-4,46000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,5.0,39000.0,1.5572904E7
48000.0,40.852916079,1.2812834669874163E-4,47000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,7.0,40000.0,1.5860904E7
49000.0,41.614704869,1.3131171670970843E-4,48000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,3.0,41000.0,1.6153064E7
50000.0,42.335119676,1.3437586782532942E-4,49000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,1.0,42000.0,1.6441064E7
51000.0,43.100426426,1.3768797831238602E-4,50000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,3.0,43000.0,1.6729064E7
52000.0,43.904193549,1.4122642371980384E-4,51000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,7.0,44000.0,1.7017064E7
53000.0,44.64716472,1.4455258115483099E-4,52000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,3.0,45000.0,1.7305064E7
54000.0,45.382312387,1.478984868428484E-4,53000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,5.0,46000.0,1.7593064E7
55000.0,46.137896588,1.513937015194027E-4,54000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,2.0,47000.0,1.7881064E7
56000.0,46.899444892,1.5497324497647623E-4,55000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,1.0,48000.0,1.8169064E7
57000.0,47.640174444,1.5851012166797E-4,56000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,9.0,49000.0,1.8457064E7
58000.0,48.333019561,1.6186997807798737E-4,57000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,7.0,50000.0,1.8745064E7
59000.0,49.092343075,1.6560878627492226E-4,58000.0,1.0,0.0,2.0,4744.0,9488.0,?,0.5,1.0,4.0,51000.0,1.9033064E7
60000.0,49.813423963,1.6921301757015628E-4,59000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,5.0,52000.0,1.9321064E7
61000.0,50.596413183,1.7318502704805777E-4,60000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,0.0,53000.0,1.9609064E7
62000.0,51.355301515,1.7709131722703586E-4,61000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,6.0,54000.0,1.9897064E7
63000.0,52.168762319,1.8133912046552322E-4,62000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,2.0,55000.0,2.0185064E7
64000.0,52.952623632,1.8549076062226587E-4,63000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,2.0,56000.0,2.0473064E7
65000.0,53.766598388,1.8986253935228444E-4,64000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,2.0,57000.0,2.0761064E7
66000.0,54.566254281,1.9421699187768815E-4,65000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,1.0,58000.0,2.1049064E7
67000.0,55.433070363,1.9900174185835825E-4,66000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,5.0,59000.0,2.1337064E7
68000.0,56.233985648,2.0348239796456517E-4,67000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,7.0,60000.0,2.1625064E7
69000.0,57.100649331,2.083963823674179E-4,68000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,3.0,61000.0,2.1917224E7
70000.0,57.907163117,2.130294067223018E-4,69000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,1.0,62000.0,2.2205224E7
71000.0,58.792116264,2.1817896070882054E-4,70000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,3.0,63000.0,2.2493224E7
72000.0,59.587400601,2.2286598401262539E-4,71000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,7.0,64000.0,2.2781224E7
73000.0,60.446164049,2.2799110552231387E-4,72000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,3.0,65000.0,2.3069224E7
74000.0,61.274838287,2.3299839492408562E-4,73000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,5.0,66000.0,2.3357224E7
75000.0,62.099094495,2.3804040011769954E-4,74000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,2.0,67000.0,2.3645224E7
76000.0,62.899865372,2.4299840676726673E-4,75000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,1.0,68000.0,2.3933224E7
77000.0,63.720074606,2.4813787717386317E-4,76000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,9.0,69000.0,2.4221224E7
78000.0,64.529026343,2.532670791653783E-4,77000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,7.0,70000.0,2.4509224E7
79000.0,65.368953502,2.5865526193578914E-4,78000.0,1.0,0.0,3.0,3162.6666666666665,9488.0,?,0.6666666666666666,1.0,4.0,71000.0,2.4797224E7
80000.0,66.315787632,2.6479980393498366E-4,79000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,5.0,72000.0,2.5085224E7
81000.0,67.355201319,2.7162258937750194E-4,80000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,0.0,73000.0,2.5373224E7
82000.0,68.330485878,2.7809709102027307E-4,81000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,6.0,74000.0,2.5661224E7
83000.0,69.311156961,2.8468041720681537E-4,82000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,2.0,75000.0,2.5949224E7
84000.0,70.343797414,2.9168955578681894E-4,83000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,2.0,76000.0,2.6237224E7
85000.0,71.340283737,2.985275390223576E-4,84000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,2.0,77000.0,2.6525224E7
86000.0,72.509063072,3.0663489402030616E-4,85000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,1.0,78000.0,2.6813224E7
87000.0,73.552293862,3.139490957036003E-4,86000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,5.0,79000.0,2.7101224E7
88000.0,74.587202055,3.2128205344589944E-4,87000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,7.0,80000.0,2.7389224E7
89000.0,75.555130905,3.2821357956187294E-4,88000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,3.0,81000.0,2.7681384E7
90000.0,76.570331027,3.355592627229038E-4,89000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,1.0,82000.0,2.7969384E7
91000.0,77.582306941,3.4295701456435186E-4,90000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,3.0,83000.0,2.8257384E7
92000.0,78.58091931,3.5033147856571733E-4,91000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,7.0,84000.0,2.8545384E7
93000.0,79.591425238,3.5786906162470195E-4,92000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,3.0,85000.0,2.8833384E7
94000.0,80.598118974,3.6545321324424297E-4,93000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,5.0,86000.0,2.9121384E7
95000.0,81.633008884,3.733268923314597E-4,94000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,2.0,87000.0,2.9409384E7
96000.0,82.633118938,3.810104723266269E-4,95000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,1.0,88000.0,2.9697384E7
97000.0,83.590302611,3.8843557607542246E-4,96000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,9.0,89000.0,2.9985384E7
98000.0,84.766194195,3.9764486039237784E-4,97000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,7.0,90000.0,3.0273384E7
99000.0,85.976525536,4.0721404485365934E-4,98000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,4.0,91000.0,3.0561384E7
100000.0,87.072202686,4.159583787089434E-4,99000.0,1.0,0.0,4.0,2372.0,9488.0,?,0.75,1.0,5.0,92000.0,3.0849384E7
