learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.047449725,4.085703460344424E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,1824.0,0.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.127942928,1.1357654933260961E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.197976624,1.7693800492876523E-8,3000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,915.0,1824.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.243628813,2.1803768865186723E-8,4000.0,2.0,0.0,0.0,?,0.0,799.0,?,0.0,1.0,317.0,1824.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.289188344,2.592576213453586E-8,5000.0,3.0,0.0,0.0,?,0.0,827.6666666666666,?,0.0,1.0,432.0,1824.0,1.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.353690585,3.1764264772528165E-8,6000.0,5.0,0.0,0.0,?,0.0,701.8,?,0.0,1.0,406.0,1824.0,2.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.393653687,3.537950823955859E-8,7000.0,6.0,0.0,0.0,?,0.0,721.3333333333334,?,0.0,1.0,588.0,1824.0,1.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.416678673,3.746364422331047E-8,8000.0,7.0,0.0,0.0,?,0.0,747.5714285714286,?,0.0,0.0,683.0,1824.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.439819726,3.95570888382569E-8,9000.0,7.0,0.0,0.0,?,0.0,747.5714285714286,?,0.0,1.0,1683.0,1824.0,0.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.46684091,4.198974790795396E-8,10000.0,9.0,0.0,0.0,?,0.0,865.5555555555555,?,0.0,0.0,125.0,1824.0,2.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.499149627,4.4912808455214324E-8,11000.0,10.0,0.0,0.0,?,0.0,848.8,?,0.0,1.0,427.0,1824.0,1.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.531221255,4.781415339095105E-8,12000.0,11.0,0.0,0.0,?,0.0,822.1818181818181,?,0.0,1.0,871.0,1824.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.565088135,5.087818532966285E-8,13000.0,13.0,0.0,0.0,?,0.0,823.9230769230769,?,0.0,0.0,205.0,1824.0,2.0,29.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.596121278,5.367203243792265E-8,14000.0,15.0,0.0,0.0,?,0.0,787.4666666666667,?,0.0,1.0,103.0,1824.0,2.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.630328921,5.6766894164188874E-8,15000.0,16.0,0.0,0.0,?,0.0,789.0625,?,0.0,1.0,291.0,1824.0,1.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.662174609,5.964773363471445E-8,16000.0,16.0,0.0,0.0,?,0.0,789.0625,?,0.0,1.0,1291.0,1824.0,0.0,29.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.696597816,6.274678091245807E-8,17000.0,19.0,0.0,0.0,?,0.0,783.7894736842105,?,0.0,1.0,23.0,1824.0,3.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.727084148,6.550496516037733E-8,18000.0,20.0,0.0,0.0,?,0.0,771.2,?,0.0,1.0,491.0,1824.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.768248811,6.922924806386027E-8,19000.0,21.0,0.0,1.0,0.0,0.0,783.0,1.0,0.0,1.0,472.0,1824.0,1.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
