learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.114459764,1.10488639782038E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,64.0,1824.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.199976591,1.9779235030925937E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,64.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.238278086,2.3689415926949845E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,64.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.275740974,2.7513983844402763E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,64.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.357139226,3.5812099229097364E-8,5000.0,27.0,0.0,0.0,?,0.0,34.48148148148148,?,0.0,0.0,46.0,1824.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.43680079,4.392212242531279E-8,6000.0,55.0,0.0,0.0,?,0.0,35.41818181818182,?,0.0,0.0,29.0,1824.0,28.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.497926121,5.013720301664331E-8,7000.0,84.0,0.0,0.0,?,0.0,35.285714285714285,?,0.0,1.0,13.0,1816.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.549174553,5.537082740502018E-8,8000.0,107.0,0.0,0.0,?,0.0,36.532710280373834,?,0.0,1.0,68.0,1824.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.581776867,5.868831839588988E-8,9000.0,129.0,0.0,0.0,?,0.0,38.4031007751938,?,0.0,0.0,23.0,1824.0,22.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.614484373,6.201766409384915E-8,10000.0,156.0,0.0,0.0,?,0.0,38.14102564102564,?,0.0,1.0,27.0,1816.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.647616247,6.538814974442332E-8,11000.0,183.0,0.0,0.0,?,0.0,38.01639344262295,?,0.0,0.0,20.0,1824.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.682172899,6.890736769370943E-8,12000.0,208.0,0.0,0.0,?,0.0,38.19230769230769,?,0.0,1.0,33.0,1824.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.732327696,7.400460264955752E-8,13000.0,237.0,0.0,0.0,?,0.0,37.85232067510549,?,0.0,0.0,6.0,1824.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.786647825,7.952752138670535E-8,14000.0,266.0,0.0,0.0,?,0.0,37.462406015037594,?,0.0,0.0,12.0,1824.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.84301143,8.525599116401955E-8,15000.0,295.0,0.0,0.0,?,0.0,37.186440677966104,?,0.0,0.0,7.0,1816.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.897810876,9.084658376012827E-8,16000.0,321.0,0.0,0.0,?,0.0,37.14330218068536,?,0.0,0.0,54.0,1824.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
