learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.028322976,2.469433539708455E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,941.0,1824.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.102907936,9.288351032733919E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,941.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.152295183,1.380357182926809E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,941.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.192759008,1.750297026197116E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,941.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.225461546,2.0492794328841074E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,941.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.248767478,2.262353526382397E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,941.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.272911364,2.483088600310187E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,941.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.28803884,2.621391296620171E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,941.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.302339846,2.7521380047785745E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,941.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.316516067,2.8817438681616144E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,941.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.333907391,3.040743756946798E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1941.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.356936047,3.250277228226472E-8,12000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,230.0,1824.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.380601059,3.466653795516533E-8,13000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,1230.0,1824.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.408078845,3.717891741705231E-8,14000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,2230.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.439003486,3.999269316532339E-8,15000.0,2.0,0.0,0.0,?,0.0,1581.5,?,0.0,0.0,55.0,1824.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.45670933,4.1611410347453014E-8,16000.0,2.0,0.0,0.0,?,0.0,1581.5,?,0.0,0.0,1055.0,1824.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.474939608,4.327909143111152E-8,17000.0,3.0,0.0,0.0,?,0.0,1429.0,?,0.0,1.0,931.0,1824.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.491543174,4.4797997472122736E-8,18000.0,3.0,0.0,0.0,?,0.0,1429.0,?,0.0,1.0,1931.0,1824.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.516125643,4.703471074891795E-8,19000.0,4.0,0.0,1.0,0.0,0.0,1780.75,1.0,0.0,0.0,100.0,1824.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.541288853,4.9336607040413144E-8,20000.0,4.0,1.0,1.0,0.0,0.0,1780.75,1.0,0.0,0.0,1100.0,1824.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.577261722,5.262743071266554E-8,21000.0,5.0,3.0,1.0,1574.0,314.8,2197.5,0.0,1.0,0.0,433.0,1824.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.599973371,5.470510853605759E-8,22000.0,5.0,3.0,1.0,1574.0,314.8,2197.5,0.0,1.0,0.0,1433.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.624213222,5.6921182692475205E-8,23000.0,5.0,3.0,1.0,1574.0,314.8,2197.5,0.0,1.0,1.0,2433.0,1824.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.646396418,5.893949874647169E-8,24000.0,6.0,3.0,1.0,1574.0,262.3333333333333,1758.0,0.0,1.0,0.0,27.0,1824.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.664896712,6.062272962014087E-8,25000.0,6.0,3.0,1.0,1574.0,262.3333333333333,1758.0,0.0,1.0,0.0,1027.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.682498954,6.223292239338367E-8,26000.0,6.0,3.0,1.0,1574.0,262.3333333333333,1758.0,0.0,1.0,0.0,2027.0,1824.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.701763053,6.39951361496105E-8,27000.0,6.0,3.0,1.0,1574.0,262.3333333333333,1758.0,0.0,1.0,1.0,3027.0,1824.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.720464082,6.569663069786919E-8,28000.0,7.0,3.0,1.0,1574.0,224.85714285714286,2032.6666666666667,0.0,1.0,1.0,623.0,1824.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.738378457,6.733533925254314E-8,29000.0,7.0,3.0,1.0,1574.0,224.85714285714286,2032.6666666666667,0.0,1.0,1.0,1623.0,1824.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,0.756315842,6.89761155122229E-8,30000.0,8.0,3.0,1.0,1574.0,196.75,1974.0,0.0,1.0,0.0,997.0,1824.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,0.772397957,7.044718570988213E-8,31000.0,8.0,3.0,1.0,1574.0,196.75,1974.0,0.0,1.0,1.0,1997.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,0.789644764,7.201636931391642E-8,32000.0,9.0,3.0,1.0,1574.0,174.88888888888889,2074.5,0.0,1.0,0.0,230.0,1824.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,0.807605141,7.365828226441727E-8,33000.0,9.0,3.0,1.0,1574.0,174.88888888888889,2074.5,0.0,1.0,1.0,1230.0,1824.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,0.822951012,7.506118067415641E-8,34000.0,9.0,3.0,1.0,1574.0,174.88888888888889,2074.5,0.0,1.0,0.0,2230.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,0.84027048,7.663697526710319E-8,35000.0,10.0,3.0,1.0,1574.0,157.4,2195.4444444444443,0.0,1.0,1.0,55.0,1824.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,0.864542915,7.885617904594586E-8,36000.0,10.0,3.0,1.0,1574.0,157.4,2195.4444444444443,0.0,1.0,1.0,1055.0,1824.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,0.888737627,8.10575108852093E-8,37000.0,11.0,3.0,1.0,1574.0,143.0909090909091,2088.3,0.0,1.0,0.0,931.0,1824.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,0.910139028,8.301523770361521E-8,38000.0,11.0,3.0,1.0,1574.0,143.0909090909091,2088.3,0.0,1.0,0.0,1931.0,1824.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
