learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
2000.0,0.739651028,7.287674138613707E-7,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,3827736.0
3000.0,1.023222311,1.0095704855340077E-6,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,3827736.0
4000.0,1.133762911,1.1190319926942242E-6,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,3827736.0
5000.0,1.2305475,1.2148717744741505E-6,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,3827736.0
6000.0,1.330225418,1.3135766406940958E-6,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,3827736.0
7000.0,1.464072989,1.4461175971516697E-6,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,3827736.0
8000.0,1.598238135,1.5789730284550145E-6,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,3827736.0
9000.0,1.732630158,1.7120531219943159E-6,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,3827736.0
10000.0,1.947952564,1.932403679161817E-6,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,2000.0,3955736.0
11000.0,2.165115755,2.1618290817687516E-6,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,3000.0,4083736.0
12000.0,2.385462134,2.401913894461621E-6,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,4000.0,4211736.0
13000.0,2.608722242,2.652566411770487E-6,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,5000.0,4339736.0
14000.0,2.833476908,2.912339315277901E-6,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,6000.0,4467736.0
15000.0,3.062096269,3.1841494893812864E-6,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,7000.0,4595736.0
16000.0,3.290340137,3.4630712293170703E-6,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,8000.0,4723736.0
17000.0,3.516917291,3.747458994262113E-6,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,9000.0,4851736.0
18000.0,3.681381165,3.959331432556218E-6,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,10000.0,4979736.0
19000.0,3.850757998,4.18314173782671E-6,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,11000.0,5107736.0
20000.0,4.037497109,4.436077743747786E-6,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,12000.0,5235736.0
21000.0,4.252519284,4.734443016755133E-6,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,13000.0,5363736.0
22000.0,4.43209521,4.989569413556543E-6,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,14000.0,5491736.0
23000.0,4.621872903,5.265473864264159E-6,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,15000.0,5619736.0
24000.0,4.812956396,5.5496042056690655E-6,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,16000.0,5747736.0
25000.0,5.008146182,5.8463038267712425E-6,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,17000.0,5875736.0
26000.0,5.245085098,6.214310431751034E-6,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,18000.0,6003736.0
27000.0,5.491298116,6.604874323056324E-6,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,19000.0,6131736.0
28000.0,5.720650976,6.976287927113863E-6,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,20000.0,6259736.0
29000.0,5.924524014,7.313233580246589E-6,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,21000.0,6388552.0
30000.0,6.136011552,7.669767025542616E-6,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,22000.0,6516552.0
31000.0,6.346958372,8.032374136539202E-6,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,23000.0,6644552.0
32000.0,6.588503629,8.455576896794442E-6,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,24000.0,6772552.0
33000.0,6.848117268,8.91903338548197E-6,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,25000.0,6900552.0
34000.0,7.07219436,9.326470841304471E-6,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,26000.0,7028552.0
