learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.111597943,1.0519012634936308E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.181589081,1.7468096438518002E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,1000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.225653023,2.184299352440569E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,1000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.257449075,2.4999870756078097E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,1000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.287955345,2.8028691730023257E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.329991928,3.2202302081711174E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,1000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.368120561,3.598791085453911E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.387784565,3.794025533149226E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,1000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.420112567,4.115135235336506E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,2000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.452057147,4.4324364582916934E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,3000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.483403305,4.7439298716841476E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,4000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.514340007,5.05135443405269E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,5000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.545100315,5.357159821460231E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,6000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.575872501,5.663083294694209E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,7000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.609514806,5.997540222557469E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,8000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.647651244,6.376675834493919E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,9000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.681326782,6.711463150155627E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,10000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.711290162,7.009476057598574E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,11000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.741165452,7.306612830339206E-8,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,12000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.771484678,7.608164948013507E-8,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,13000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.801524793,7.906941054416406E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,14000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.833095737,8.22094263942312E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,15000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.863126219,8.519622936930713E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,16000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.895494708,8.84155682811472E-8,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,17000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.932940581,9.213989894226399E-8,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,18000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.973152601,9.613934793445178E-8,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,19000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.011142438,9.991778073397361E-8,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,3.0,20000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.063482231,1.0512073834379927E-7,28000.0,1.0,0.0,1.0,8032.0,8032.0,?,0.0,1.0,1.0,969.0,30560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.105616915,1.0931106484707444E-7,29000.0,1.0,0.0,1.0,8032.0,8032.0,?,0.0,1.0,5.0,1969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.146250773,1.133538990757904E-7,30000.0,1.0,0.0,1.0,8032.0,8032.0,?,0.0,1.0,1.0,2969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.186846529,1.1739294237552831E-7,31000.0,1.0,0.0,1.0,8032.0,8032.0,?,0.0,1.0,4.0,3969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.227038431,1.2139180453434172E-7,32000.0,1.0,0.0,1.0,8032.0,8032.0,?,0.0,1.0,2.0,4969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.267467329,1.2541600353606044E-7,33000.0,1.0,0.0,1.0,8032.0,8032.0,?,0.0,1.0,5.0,5969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.307784103,1.29429041974143E-7,34000.0,1.0,0.0,1.0,8032.0,8032.0,?,0.0,1.0,3.0,6969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.347690546,1.3340123701351177E-7,35000.0,1.0,0.0,1.0,8032.0,8032.0,?,0.0,1.0,3.0,7969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.387443117,1.3735811598988042E-7,36000.0,1.0,0.0,1.0,8032.0,8032.0,?,0.0,1.0,3.0,8969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.42742181,1.4133750262714715E-7,37000.0,1.0,0.0,1.0,8032.0,8032.0,?,0.0,1.0,1.0,9969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.467478691,1.453264128580503E-7,38000.0,1.0,0.0,1.0,8032.0,8032.0,?,0.0,1.0,0.0,10969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.507221211,1.4928401865940746E-7,39000.0,1.0,0.0,2.0,4016.0,8032.0,?,0.5,1.0,3.0,11969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.547208537,1.5326600252349963E-7,40000.0,1.0,0.0,2.0,4016.0,8032.0,?,0.5,1.0,5.0,12969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.587291612,1.572575211830168E-7,41000.0,1.0,0.0,2.0,4016.0,8032.0,?,0.5,1.0,0.0,13969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.627126705,1.6122434551007008E-7,42000.0,1.0,0.0,2.0,4016.0,8032.0,?,0.5,1.0,5.0,14969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.666919326,1.6518694042656775E-7,43000.0,1.0,0.0,2.0,4016.0,8032.0,?,0.5,1.0,1.0,15969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.707013169,1.6917953137589615E-7,44000.0,1.0,0.0,2.0,4016.0,8032.0,?,0.5,1.0,1.0,16969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.746951838,1.7315666992002682E-7,45000.0,1.0,0.0,2.0,4016.0,8032.0,?,0.5,1.0,5.0,17969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.786676437,1.7711249112761474E-7,46000.0,1.0,0.0,2.0,4016.0,8032.0,?,0.5,1.0,5.0,18969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,1.826507185,1.810788827745761E-7,47000.0,1.0,0.0,2.0,4016.0,8032.0,?,0.5,1.0,2.0,19969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,1.872067418,1.8560790261599544E-7,48000.0,2.0,0.0,2.0,8032.0,8032.0,?,0.0,2.0,5.0,969.0,30560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.911708544,1.8955024287176835E-7,49000.0,2.0,0.0,2.0,8032.0,8032.0,?,0.0,2.0,2.0,1969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,1.951053588,1.9346484754980643E-7,50000.0,2.0,0.0,2.0,8032.0,8032.0,?,0.0,2.0,3.0,2969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,1.991706748,1.9750960221606202E-7,51000.0,2.0,0.0,2.0,8032.0,8032.0,?,0.0,2.0,1.0,3969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,2.031227491,2.0144168793001728E-7,52000.0,2.0,0.0,2.0,8032.0,8032.0,?,0.0,2.0,5.0,4969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,2.070598238,2.0536056102852024E-7,53000.0,2.0,0.0,2.0,8032.0,8032.0,?,0.0,2.0,0.0,5969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55000.0,2.109683953,2.09251062700974E-7,54000.0,2.0,0.0,2.0,8032.0,8032.0,?,0.0,2.0,0.0,6969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56000.0,2.148852302,2.131497895706693E-7,55000.0,2.0,0.0,2.0,8032.0,8032.0,?,0.0,2.0,0.0,7969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57000.0,2.188421247,2.1708839083969383E-7,56000.0,2.0,0.0,2.0,8032.0,8032.0,?,0.0,2.0,5.0,8969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
58000.0,2.227599423,2.2098809586624095E-7,57000.0,2.0,0.0,2.0,8032.0,8032.0,?,0.0,2.0,5.0,9969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
59000.0,2.26666926,2.2487871512161978E-7,58000.0,2.0,0.0,2.0,8032.0,8032.0,?,0.0,2.0,4.0,10969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60000.0,2.305975448,2.2879287048111975E-7,59000.0,2.0,0.0,3.0,5354.666666666667,8032.0,?,0.3333333333333333,2.0,5.0,11969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
61000.0,2.345338588,2.3271269718621129E-7,60000.0,2.0,0.0,3.0,5354.666666666667,8032.0,?,0.3333333333333333,2.0,0.0,12969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
62000.0,2.384512796,2.3661370982568087E-7,61000.0,2.0,0.0,3.0,5354.666666666667,8032.0,?,0.3333333333333333,2.0,1.0,13969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
63000.0,2.423312457,2.404774246445774E-7,62000.0,2.0,0.0,3.0,5354.666666666667,8032.0,?,0.3333333333333333,2.0,5.0,14969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
64000.0,2.462227288,2.443526082243915E-7,63000.0,2.0,0.0,3.0,5354.666666666667,8032.0,?,0.3333333333333333,2.0,1.0,15969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
65000.0,2.500900382,2.4820371935601653E-7,64000.0,2.0,0.0,3.0,5354.666666666667,8032.0,?,0.3333333333333333,2.0,3.0,16969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66000.0,2.539550698,2.520525622282322E-7,65000.0,2.0,0.0,3.0,5354.666666666667,8032.0,?,0.3333333333333333,2.0,2.0,17969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
67000.0,2.578123202,2.558936564920905E-7,66000.0,2.0,0.0,3.0,5354.666666666667,8032.0,?,0.3333333333333333,2.0,0.0,18969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
68000.0,2.616822737,2.597474006488733E-7,67000.0,2.0,0.0,3.0,5354.666666666667,8032.0,?,0.3333333333333333,2.0,4.0,19969.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
69000.0,2.666316242,2.6466741644787915E-7,68000.0,4.0,0.0,3.0,8032.0,6024.0,0.0,0.0,3.0,5.0,937.0,30560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
70000.0,2.705720842,2.685862340123103E-7,69000.0,4.0,0.0,3.0,8032.0,6024.0,0.0,0.0,3.0,0.0,1937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
71000.0,2.74515981,2.725101835859795E-7,70000.0,4.0,0.0,3.0,8032.0,6024.0,0.0,0.0,3.0,2.0,2937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
72000.0,2.784467469,2.7642106867239915E-7,71000.0,4.0,0.0,3.0,8032.0,6024.0,0.0,0.0,3.0,4.0,3937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
73000.0,2.82363265,2.803177780205653E-7,72000.0,4.0,0.0,3.0,8032.0,6024.0,0.0,0.0,3.0,2.0,4937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
74000.0,2.862927183,2.8422906495377836E-7,73000.0,4.0,0.0,3.0,8032.0,6024.0,0.0,0.0,3.0,1.0,5937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
75000.0,2.902477113,2.8816577351368137E-7,74000.0,4.0,0.0,3.0,8032.0,6024.0,0.0,0.0,3.0,1.0,6937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
76000.0,2.938466613,2.917480851060566E-7,75000.0,4.0,0.0,3.0,8032.0,6024.0,0.0,0.0,3.0,1.0,7937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
77000.0,2.972377401,2.95123486513661E-7,76000.0,4.0,0.0,3.0,8032.0,6024.0,0.0,0.0,3.0,3.0,8937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
78000.0,3.00597944,2.9846815575988964E-7,77000.0,4.0,0.0,3.0,8032.0,6024.0,0.0,0.0,3.0,0.0,9937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
79000.0,3.039600502,3.0181617974072904E-7,78000.0,4.0,0.0,3.0,8032.0,6024.0,0.0,0.0,3.0,0.0,10937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
80000.0,3.073254516,3.051674851195866E-7,79000.0,4.0,0.0,4.0,6024.0,6024.0,0.0,0.25,3.0,1.0,11937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
81000.0,3.107425098,3.0857023093336366E-7,80000.0,4.0,0.0,4.0,6024.0,6024.0,0.0,0.25,3.0,4.0,12937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
82000.0,3.140918677,3.1190556001059917E-7,81000.0,4.0,0.0,4.0,6024.0,6024.0,0.0,0.25,3.0,0.0,13937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
83000.0,3.173719555,3.151719091264179E-7,82000.0,4.0,0.0,4.0,6024.0,6024.0,0.0,0.25,3.0,1.0,14937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
84000.0,3.207071065,3.1849309080941185E-7,83000.0,4.0,0.0,4.0,6024.0,6024.0,0.0,0.25,3.0,1.0,15937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
85000.0,3.24075528,3.2184740363854705E-7,84000.0,4.0,0.0,4.0,6024.0,6024.0,0.0,0.25,3.0,0.0,16937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
86000.0,3.273118146,3.250701350161785E-7,85000.0,4.0,0.0,4.0,6024.0,6024.0,0.0,0.25,3.0,1.0,17937.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
