learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.164506614,1.642125142623981E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,30560.0,0.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.388945989,3.96890362495929E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,2000.0,30560.0,0.0,34.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.491013428,5.024023082843878E-8,3000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,753.0,30560.0,1.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.542685928,5.5581861883523973E-8,4000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,2.0,1753.0,30560.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.606479335,6.217120741395072E-8,5000.0,2.0,0.0,0.0,?,0.0,879.0,?,0.0,0.0,995.0,30240.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.682699137,7.004409953960114E-8,6000.0,3.0,0.0,0.0,?,0.0,1119.6666666666667,?,0.0,5.0,395.0,30240.0,1.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.73917304,7.591047589028875E-8,7000.0,3.0,0.0,0.0,?,0.0,1119.6666666666667,?,0.0,5.0,1395.0,30240.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.79826711,8.173251294364531E-8,8000.0,4.0,0.0,0.0,?,0.0,1416.75,?,0.0,0.0,86.0,30240.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.841746923,8.624180488482737E-8,9000.0,4.0,0.0,0.0,?,0.0,1416.75,?,0.0,0.0,1086.0,30240.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.897079786,9.169328214226289E-8,10000.0,5.0,0.0,0.0,?,0.0,1537.2,?,0.0,0.0,67.0,30240.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.961109062,9.838703031709416E-8,11000.0,5.0,0.0,0.0,?,0.0,1537.2,?,0.0,4.0,1067.0,30240.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,1.025056822,1.050297733721199E-7,12000.0,6.0,0.0,0.0,?,0.0,1548.3333333333333,?,0.0,2.0,463.0,30240.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.075002385,1.0995048569463813E-7,13000.0,7.0,0.0,0.0,?,0.0,1507.4285714285713,?,0.0,1.0,203.0,30240.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.12905672,1.1553833831446451E-7,14000.0,8.0,0.0,0.0,?,0.0,1381.125,?,0.0,1.0,705.0,30560.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.205648431,1.2345598623240365E-7,15000.0,8.0,0.0,0.0,?,0.0,1381.125,?,0.0,5.0,1705.0,30560.0,0.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.247575484,1.278357398210445E-7,16000.0,8.0,0.0,0.0,?,0.0,1381.125,?,0.0,0.0,2705.0,30560.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.309187566,1.3429731926320947E-7,17000.0,8.0,0.0,0.0,?,0.0,1381.125,?,0.0,1.0,3705.0,30560.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.361812867,1.3974626787384557E-7,18000.0,8.0,0.0,0.0,?,0.0,1381.125,?,0.0,3.0,4705.0,30560.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.407893264,1.4453680597230997E-7,19000.0,9.0,0.0,1.0,0.0,0.0,1776.4444444444443,1.0,0.0,2.0,765.0,30560.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.475151603,1.5148961902211106E-7,20000.0,9.0,22.0,1.0,0.0,0.0,1776.4444444444443,1.0,0.0,3.0,1765.0,30560.0,0.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.525571093,1.5671862495034516E-7,21000.0,10.0,23.0,1.0,1004.0,100.4,1972.7777777777778,0.0,1.0,5.0,998.0,30240.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.576200302,1.6199452863879707E-7,22000.0,12.0,23.0,1.0,1004.0,83.66666666666667,1657.7272727272727,0.0,1.0,2.0,482.0,30560.0,2.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.630537943,1.676389951123566E-7,23000.0,13.0,23.0,1.0,1004.0,77.23076923076923,1625.5,0.0,1.0,4.0,210.0,30240.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.674702135,1.7225244310264164E-7,24000.0,14.0,23.0,1.0,1004.0,71.71428571428571,1564.7692307692307,0.0,1.0,5.0,374.0,30560.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.753108809,1.8036436544882133E-7,25000.0,15.0,23.0,1.0,1004.0,66.93333333333334,1502.0714285714287,0.0,1.0,1.0,688.0,30240.0,1.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.813202998,1.8658666045591028E-7,26000.0,16.0,23.0,1.0,1004.0,62.75,1479.2,0.0,1.0,3.0,529.0,30560.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.895429329,1.951346052097136E-7,27000.0,16.0,23.0,1.0,1004.0,62.75,1479.2,0.0,1.0,3.0,1529.0,30560.0,0.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.956689066,2.015031940914546E-7,28000.0,17.0,23.0,1.0,1004.0,59.05882352941177,1483.375,0.0,1.0,1.0,982.0,30560.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,2.031288062,2.0885897549891018E-7,29000.0,18.0,23.0,1.0,1004.0,55.77777777777778,1491.4705882352941,0.0,1.0,1.0,361.0,30560.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,2.10241925,2.1631887308973614E-7,30000.0,20.0,23.0,1.0,1004.0,50.2,1398.421052631579,0.0,1.0,1.0,149.0,30560.0,2.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,2.190495096,2.2551938862778456E-7,31000.0,20.0,23.0,1.0,1004.0,50.2,1398.421052631579,0.0,1.0,2.0,1149.0,30560.0,0.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,2.284845806,2.3482277386903143E-7,32000.0,21.0,23.0,1.0,1004.0,47.80952380952381,1424.05,0.0,1.0,4.0,235.0,30560.0,1.0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,2.353299221,2.415725745946852E-7,33000.0,22.0,23.0,1.0,1004.0,45.63636363636363,1407.5238095238096,0.0,1.0,1.0,161.0,30560.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,2.428142731,2.4932204931654244E-7,34000.0,22.0,23.0,1.0,1004.0,45.63636363636363,1407.5238095238096,0.0,1.0,1.0,1161.0,30560.0,0.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,2.518837824,2.5869763062792933E-7,35000.0,22.0,23.0,1.0,1004.0,45.63636363636363,1407.5238095238096,0.0,1.0,3.0,2161.0,30560.0,0.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,2.584233442,2.6555059544022296E-7,36000.0,23.0,23.0,1.0,1004.0,43.65217391304348,1461.909090909091,0.0,1.0,0.0,554.0,30240.0,1.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,2.64026636,2.7138983383893963E-7,37000.0,24.0,23.0,1.0,1004.0,41.833333333333336,1430.8695652173913,0.0,1.0,4.0,806.0,30560.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,2.693891068,2.7667746036526227E-7,38000.0,26.0,23.0,1.0,1004.0,38.61538461538461,1388.04,0.0,1.0,1.0,15.0,30560.0,2.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
