learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.162091545,1.8466374273132532E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,675.0,30240.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.239284065,2.7692083936960745E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,675.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.296221816,3.449703290918428E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,675.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.337137295,3.938707057099996E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,675.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.367175085,4.2977054801117626E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,675.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.393156924,4.6082289649602026E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,675.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.418191709,4.907433677938043E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,675.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.442873356,5.202417841231451E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,675.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.484597895,5.734578962884223E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1675.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.529357773,6.247204183791454E-8,10000.0,2.0,0.0,0.0,?,0.0,335.0,?,0.0,2.0,70.0,30240.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.569673753,6.719280734836435E-8,11000.0,4.0,0.0,0.0,?,0.0,343.0,?,0.0,0.0,368.0,30240.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.61334652,7.222980539053059E-8,12000.0,7.0,0.0,0.0,?,0.0,368.42857142857144,?,0.0,2.0,161.0,30560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.674704023,7.925580489081642E-8,13000.0,13.0,0.0,0.0,?,0.0,282.53846153846155,?,0.0,1.0,67.0,30240.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.716426399,8.428010012884107E-8,14000.0,15.0,0.0,0.0,?,0.0,262.3333333333333,?,0.0,2.0,805.0,30240.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.757719351,8.912423666127026E-8,15000.0,17.0,0.0,0.0,?,0.0,314.1764705882353,?,0.0,0.0,399.0,30240.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.799734997,9.394445870608505E-8,16000.0,20.0,0.0,0.0,?,0.0,332.35,?,0.0,0.0,93.0,30240.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.840854534,9.877242163170957E-8,17000.0,23.0,0.0,0.0,?,0.0,318.5217391304348,?,0.0,1.0,414.0,30240.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.878368863,1.0348881081044881E-7,18000.0,23.0,0.0,0.0,?,0.0,318.5217391304348,?,0.0,0.0,1414.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.918997191,1.0891840698277163E-7,19000.0,23.0,0.0,1.0,0.0,0.0,318.5217391304348,1.0,0.0,5.0,2414.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.972663348,1.1654110017429622E-7,20000.0,23.0,0.0,1.0,0.0,0.0,318.5217391304348,1.0,0.0,2.0,3414.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.025564569,1.245374225067761E-7,21000.0,23.0,0.0,1.0,0.0,0.0,318.5217391304348,1.0,0.0,1.0,4414.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.088811998,1.3188324476997677E-7,22000.0,27.0,0.0,1.0,2481.0,91.88888888888889,477.96153846153845,0.0,1.0,2.0,259.0,30240.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.136294836,1.3740203199846254E-7,23000.0,29.0,0.0,1.0,2481.0,85.55172413793103,479.10714285714283,0.0,1.0,4.0,271.0,30240.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.183435082,1.4312939293709685E-7,24000.0,31.0,0.0,1.0,2481.0,80.03225806451613,459.56666666666666,0.0,1.0,1.0,899.0,30240.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.233935559,1.4909067637138068E-7,25000.0,34.0,0.0,1.0,2481.0,72.97058823529412,460.030303030303,0.0,1.0,4.0,505.0,30240.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
