learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.199950607,2.0914408228836127E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,16.0,30240.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.280491193,2.981034047904528E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,16.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.425507429,4.576596196840621E-8,3000.0,32.0,0.0,0.0,?,0.0,30.3125,?,0.0,2.0,14.0,28640.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.521398686,5.63594031952425E-8,4000.0,59.0,0.0,0.0,?,0.0,33.50847457627118,?,0.0,0.0,7.0,30560.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.60874603,6.58764608330797E-8,5000.0,89.0,0.0,0.0,?,0.0,33.49438202247191,?,0.0,2.0,3.0,24792.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.715944917,7.767672018844427E-8,6000.0,119.0,0.0,0.0,?,0.0,33.39495798319328,?,0.0,4.0,10.0,28960.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.790765416,8.589919852044225E-8,7000.0,140.0,0.0,0.0,?,0.0,35.464285714285715,?,0.0,3.0,19.0,27992.0,21.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.861854466,9.37063087480867E-8,8000.0,164.0,0.0,0.0,?,0.0,36.43292682926829,?,0.0,5.0,9.0,27992.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.937998351,1.0197115955807061E-7,9000.0,192.0,0.0,0.0,?,0.0,36.359375,?,0.0,5.0,3.0,23192.0,28.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,1.028212485,1.1190008769155583E-7,10000.0,219.0,0.0,0.0,?,0.0,36.42465753424658,?,0.0,2.0,7.0,28960.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,1.124353833,1.2251737682343564E-7,11000.0,248.0,0.0,0.0,?,0.0,36.17338709677419,?,0.0,1.0,13.0,30240.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,1.207364061,1.3165069743805667E-7,12000.0,272.0,0.0,0.0,?,0.0,36.654411764705884,?,0.0,1.0,14.0,28640.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.291949211,1.4100141572115115E-7,13000.0,297.0,0.0,0.0,?,0.0,36.89225589225589,?,0.0,5.0,27.0,30240.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.372882921,1.4995098716611457E-7,14000.0,325.0,0.0,0.0,?,0.0,36.77538461538462,?,0.0,2.0,32.0,30240.0,28.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.470184037,1.6061842220012306E-7,15000.0,354.0,0.0,0.0,?,0.0,36.663841807909606,?,0.0,2.0,5.0,27360.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.558545162,1.7039388183586715E-7,16000.0,377.0,0.0,0.0,?,0.0,37.02122015915119,?,0.0,0.0,27.0,30560.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.639958932,1.7923023387480943E-7,17000.0,397.0,0.0,0.0,?,0.0,37.73803526448363,?,0.0,2.0,2.0,23192.0,20.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.727662407,1.8894618752993644E-7,18000.0,420.0,0.0,0.0,?,0.0,37.94761904761905,?,0.0,2.0,46.0,30560.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.825865574,1.9981169933928178E-7,19000.0,448.0,0.0,1.0,0.0,0.0,37.845982142857146,1.0,0.0,3.0,29.0,30560.0,28.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.922144714,2.1040256010458496E-7,20000.0,475.0,0.0,1.0,48.0,0.10105263157894737,37.87341772151899,0.0,1.0,1.0,11.0,28640.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,2.009633226,2.2009524295997912E-7,21000.0,498.0,0.0,1.0,48.0,0.0963855421686747,38.04426559356137,0.0,1.0,3.0,55.0,30240.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
