learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.120972679,1.2165772455367776E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,920.0,30240.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.198747293,2.031918142306308E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.235194147,2.4140043925162817E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.267508712,2.7527702834767597E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.307280744,3.1697156409583985E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.347965536,3.596229809118228E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.369554834,3.8225586417106295E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.387819725,4.014036449717979E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.405993742,4.2045615909766E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.424145294,4.3948512230850765E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.463420385,4.806586958818139E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1920.0,30240.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.494658495,5.13406796207693E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,2920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.525988843,5.4625159314158904E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,3920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.55819498,5.8001451303607074E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,4920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.596903724,6.20594363481593E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,5920.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.645583881,6.690222637122291E-8,16000.0,3.0,0.0,0.0,?,0.0,42.0,?,0.0,0.0,49.0,30240.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.748510776,7.776977030827147E-8,17000.0,13.0,0.0,0.0,?,0.0,81.15384615384616,?,0.0,2.0,128.0,30560.0,10.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.799286984,8.313098004258549E-8,18000.0,13.0,0.0,0.0,?,0.0,81.15384615384616,?,0.0,2.0,1128.0,30560.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.843102572,8.773911599322534E-8,19000.0,13.0,0.0,1.0,0.0,0.0,81.15384615384616,1.0,0.0,3.0,2128.0,30560.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.885407983,9.222344709437756E-8,20000.0,13.0,1.0,1.0,0.0,0.0,81.15384615384616,1.0,0.0,1.0,3128.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.925195897,9.644092604051449E-8,21000.0,13.0,1.0,1.0,0.0,0.0,81.15384615384616,1.0,0.0,3.0,4128.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.964979039,1.0065789915944141E-7,22000.0,13.0,1.0,1.0,0.0,0.0,81.15384615384616,1.0,0.0,5.0,5128.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.004363046,1.0483256436900755E-7,23000.0,13.0,1.0,1.0,0.0,0.0,81.15384615384616,1.0,0.0,1.0,6128.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.04438496,1.0907484708026261E-7,24000.0,13.0,1.0,1.0,0.0,0.0,81.15384615384616,1.0,0.0,3.0,7128.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.084381566,1.1331444716892104E-7,25000.0,13.0,1.0,1.0,0.0,0.0,81.15384615384616,1.0,0.0,1.0,8128.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.124441151,1.1756072296836312E-7,26000.0,13.0,1.0,1.0,0.0,0.0,81.15384615384616,1.0,0.0,1.0,9128.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.164409309,1.2179730759757676E-7,27000.0,13.0,1.0,1.0,0.0,0.0,81.15384615384616,1.0,0.0,2.0,10128.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.207018068,1.260361039716378E-7,28000.0,14.0,2.0,1.0,8984.0,641.7142857142857,935.2307692307693,0.0,1.0,5.0,26.0,30240.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.266454605,1.32267308512566E-7,29000.0,14.0,2.0,1.0,8984.0,641.7142857142857,935.2307692307693,0.0,1.0,2.0,1026.0,30240.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.34727699,1.408479491036882E-7,30000.0,19.0,2.0,1.0,8984.0,472.8421052631579,697.3333333333334,0.0,1.0,5.0,596.0,30240.0,5.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.391921859,1.4550976128273954E-7,31000.0,19.0,2.0,1.0,8984.0,472.8421052631579,697.3333333333334,0.0,1.0,0.0,1596.0,30240.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.432143884,1.4970974059080084E-7,32000.0,19.0,2.0,1.0,8984.0,472.8421052631579,697.3333333333334,0.0,1.0,2.0,2596.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.476274853,1.5437287428086003E-7,33000.0,19.0,2.0,1.0,8984.0,472.8421052631579,697.3333333333334,0.0,1.0,3.0,3596.0,30240.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.522692604,1.5928167738745196E-7,34000.0,19.0,2.0,1.0,8984.0,472.8421052631579,697.3333333333334,0.0,1.0,2.0,4596.0,30240.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.566910444,1.6397613663603447E-7,35000.0,19.0,2.0,1.0,8984.0,472.8421052631579,697.3333333333334,0.0,1.0,1.0,5596.0,30240.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.606806205,1.682117353040311E-7,36000.0,19.0,2.0,1.0,8984.0,472.8421052631579,697.3333333333334,0.0,1.0,1.0,6596.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.653347538,1.7308323102708285E-7,37000.0,19.0,2.0,1.0,8984.0,472.8421052631579,697.3333333333334,0.0,1.0,5.0,7596.0,30240.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.695418431,1.774762689229039E-7,38000.0,19.0,2.0,1.0,8984.0,472.8421052631579,697.3333333333334,0.0,1.0,3.0,8596.0,30240.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.737631729,1.8200683702855683E-7,39000.0,19.0,2.0,2.0,4492.0,472.8421052631579,697.3333333333334,0.5,1.0,5.0,9596.0,30240.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.779563546,1.8651066630633135E-7,40000.0,19.0,3.0,2.0,4492.0,472.8421052631579,697.3333333333334,0.5,1.0,1.0,10596.0,30240.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.81885776,1.907311948720345E-7,41000.0,19.0,3.0,2.0,4492.0,472.8421052631579,697.3333333333334,0.5,1.0,2.0,11596.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.862312393,1.952975915426057E-7,42000.0,19.0,5.0,2.0,4492.0,472.8421052631579,697.3333333333334,0.5,1.0,1.0,12596.0,30240.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.906410634,1.9968821491760926E-7,43000.0,20.0,7.0,2.0,6490.0,649.0,1452.2777777777778,0.0,2.0,4.0,15.0,30560.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.952141646,2.0445956157433076E-7,44000.0,20.0,7.0,2.0,6490.0,649.0,1452.2777777777778,0.0,2.0,0.0,1015.0,30560.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.995080406,2.0893957852584207E-7,45000.0,20.0,7.0,2.0,6490.0,649.0,1452.2777777777778,0.0,2.0,3.0,2015.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,2.043246693,2.1373523524125005E-7,46000.0,23.0,7.0,2.0,6490.0,564.3478260869565,1251.047619047619,0.0,2.0,5.0,33.0,30560.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,2.113441695,2.2108837885509765E-7,47000.0,24.0,7.0,2.0,6490.0,540.8333333333334,1197.3636363636363,0.0,2.0,0.0,964.0,30560.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,2.153346232,2.2526850255400565E-7,48000.0,24.0,7.0,2.0,6490.0,540.8333333333334,1197.3636363636363,0.0,2.0,5.0,1964.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,2.21225675,2.3147382151349346E-7,49000.0,26.0,7.0,2.0,6490.0,499.2307692307692,1201.5,0.0,2.0,4.0,477.0,30560.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,2.2829562,2.389563329686866E-7,50000.0,27.0,7.0,2.0,6490.0,480.74074074074076,1172.48,0.0,2.0,1.0,991.0,30560.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,2.323025083,2.4319704313042473E-7,51000.0,27.0,7.0,2.0,6490.0,480.74074074074076,1172.48,0.0,2.0,2.0,1991.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53000.0,2.362848883,2.4741181481095864E-7,52000.0,27.0,7.0,2.0,6490.0,480.74074074074076,1172.48,0.0,2.0,5.0,2991.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54000.0,2.402697058,2.5162916623174115E-7,53000.0,27.0,7.0,2.0,6490.0,480.74074074074076,1172.48,0.0,2.0,5.0,3991.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55000.0,2.44478982,2.560980131014499E-7,54000.0,27.0,7.0,2.0,6490.0,480.74074074074076,1172.48,0.0,2.0,5.0,4991.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56000.0,2.496360475,2.612283550910383E-7,55000.0,29.0,7.0,2.0,6490.0,447.58620689655174,1305.851851851852,0.0,2.0,1.0,70.0,30240.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57000.0,2.561291909,2.6811653160005604E-7,56000.0,31.0,7.0,2.0,6490.0,418.7096774193548,1224.9310344827586,0.0,2.0,5.0,785.0,30240.0,2.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
58000.0,2.610225177,2.7335212099722487E-7,57000.0,31.0,7.0,2.0,6490.0,418.7096774193548,1224.9310344827586,0.0,2.0,5.0,1785.0,30240.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
59000.0,2.650517051,2.776631289664139E-7,58000.0,31.0,7.0,2.0,6490.0,418.7096774193548,1224.9310344827586,0.0,2.0,5.0,2785.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60000.0,2.690602876,2.819520908306974E-7,59000.0,31.0,7.0,3.0,4326.666666666667,418.7096774193548,1224.9310344827586,0.3333333333333333,2.0,5.0,3785.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
61000.0,2.733684706,2.8652594372105476E-7,60000.0,31.0,8.0,3.0,4326.666666666667,418.7096774193548,1224.9310344827586,0.3333333333333333,2.0,3.0,4785.0,30240.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
62000.0,2.770749369,2.904732477212097E-7,61000.0,31.0,9.0,3.0,4326.666666666667,418.7096774193548,1224.9310344827586,0.3333333333333333,2.0,5.0,5785.0,30240.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
63000.0,2.805005182,2.9412141545670104E-7,62000.0,31.0,9.0,3.0,4326.666666666667,418.7096774193548,1224.9310344827586,0.3333333333333333,2.0,3.0,6785.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
64000.0,2.83917949,2.9776090309134994E-7,63000.0,31.0,9.0,3.0,4326.666666666667,418.7096774193548,1224.9310344827586,0.3333333333333333,2.0,3.0,7785.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
65000.0,2.879404904,3.0203149990884173E-7,64000.0,31.0,12.0,3.0,4326.666666666667,418.7096774193548,1224.9310344827586,0.3333333333333333,2.0,1.0,8785.0,30240.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66000.0,2.915868798,3.0594500970294286E-7,65000.0,31.0,13.0,3.0,4326.666666666667,418.7096774193548,1224.9310344827586,0.3333333333333333,2.0,0.0,9785.0,30240.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
67000.0,2.952351552,3.098333618882071E-7,66000.0,31.0,14.0,3.0,4326.666666666667,418.7096774193548,1224.9310344827586,0.3333333333333333,2.0,5.0,10785.0,30240.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
68000.0,2.987158356,3.1354309039158336E-7,67000.0,31.0,14.0,3.0,4326.666666666667,418.7096774193548,1224.9310344827586,0.3333333333333333,2.0,2.0,11785.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
69000.0,3.021430683,3.1719585403943023E-7,68000.0,31.0,14.0,3.0,4326.666666666667,418.7096774193548,1224.9310344827586,0.3333333333333333,2.0,0.0,12785.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
70000.0,3.05554144,3.2083139746693483E-7,69000.0,31.0,14.0,3.0,4326.666666666667,418.7096774193548,1224.9310344827586,0.3333333333333333,2.0,5.0,13785.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
71000.0,3.116450948,3.272422369973631E-7,70000.0,33.0,15.0,3.0,7664.0,696.7272727272727,1643.7,0.0,3.0,4.0,880.0,30240.0,2.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
72000.0,3.151128222,3.309438298158824E-7,71000.0,33.0,15.0,3.0,7664.0,696.7272727272727,1643.7,0.0,3.0,1.0,1880.0,30240.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
73000.0,3.185933257,3.346245566984287E-7,72000.0,33.0,15.0,3.0,7664.0,696.7272727272727,1643.7,0.0,3.0,2.0,2880.0,30240.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
74000.0,3.231169781,3.393670610230768E-7,73000.0,34.0,15.0,3.0,7664.0,676.2352941176471,1699.4516129032259,0.0,3.0,3.0,499.0,30240.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
75000.0,3.267342896,3.4323438996545765E-7,74000.0,34.0,15.0,3.0,7664.0,676.2352941176471,1699.4516129032259,0.0,3.0,0.0,1499.0,30240.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
76000.0,3.3099368,3.4767842635474895E-7,75000.0,36.0,15.0,3.0,7664.0,638.6666666666666,1662.6060606060605,0.0,3.0,5.0,320.0,30560.0,2.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
77000.0,3.348253984,3.5177815340097376E-7,76000.0,36.0,15.0,3.0,7664.0,638.6666666666666,1662.6060606060605,0.0,3.0,5.0,1320.0,30560.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
78000.0,3.385140853,3.5571263003840427E-7,77000.0,36.0,15.0,3.0,7664.0,638.6666666666666,1662.6060606060605,0.0,3.0,5.0,2320.0,30560.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
79000.0,3.423464916,3.5982895623964366E-7,78000.0,36.0,15.0,3.0,7664.0,638.6666666666666,1662.6060606060605,0.0,3.0,1.0,3320.0,30560.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
80000.0,3.464600684,3.641825807060033E-7,79000.0,36.0,15.0,4.0,5748.0,638.6666666666666,1662.6060606060605,0.25,3.0,5.0,4320.0,30560.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
81000.0,3.509544724,3.686574157133927E-7,80000.0,41.0,16.0,4.0,5870.5,572.7317073170732,1623.3243243243244,0.0,4.0,1.0,32.0,30560.0,5.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
82000.0,3.553050171,3.732400468678173E-7,81000.0,42.0,16.0,4.0,5870.5,559.0952380952381,1583.2631578947369,0.0,4.0,0.0,948.0,30560.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
83000.0,3.584437482,3.765462183741626E-7,82000.0,42.0,16.0,4.0,5870.5,559.0952380952381,1583.2631578947369,0.0,4.0,4.0,1948.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
84000.0,3.620471453,3.803449763949899E-7,83000.0,42.0,16.0,4.0,5870.5,559.0952380952381,1583.2631578947369,0.0,4.0,1.0,2948.0,30560.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
85000.0,3.65352418,3.83829446974196E-7,84000.0,42.0,16.0,4.0,5870.5,559.0952380952381,1583.2631578947369,0.0,4.0,0.0,3948.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
86000.0,3.686464845,3.8728546929867117E-7,85000.0,42.0,16.0,4.0,5870.5,559.0952380952381,1583.2631578947369,0.0,4.0,4.0,4948.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
87000.0,3.727158708,3.9160916857989924E-7,86000.0,42.0,16.0,4.0,5870.5,559.0952380952381,1583.2631578947369,0.0,4.0,4.0,5948.0,30560.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
88000.0,3.786302527,3.979421267123873E-7,87000.0,45.0,16.0,4.0,5870.5,521.8222222222222,1633.9024390243903,0.0,4.0,0.0,108.0,30560.0,3.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
89000.0,3.841308342,4.038046770274619E-7,88000.0,49.0,16.0,4.0,5870.5,479.2244897959184,1498.9777777777779,0.0,4.0,0.0,655.0,30240.0,4.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
90000.0,3.876540185,4.07483582094645E-7,89000.0,49.0,16.0,4.0,5870.5,479.2244897959184,1498.9777777777779,0.0,4.0,0.0,1655.0,30240.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
91000.0,3.923263082,4.1246333440862394E-7,90000.0,51.0,16.0,4.0,5870.5,460.4313725490196,1471.8936170212767,0.0,4.0,4.0,921.0,30560.0,2.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
92000.0,3.956177548,4.158974663125248E-7,91000.0,51.0,16.0,4.0,5870.5,460.4313725490196,1471.8936170212767,0.0,4.0,5.0,1921.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
93000.0,3.987837262,4.192006836248086E-7,92000.0,51.0,16.0,4.0,5870.5,460.4313725490196,1471.8936170212767,0.0,4.0,3.0,2921.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
94000.0,4.020997736,4.2273494536234896E-7,93000.0,51.0,16.0,4.0,5870.5,460.4313725490196,1471.8936170212767,0.0,4.0,4.0,3921.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
95000.0,4.05851152,4.2667076374912225E-7,94000.0,51.0,16.0,4.0,5870.5,460.4313725490196,1471.8936170212767,0.0,4.0,5.0,4921.0,30560.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
96000.0,4.091328002,4.301846627511726E-7,95000.0,51.0,16.0,4.0,5870.5,460.4313725490196,1471.8936170212767,0.0,4.0,1.0,5921.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
97000.0,4.125825598,4.3383573298222285E-7,96000.0,51.0,16.0,4.0,5870.5,460.4313725490196,1471.8936170212767,0.0,4.0,5.0,6921.0,30560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
98000.0,4.157054094,4.371408163887904E-7,97000.0,51.0,16.0,4.0,5870.5,460.4313725490196,1471.8936170212767,0.0,4.0,1.0,7921.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
99000.0,4.188323787,4.404502599003435E-7,98000.0,51.0,16.0,4.0,5870.5,460.4313725490196,1471.8936170212767,0.0,4.0,1.0,8921.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
