learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.119974527,1.1047858753837644E-8,1000.0,1000.0,0.0,0.0,?,0.0,0.999,?,0.0,5.0,1.0,19976.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.190458422,1.7901888520369928E-8,2000.0,2000.0,0.0,0.0,?,0.0,0.9995,?,0.0,3.0,1.0,19976.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.226700434,2.1426152170201144E-8,3000.0,3000.0,0.0,0.0,?,0.0,0.9996666666666667,?,0.0,2.0,1.0,19976.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.258472887,2.4515784753896298E-8,4000.0,4000.0,0.0,0.0,?,0.0,0.99975,?,0.0,0.0,1.0,19976.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.290019893,2.7583494308951E-8,5000.0,5000.0,0.0,0.0,?,0.0,0.9998,?,0.0,2.0,1.0,19976.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.33058628,3.15282709706078E-8,6000.0,6000.0,0.0,0.0,?,0.0,0.9998333333333334,?,0.0,4.0,1.0,19976.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.362414863,3.462336177551498E-8,7000.0,7000.0,0.0,0.0,?,0.0,0.9998571428571429,?,0.0,3.0,1.0,19976.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.384667666,3.678727984716495E-8,8000.0,8000.0,0.0,0.0,?,0.0,0.999875,?,0.0,5.0,1.0,19976.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.402332345,3.850503729632745E-8,9000.0,9000.0,0.0,0.0,?,0.0,0.9998888888888889,?,0.0,5.0,1.0,19976.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.419605165,4.018468939886739E-8,10000.0,10000.0,0.0,0.0,?,0.0,0.9999,?,0.0,2.0,1.0,19976.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.464790495,4.471796216750724E-8,11000.0,10003.0,0.0,0.0,?,0.0,1.0795761271618514,?,0.0,1.0,201.0,30240.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.507990827,4.8926112231136193E-8,12000.0,10006.0,0.0,0.0,?,0.0,1.199180491704977,?,0.0,1.0,1.0,20624.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.546914611,5.285108539081696E-8,13000.0,10008.0,0.0,0.0,?,0.0,1.2588928856914468,?,0.0,5.0,401.0,30560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.580301154,5.628921294203235E-8,14000.0,10008.0,0.0,0.0,?,0.0,1.2588928856914468,?,0.0,2.0,1401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.61818163,6.027149996420575E-8,15000.0,10008.0,0.0,0.0,?,0.0,1.2588928856914468,?,0.0,2.0,2401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.658123947,6.45563496844429E-8,16000.0,10008.0,0.0,0.0,?,0.0,1.2588928856914468,?,0.0,0.0,3401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.688885938,6.792264674180704E-8,17000.0,10008.0,0.0,0.0,?,0.0,1.2588928856914468,?,0.0,2.0,4401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.719662338,7.135644492083746E-8,18000.0,10008.0,0.0,0.0,?,0.0,1.2588928856914468,?,0.0,2.0,5401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.754722892,7.534333781046379E-8,19000.0,10008.0,0.0,1.0,0.0,0.0,1.2588928856914468,1.0,0.0,3.0,6401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.789696077,7.939578865316386E-8,20000.0,10008.0,0.0,1.0,0.0,0.0,1.2588928856914468,1.0,0.0,1.0,7401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.820482207,8.302901769647789E-8,21000.0,10008.0,0.0,1.0,0.0,0.0,1.2588928856914468,1.0,0.0,3.0,8401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.852103027,8.682848590822477E-8,22000.0,10008.0,0.0,1.0,0.0,0.0,1.2588928856914468,1.0,0.0,5.0,9401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.886334577,9.10158276106024E-8,23000.0,10008.0,0.0,1.0,0.0,0.0,1.2588928856914468,1.0,0.0,1.0,10401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.924574693,9.577542525696465E-8,24000.0,10008.0,0.0,1.0,0.0,0.0,1.2588928856914468,1.0,0.0,3.0,11401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.965420798,1.0094687422898909E-7,25000.0,10008.0,0.0,1.0,0.0,0.0,1.2588928856914468,1.0,0.0,1.0,12401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.003669733,1.0587143118623644E-7,26000.0,10008.0,0.0,1.0,0.0,0.0,1.2588928856914468,1.0,0.0,1.0,13401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.041464583,1.1081848277478582E-7,27000.0,10008.0,0.0,1.0,0.0,0.0,1.2588928856914468,1.0,0.0,2.0,14401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.079188498,1.1583846105686906E-7,28000.0,10008.0,0.0,1.0,0.0,0.0,1.2588928856914468,1.0,0.0,5.0,15401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.117171175,1.209742336751086E-7,29000.0,10008.0,0.0,1.0,0.0,0.0,1.2588928856914468,1.0,0.0,2.0,16401.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.170934813,1.2619444380671822E-7,30000.0,10012.0,0.0,1.0,10200.0,1.0187774670395526,2.9766257117171113,0.0,1.0,5.0,1.0,19008.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.217120782,1.3085649615422306E-7,31000.0,10014.0,0.0,1.0,10200.0,1.0185739964050329,3.0359532607610107,0.0,1.0,0.0,401.0,30560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.268634103,1.3590554635875963E-7,32000.0,10018.0,0.0,1.0,10200.0,1.0181672988620483,3.174503344314665,0.0,1.0,2.0,1.0,22560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.31710533,1.406118869207013E-7,33000.0,10021.0,0.0,1.0,10200.0,1.0178624887735754,3.2733532934131735,0.0,1.0,3.0,1.0,19008.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.36367526,1.4529274568090422E-7,34000.0,10024.0,0.0,1.0,10200.0,1.01755786113328,3.352189963084905,0.0,1.0,2.0,201.0,30560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.412999016,1.5008186301705325E-7,35000.0,10028.0,0.0,1.0,10200.0,1.0171519744714799,3.4705295701605663,0.0,1.0,1.0,1.0,19008.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.459704926,1.546167991496871E-7,36000.0,10031.0,0.0,1.0,10200.0,1.016847771907088,3.5691924227318044,0.0,1.0,1.0,1.0,19008.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
