learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
2000.0,4.174301621,8.162017792612665E-6,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,7579848.0
3000.0,5.097246828,1.0071159114667394E-5,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,2000.0,7995848.0
4000.0,5.926556715,1.1875862732120653E-5,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,3000.0,8411848.0
5000.0,6.9394231,1.4189017194816986E-5,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,4000.0,8827848.0
6000.0,7.973342229,1.666152115225092E-5,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,5000.0,9243848.0
7000.0,8.956673326,1.911887498990793E-5,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,6000.0,9659848.0
8000.0,9.938377525,2.1677813706468365E-5,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,7000.0,1.0075848E7
9000.0,10.957227957,2.44432270458419E-5,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,8000.0,1.0491848E7
10000.0,11.97750747,2.7322321234801865E-5,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,9000.0,1.0907848E7
11000.0,13.006407707,3.033647169612666E-5,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,10000.0,1.1323848E7
12000.0,14.002055821,3.3360361625971E-5,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,11000.0,1.1739848E7
13000.0,14.940995032,3.631306871145935E-5,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,12000.0,1.2155848E7
14000.0,15.938610184,3.9557658429062975E-5,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,13000.0,1.2571848E7
15000.0,16.941486828,4.29272894199808E-5,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,14000.0,1.2987848E7
16000.0,17.954924023,4.644146910030298E-5,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,15000.0,1.3403848E7
17000.0,19.001107043,5.01817874052089E-5,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,16000.0,1.3819848E7
18000.0,20.060968142,5.4085069359449405E-5,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,17000.0,1.4235848E7
19000.0,21.121360782,5.810442780875417E-5,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,18000.0,1.4651848E7
20000.0,22.128382839,6.202986328339418E-5,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,19000.0,1.5067848E7
21000.0,23.139475699,6.60799803103376E-5,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,20000.0,1.5483848E7
22000.0,31.349591968,9.495444101962086E-5,21000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,3.0,21000.0,1.3594616E7
23000.0,32.013300094,9.73600885416316E-5,22000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,5.0,22000.0,1.4010616E7
24000.0,32.676976377,9.983704515498007E-5,23000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,3.0,23000.0,1.4426616E7
25000.0,33.294433905,1.0220795571476439E-4,24000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,4.0,24000.0,1.4842616E7
26000.0,33.909538987,1.0463603066312122E-4,25000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,2.0,25000.0,1.5258616E7
27000.0,34.492352592,1.0699935986225121E-4,26000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,1.0,26000.0,1.5674616E7
28000.0,35.051648638,1.0932751571078628E-4,27000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,3.0,27000.0,1.6090616E7
29000.0,35.622188334,1.117638761778638E-4,28000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,1.0,28000.0,1.6506616E7
30000.0,36.24323894,1.1448276919266519E-4,29000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,5.0,29000.0,1.6922616E7
31000.0,36.865300916,1.1727303587424807E-4,30000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,1.0,30000.0,1.7338616E7
32000.0,37.450255232,1.1995980817783206E-4,31000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,4.0,31000.0,1.7754616E7
33000.0,38.027640088,1.2267395082162465E-4,32000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,2.0,32000.0,1.8170616E7
34000.0,38.60676895,1.2545861716110627E-4,33000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,5.0,33000.0,1.8586616E7
35000.0,39.187872592,1.2831531705713252E-4,34000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,3.0,34000.0,1.9002616E7
36000.0,39.769542007,1.312373972579266E-4,35000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,3.0,35000.0,1.9418616E7
37000.0,40.397268651,1.344584066338444E-4,36000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,3.0,36000.0,1.9834616E7
38000.0,41.033917297,1.3779371265560853E-4,37000.0,1.0,0.0,1.0,1370.0,1370.0,?,0.0,1.0,1.0,37000.0,2.0250616E7
