learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.033707051,2.9013311099054087E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,544.0,0.0,8.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3000.0,0.097178758,8.651282658788065E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,544.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4000.0,0.139004318,1.244029283153928E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,544.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.173765572,1.5589342002036672E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,544.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.22004111,1.9859629208524197E-8,5000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,993.0,6544.0,1.0,16.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.266166256,2.4039192307252026E-8,6000.0,5.0,0.0,0.0,?,0.0,392.4,?,0.0,1.0,31.0,2320.0,4.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.295399489,2.672212096003402E-8,7000.0,7.0,0.0,0.0,?,0.0,396.2857142857143,?,0.0,1.0,220.0,4624.0,2.0,26.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
9000.0,0.318362194,2.8817110239350138E-8,8000.0,10.0,0.0,0.0,?,0.0,358.8,?,0.0,1.0,405.0,2320.0,3.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.339574755,3.075154809737992E-8,9000.0,12.0,0.0,0.0,?,0.0,383.5,?,0.0,1.0,391.0,2320.0,2.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.366476971,3.318925331933424E-8,10000.0,14.0,0.0,0.0,?,0.0,421.07142857142856,?,0.0,1.0,98.0,2320.0,2.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.396298512,3.5908214738693915E-8,11000.0,16.0,0.0,0.0,?,0.0,425.875,?,0.0,1.0,179.0,2320.0,2.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.423246472,3.8365681049370515E-8,12000.0,18.0,0.0,0.0,?,0.0,417.6666666666667,?,0.0,1.0,476.0,2320.0,2.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.45726193,4.144794236173853E-8,13000.0,22.0,0.0,0.0,?,0.0,403.1818181818182,?,0.0,1.0,124.0,2320.0,4.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.486376922,4.4118151296615186E-8,14000.0,24.0,0.0,0.0,?,0.0,407.9166666666667,?,0.0,1.0,205.0,4304.0,2.0,20.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
16000.0,0.517964012,4.698036957035669E-8,15000.0,26.0,0.0,0.0,?,0.0,421.34615384615387,?,0.0,1.0,38.0,2320.0,2.0,29.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.54521578,4.9483081584243725E-8,16000.0,27.0,0.0,0.0,?,0.0,424.85185185185185,?,0.0,0.0,523.0,4624.0,1.0,21.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
18000.0,0.572534507,5.195852834539695E-8,17000.0,28.0,0.0,0.0,?,0.0,463.7142857142857,?,0.0,1.0,9.0,2320.0,1.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.599783286,5.4442919706180696E-8,18000.0,30.0,0.0,0.0,?,0.0,453.3666666666667,?,0.0,1.0,392.0,2320.0,2.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.624711106,5.670171790280276E-8,19000.0,32.0,0.0,1.0,0.0,0.0,466.59375,1.0,0.0,1.0,63.0,2320.0,2.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.645774785,5.8610372576152704E-8,20000.0,36.0,5.0,1.0,117.0,3.25,447.4,0.0,1.0,1.0,70.0,2320.0,4.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.667013013,6.053484375357008E-8,21000.0,38.0,5.0,1.0,117.0,3.0789473684210527,448.9189189189189,0.0,1.0,0.0,119.0,2320.0,2.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.684816844,6.214811203598563E-8,22000.0,41.0,5.0,1.0,117.0,2.8536585365853657,438.475,0.0,1.0,0.0,190.0,2320.0,3.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.702060228,6.372026740633366E-8,23000.0,43.0,5.0,1.0,117.0,2.7209302325581395,430.8333333333333,0.0,1.0,0.0,634.0,2320.0,2.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.717911656,6.516580726486529E-8,24000.0,44.0,5.0,1.0,117.0,2.659090909090909,435.5813953488372,0.0,1.0,1.0,999.0,2320.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.73626316,6.683933664631927E-8,25000.0,46.0,5.0,1.0,117.0,2.5434782608695654,451.9111111111111,0.0,1.0,1.0,393.0,2320.0,2.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.754560403,6.8507917802398E-8,26000.0,48.0,5.0,1.0,117.0,2.4375,454.8723404255319,0.0,1.0,0.0,350.0,2320.0,2.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
