learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
2000.0,0.047553966,3.0398355338349936E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,256624.0
3000.0,0.104241695,6.807372779521262E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,256904.0
4000.0,0.144731834,9.498397970625923E-9,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,2000.0,256904.0
5000.0,0.196051298,1.2909153621970778E-8,4000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,3000.0,256904.0
6000.0,0.228715639,1.5080066507249655E-8,5000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,4000.0,256904.0
7000.0,0.249116654,1.6435943435434665E-8,6000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,5000.0,256904.0
8000.0,0.272162162,1.7967576670129266E-8,7000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,6000.0,256904.0
9000.0,0.296202586,1.956533326436662E-8,8000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,7000.0,256904.0
10000.0,0.316659683,2.0924937472291705E-8,9000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,8000.0,256904.0
11000.0,0.327888693,2.1671231496650724E-8,10000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,9000.0,256904.0
12000.0,0.33853789,2.2378990425115657E-8,11000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,10000.0,256904.0
13000.0,0.349110787,2.308167836031773E-8,12000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,11000.0,256904.0
14000.0,0.35951194,2.3772951974852216E-8,13000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,12000.0,256904.0
15000.0,0.369896697,2.44631358907558E-8,14000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,13000.0,256904.0
16000.0,0.382884311,2.532630893262517E-8,15000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,14000.0,256904.0
17000.0,0.397943018,2.6327129401096868E-8,16000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,15000.0,256904.0
18000.0,0.413134232,2.7336756450227565E-8,17000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,16000.0,256904.0
19000.0,0.428639888,2.8367281707268622E-8,18000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,17000.0,256904.0
20000.0,0.443847539,2.9378001179941413E-8,19000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,18000.0,256904.0
21000.0,0.460315411,3.047247651369828E-8,20000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,19000.0,256904.0
22000.0,0.476534809,3.1550437955187836E-8,21000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20000.0,256904.0
23000.0,0.491875762,3.257001684521221E-8,22000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21000.0,256904.0
24000.0,0.50750811,3.360896221075206E-8,23000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,22000.0,256904.0
25000.0,0.522726088,3.4620368028738425E-8,24000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23000.0,256904.0
26000.0,0.537881159,3.5627592968963494E-8,25000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,24000.0,256904.0
27000.0,0.553334895,3.665466755798086E-8,26000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25000.0,256904.0
28000.0,0.568407139,3.765638771237391E-8,27000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,26000.0,256904.0
29000.0,0.583476018,3.865788422466565E-8,28000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,27000.0,256904.0
30000.0,0.59889555,3.968268557313829E-8,29000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,28000.0,256904.0
31000.0,0.614044201,4.068948383214779E-8,30000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,29000.0,256904.0
32000.0,0.629185492,4.1695792936368114E-8,31000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30000.0,256904.0
33000.0,0.64463018,4.272226618400878E-8,32000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31000.0,256904.0
34000.0,0.659768959,4.372840833757279E-8,33000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,32000.0,256904.0
35000.0,0.674955138,4.4737700754317135E-8,34000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,33000.0,256904.0
36000.0,0.690415686,4.5765228077359486E-8,35000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34000.0,256904.0
37000.0,0.705489939,4.676708175240083E-8,36000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,35000.0,256904.0
38000.0,0.720622115,4.77727850623408E-8,37000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,36000.0,256904.0
39000.0,0.735924189,4.8789780005483564E-8,38000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,37000.0,256904.0
40000.0,0.751033524,4.979396527404585E-8,39000.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,38000.0,256904.0
41000.0,0.767112294,5.0862580403077094E-8,40000.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,39000.0,256904.0
42000.0,0.782505275,5.1885617138940005E-8,41000.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,40000.0,256904.0
43000.0,0.797762822,5.289965276206946E-8,42000.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,41000.0,256904.0
44000.0,0.813440637,5.394161992119624E-8,43000.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,42000.0,256904.0
45000.0,0.828803571,5.496265969592456E-8,44000.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,43000.0,256904.0
46000.0,0.844117834,5.598046473522566E-8,45000.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,44000.0,256904.0
47000.0,0.859601475,5.7009526847880324E-8,46000.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,45000.0,256904.0
48000.0,0.87472483,5.8014643903147E-8,47000.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,46000.0,256904.0
