learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
2000.0,1.071384537,1.8218160393223101E-6,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,6594536.0
3000.0,1.384599357,2.3561640238025472E-6,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,6594536.0
4000.0,1.616961274,2.752576051876168E-6,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,6594536.0
5000.0,1.847004207,3.1450318673208913E-6,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,6594536.0
6000.0,2.066447233,3.519404122922795E-6,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,6594536.0
7000.0,2.232849175,3.803287696252107E-6,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,6594536.0
8000.0,2.397472162,4.084136352463733E-6,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,6594536.0
9000.0,2.577987403,4.392097371665552E-6,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,6594536.0
10000.0,2.744487312,4.676148077792078E-6,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,6594536.0
11000.0,2.915463309,4.967835040086675E-6,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,6594536.0
12000.0,3.166922782,5.405154463620115E-6,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,2000.0,6722536.0
13000.0,3.407325278,5.831205037553637E-6,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,3000.0,6850536.0
14000.0,3.712325293,6.381837502118053E-6,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,4000.0,6978536.0
15000.0,3.993326023,6.898447774908482E-6,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,5000.0,7106536.0
16000.0,4.269934035,7.416141697634722E-6,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,6000.0,7234536.0
17000.0,4.594610421,8.034550644026252E-6,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,7000.0,7362536.0
18000.0,4.922941294,8.670792514678601E-6,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,8000.0,7490536.0
19000.0,5.254444376,9.324158805003267E-6,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,9000.0,7618536.0
20000.0,5.585852186,9.988311457764793E-6,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,10000.0,7746536.0
21000.0,5.917834499,1.066460859421316E-5,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,11000.0,7874536.0
22000.0,6.222906539,1.1296187580718578E-5,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,12000.0,8002536.0
