learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.117516368,1.0749021752278011E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,137.0,12304.0,4.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.187882689,1.7485599296262694E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,137.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.312388686,2.9416363363553665E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1137.0,12304.0,0.0,62.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.392554705,3.7115678029252835E-8,4000.0,2.0,0.0,0.0,?,0.0,161.0,?,0.0,0.0,643.0,12304.0,2.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.466347722,4.4180313129687884E-8,5000.0,4.0,0.0,0.0,?,0.0,389.25,?,0.0,0.0,408.0,12304.0,2.0,44.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.535944683,5.0843235362074854E-8,6000.0,5.0,0.0,0.0,?,0.0,507.2,?,0.0,2.0,429.0,12304.0,1.0,37.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.622183156,5.90993464161021E-8,7000.0,5.0,0.0,0.0,?,0.0,507.2,?,0.0,2.0,1429.0,12304.0,0.0,54.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.678562218,6.435320615931725E-8,8000.0,8.0,0.0,0.0,?,0.0,612.375,?,0.0,1.0,67.0,12304.0,3.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.72674207,6.897003154009787E-8,9000.0,8.0,0.0,0.0,?,0.0,612.375,?,0.0,0.0,1067.0,12304.0,0.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.773305453,7.34482452444132E-8,10000.0,10.0,0.0,0.0,?,0.0,657.2,?,0.0,0.0,393.0,12304.0,2.0,34.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.813935807,7.733802556077432E-8,11000.0,11.0,0.0,0.0,?,0.0,677.0909090909091,?,0.0,0.0,517.0,12304.0,1.0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.864277457,8.215752477712722E-8,12000.0,12.0,0.0,0.0,?,0.0,683.3333333333334,?,0.0,1.0,765.0,12304.0,1.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.920207177,8.753654198862405E-8,13000.0,12.0,0.0,0.0,?,0.0,683.3333333333334,?,0.0,1.0,1765.0,12304.0,0.0,48.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.965349277,9.187208511407797E-8,14000.0,14.0,0.0,0.0,?,0.0,743.9285714285714,?,0.0,1.0,550.0,12304.0,2.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.029036705,9.79692533502707E-8,15000.0,16.0,0.0,0.0,?,0.0,727.0,?,0.0,1.0,333.0,12304.0,2.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.086551021,1.0347543363818485E-7,16000.0,16.0,0.0,0.0,?,0.0,727.0,?,0.0,1.0,1333.0,12304.0,0.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.128666137,1.0750735886428713E-7,17000.0,18.0,0.0,0.0,?,0.0,753.2777777777778,?,0.0,1.0,408.0,12304.0,2.0,29.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.17740203,1.1217312961518145E-7,18000.0,20.0,0.0,0.0,?,0.0,727.8,?,0.0,1.0,409.0,12304.0,2.0,38.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.207501652,1.150547416529577E-7,19000.0,22.0,0.0,1.0,0.0,0.0,696.8181818181819,1.0,0.0,0.0,635.0,12304.0,2.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.252312311,1.1935465012484127E-7,20000.0,23.0,24.0,1.0,780.0,33.91304347826087,761.0,0.0,1.0,1.0,222.0,12304.0,1.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
