learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.067338587,6.196974072071414E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,452.0,12304.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.131047888,1.233183668402748E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,452.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.165305889,1.5630697701122197E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,452.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.193904248,1.838456567076759E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,452.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.221839603,2.1074589925487005E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,452.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.254218768,2.4192529153306448E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,452.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.284071633,2.7067199295241795E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,452.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.299479556,2.8550899308534957E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,452.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.330431762,3.15314300688232E-8,9000.0,2.0,0.0,0.0,?,0.0,84.0,?,0.0,0.0,796.0,12304.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.350780705,3.349092370074242E-8,10000.0,2.0,0.0,0.0,?,0.0,84.0,?,0.0,1.0,1796.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.370560796,3.53956399483275E-8,11000.0,2.0,0.0,0.0,?,0.0,84.0,?,0.0,1.0,2796.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.393576085,3.761188834178364E-8,12000.0,2.0,0.0,0.0,?,0.0,84.0,?,0.0,1.0,3796.0,12304.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.413017117,3.9483955033500153E-8,13000.0,2.0,0.0,0.0,?,0.0,84.0,?,0.0,2.0,4796.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.432378538,4.13483556146216E-8,14000.0,2.0,0.0,0.0,?,0.0,84.0,?,0.0,2.0,5796.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.451286468,4.3169087454490356E-8,15000.0,2.0,0.0,0.0,?,0.0,84.0,?,0.0,0.0,6796.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.469998463,4.4970951808968346E-8,16000.0,2.0,0.0,0.0,?,0.0,84.0,?,0.0,1.0,7796.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.512071225,4.915625208442823E-8,17000.0,2.0,0.0,0.0,?,0.0,84.0,?,0.0,2.0,8796.0,24600.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
19000.0,0.573119999,5.560095434916101E-8,18000.0,2.0,0.0,0.0,?,0.0,84.0,?,0.0,0.0,9796.0,47008.0,0.0,2.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.608501703,5.935606593344359E-8,19000.0,2.0,0.0,1.0,0.0,0.0,84.0,1.0,0.0,0.0,10796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
21000.0,0.633424813,6.200119176111286E-8,20000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,1.0,11796.0,49192.0,0.0,1.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
22000.0,0.654311533,6.421792966129049E-8,21000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,2.0,12796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
23000.0,0.674888686,6.64018127665772E-8,22000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,2.0,13796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
24000.0,0.695497599,6.858906660674759E-8,23000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,1.0,14796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
25000.0,0.716051274,7.077045795782778E-8,24000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,0.0,15796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
26000.0,0.736586293,7.294986932055815E-8,25000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,1.0,16796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
27000.0,0.756929394,7.5108912147476E-8,26000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,0.0,17796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
28000.0,0.777023723,7.724155244106632E-8,27000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,2.0,18796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
29000.0,0.797166707,7.937935656040492E-8,28000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,0.0,19796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.822933299,8.211400235662443E-8,29000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,0.0,20796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
31000.0,0.850288507,8.501725027400172E-8,30000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,1.0,21796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
32000.0,0.874654505,8.760324899674289E-8,31000.0,2.0,2.0,1.0,0.0,0.0,84.0,1.0,0.0,1.0,22796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
33000.0,0.896265954,8.989690343727047E-8,32000.0,2.0,3.0,1.0,0.0,0.0,84.0,1.0,0.0,1.0,23796.0,49192.0,0.0,1.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
34000.0,0.916044049,9.199598135758605E-8,33000.0,2.0,3.0,1.0,0.0,0.0,84.0,1.0,0.0,2.0,24796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
35000.0,0.935395591,9.404978858908431E-8,34000.0,2.0,3.0,1.0,0.0,0.0,84.0,1.0,0.0,2.0,25796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
36000.0,0.954983005,9.612862925819224E-8,35000.0,2.0,3.0,1.0,0.0,0.0,84.0,1.0,0.0,0.0,26796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
37000.0,0.974755998,9.822716569584483E-8,36000.0,2.0,3.0,1.0,0.0,0.0,84.0,1.0,0.0,1.0,27796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
38000.0,0.994295496,1.0030092097034678E-7,37000.0,2.0,3.0,1.0,0.0,0.0,84.0,1.0,0.0,2.0,28796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
39000.0,1.013758242,1.0236653044372176E-7,38000.0,2.0,3.0,1.0,0.0,0.0,84.0,1.0,0.0,0.0,29796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,1.03353861,1.0446584960082547E-7,39000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,0.0,30796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
41000.0,1.053300427,1.065631999133817E-7,40000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,1.0,31796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
42000.0,1.073081727,1.0866261798499774E-7,41000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,2.0,32796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
43000.0,1.092575733,1.107315451275309E-7,42000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,2.0,33796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
44000.0,1.117246591,1.1334989908442316E-7,43000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,1.0,34796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
45000.0,1.143415158,1.1612720707065737E-7,44000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,0.0,35796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
46000.0,1.170168621,1.1896659091805419E-7,45000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,1.0,36796.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
47000.0,1.199415413,1.2215745497579377E-7,46000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,0.0,37796.0,60648.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
48000.0,1.226508663,1.2511925232215475E-7,47000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,2.0,38796.0,61488.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
49000.0,1.257495336,1.2857849920986222E-7,48000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,0.0,39796.0,70424.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,1.29281488,1.3264016348312092E-7,49000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,0.0,40796.0,83392.0,0.0,0.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
51000.0,1.321103343,1.3589327002131692E-7,50000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,1.0,41796.0,83392.0,0.0,0.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
52000.0,1.349388478,1.3915582841233454E-7,51000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,1.0,42796.0,84736.0,0.0,0.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
53000.0,1.377545337,1.424035907650739E-7,52000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,1.0,43796.0,84736.0,0.0,0.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
54000.0,1.406003808,1.4569603748801476E-7,53000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,2.0,44796.0,86080.0,0.0,0.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
55000.0,1.433761632,1.4890742423696446E-7,54000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,2.0,45796.0,86080.0,0.0,0.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
56000.0,1.462281647,1.5220699117170856E-7,55000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,0.0,46796.0,86080.0,0.0,0.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
57000.0,1.490379415,1.5545770707185485E-7,56000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,1.0,47796.0,86080.0,0.0,0.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
58000.0,1.520981474,1.5907839641119458E-7,57000.0,2.0,3.0,2.0,0.0,0.0,84.0,1.0,0.0,2.0,48796.0,96192.0,0.0,0.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
