learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.088522993,8.806793792193962E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,82.0,12304.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.155131291,1.580572412094308E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,82.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.194417717,1.99337827366963E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,82.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.224128762,2.305569907734998E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,82.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.252977181,2.608697416976508E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,82.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.290088409,2.9986471784706744E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,82.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.322575778,3.340011301294176E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,82.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.34658549,3.592295636049782E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,82.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.387759191,4.033061570782214E-8,9000.0,5.0,0.0,0.0,?,0.0,129.0,?,0.0,0.0,328.0,12304.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.417108843,4.343794408489018E-8,10000.0,8.0,0.0,0.0,?,0.0,224.625,?,0.0,2.0,176.0,12304.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.443081127,4.623984103901932E-8,11000.0,10.0,0.0,0.0,?,0.0,255.4,?,0.0,2.0,419.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.470635999,4.91864633697975E-8,12000.0,13.0,0.0,0.0,?,0.0,281.6923076923077,?,0.0,1.0,311.0,12304.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.501417179,5.24514035194243E-8,13000.0,18.0,0.0,0.0,?,0.0,264.8888888888889,?,0.0,2.0,205.0,12304.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.530229068,5.552487396855528E-8,14000.0,22.0,0.0,0.0,?,0.0,259.04545454545456,?,0.0,1.0,274.0,12304.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.561482457,5.879009573756406E-8,15000.0,23.0,0.0,0.0,?,0.0,302.7391304347826,?,0.0,1.0,10.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.595852355,6.241577192030018E-8,16000.0,26.0,0.0,0.0,?,0.0,301.53846153846155,?,0.0,2.0,133.0,12304.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.626560706,6.566027630851706E-8,17000.0,29.0,0.0,0.0,?,0.0,304.0,?,0.0,0.0,157.0,12304.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.651226413,6.82556733837289E-8,18000.0,31.0,0.0,0.0,?,0.0,318.38709677419354,?,0.0,2.0,103.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.680138167,7.137372377383833E-8,19000.0,36.0,0.0,1.0,0.0,0.0,293.27777777777777,1.0,0.0,1.0,415.0,12304.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.703797879,7.398641732614694E-8,20000.0,37.0,0.0,1.0,256.0,6.918918918918919,311.8888888888889,0.0,1.0,1.0,745.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.729246477,7.677342705991326E-8,21000.0,39.0,0.0,1.0,256.0,6.564102564102564,301.2368421052632,0.0,1.0,2.0,614.0,12304.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.751428669,7.938074824538288E-8,22000.0,39.0,0.0,1.0,256.0,6.564102564102564,301.2368421052632,0.0,1.0,1.0,1614.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.778669364,8.224602183772456E-8,23000.0,42.0,0.0,1.0,256.0,6.095238095238095,340.5609756097561,0.0,1.0,2.0,98.0,12304.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
