learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
2000.0,0.071111634,4.841845993710061E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,275808.0
3000.0,0.134242013,9.350880476822042E-9,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,276088.0
4000.0,0.173107785,1.2126835713218898E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,276088.0
5000.0,0.207704429,1.4597872055261913E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,276088.0
6000.0,0.232280102,1.6353168930680387E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,276088.0
7000.0,0.250322552,1.7641835821304057E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,276088.0
8000.0,0.27387061,1.932373615540978E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,276088.0
9000.0,0.296780161,2.096003166143886E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,276088.0
10000.0,0.327022979,2.3120099625366016E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,2000.0,276088.0
11000.0,0.343725354,2.4313052780690293E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,3000.0,276088.0
12000.0,0.360444714,2.5507219075423978E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,4000.0,276088.0
13000.0,0.376963428,2.6687054397538307E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,5000.0,276088.0
14000.0,0.393754489,2.7886341876186847E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,6000.0,276088.0
15000.0,0.410094412,2.905340720076528E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,7000.0,276088.0
16000.0,0.423642982,3.002110247354127E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,8000.0,276088.0
17000.0,0.436078218,3.0909278797172014E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,9000.0,276088.0
18000.0,0.448789243,3.1817153119306184E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,10000.0,276088.0
19000.0,0.461170505,3.270147439516046E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,11000.0,276088.0
20000.0,0.47699223,3.3831527861294646E-8,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,12000.0,276088.0
21000.0,0.495162855,3.5129349544017265E-8,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,13000.0,276088.0
22000.0,0.512745713,3.63851904606964E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,14000.0,276088.0
23000.0,0.530445269,3.764936643435516E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,15000.0,276088.0
24000.0,0.547909815,3.889675701545551E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,16000.0,276088.0
25000.0,0.5630524,3.997830347549584E-8,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,17000.0,276088.0
26000.0,0.575623601,4.087619098545569E-8,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,18000.0,276088.0
27000.0,0.587933886,4.1755442788489154E-8,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,19000.0,276088.0
28000.0,0.600330997,4.2640896065903615E-8,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,20000.0,276088.0
29000.0,0.612979778,4.3544324662432896E-8,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,21000.0,276088.0
30000.0,0.625449856,4.4434989546752634E-8,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,22000.0,276088.0
31000.0,0.637800532,4.531712624315586E-8,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,23000.0,276088.0
32000.0,0.650293895,4.620945423911221E-8,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,24000.0,276088.0
33000.0,0.663046678,4.712031109144703E-8,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,25000.0,276088.0
34000.0,0.67538785,4.800176897260463E-8,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,26000.0,276088.0
35000.0,0.687709262,4.8881815512300354E-8,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,27000.0,276088.0
36000.0,0.70012654,4.976870920081104E-8,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,28000.0,276088.0
37000.0,0.712745729,5.0670024213507344E-8,36000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,29000.0,276088.0
38000.0,0.728097727,5.176652782180449E-8,37000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,30000.0,276088.0
39000.0,0.745521756,5.301102451009054E-8,38000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,31000.0,276088.0
40000.0,0.76318797,5.4272819059304884E-8,39000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,32000.0,276088.0
41000.0,0.780214211,5.548890407261955E-8,40000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,33000.0,276088.0
42000.0,0.793182605,5.641516076017377E-8,41000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,34000.0,276088.0
43000.0,0.805610546,5.730281604453507E-8,42000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,35000.0,276088.0
44000.0,0.817873576,5.81786926987436E-8,43000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,36000.0,276088.0
45000.0,0.830254901,5.906301847432015E-8,44000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,37000.0,276088.0
46000.0,0.842788569,5.995822522116824E-8,45000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,38000.0,276088.0
47000.0,0.85514757,6.084095652372886E-8,46000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,39000.0,276088.0
48000.0,0.86741998,6.17175031365868E-8,47000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,40000.0,276088.0
49000.0,0.880014738,6.261707318555563E-8,48000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,41000.0,276088.0
50000.0,0.892521053,6.35103262672718E-8,49000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,42000.0,276088.0
51000.0,0.904816989,6.438855320498966E-8,50000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,43000.0,276088.0
52000.0,0.91711709,6.526707762434663E-8,51000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,44000.0,276088.0
53000.0,0.92983595,6.61755115547983E-8,52000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,45000.0,276088.0
54000.0,0.94220728,6.705912344586516E-8,53000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,46000.0,276088.0
55000.0,0.955034536,6.797529946989481E-8,54000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,47000.0,276088.0
56000.0,0.967424589,6.886024863556646E-8,55000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,48000.0,276088.0
57000.0,0.980015258,6.975952663113257E-8,56000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,49000.0,276088.0
58000.0,0.993203847,7.070151056226962E-8,57000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,50000.0,276088.0
59000.0,1.011243097,7.198994889557153E-8,58000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,51000.0,276088.0
60000.0,1.028944889,7.325428457365887E-8,59000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,2.0,52000.0,276088.0
61000.0,1.046329097,7.449593708034811E-8,60000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,0.0,53000.0,276088.0
62000.0,1.064376085,7.57849280938237E-8,61000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,0.0,54000.0,276088.0
63000.0,1.081465134,7.700549911597122E-8,62000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,1.0,55000.0,276088.0
64000.0,1.09875697,7.824055402987118E-8,63000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,1.0,56000.0,276088.0
65000.0,1.115727512,7.945266078872811E-8,64000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,0.0,57000.0,276088.0
66000.0,1.13281037,8.067278962388218E-8,65000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,1.0,58000.0,276088.0
67000.0,1.149965856,8.189810585315027E-8,66000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,1.0,59000.0,276088.0
68000.0,1.166728649,8.309537431355771E-8,67000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,0.0,60000.0,276088.0
