learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.06356239,6.089670289473401E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,819.0,12304.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.131377821,1.2876212407429184E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.170345922,1.6775895042982363E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.217145988,2.1459351512235068E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.255787341,2.532633526154276E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.276050485,2.735414336023645E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.292218025,2.897208915127234E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.307241907,3.047558483750042E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.348848854,3.4612049733468644E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1819.0,12304.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.369010256,3.6616448941766805E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,2819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.388701837,3.857413965030677E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,3819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.407851171,4.047792143636694E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,4819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.427146088,4.239617674217249E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,5819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.446175398,4.4288026024204576E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,6819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.464899156,4.6149498044432455E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,7819.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.514387988,5.094327464293896E-8,16000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,621.0,12304.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.541465143,5.356612563269627E-8,17000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,1621.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.568341367,5.616951327513283E-8,18000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,2621.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.593307748,5.858790239749477E-8,19000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3621.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.616082211,6.08669332498788E-8,20000.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4621.0,12304.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.636461107,6.28409518476141E-8,21000.0,2.0,2.0,1.0,1081.0,540.5,4443.0,0.0,1.0,2.0,1222.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.666710467,6.586141902613764E-8,22000.0,2.0,2.0,1.0,1081.0,540.5,4443.0,0.0,1.0,0.0,2222.0,12304.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.692839524,6.845900031707767E-8,23000.0,2.0,2.0,1.0,1081.0,540.5,4443.0,0.0,1.0,2.0,3222.0,12304.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.712806288,7.044396642614983E-8,24000.0,2.0,2.0,1.0,1081.0,540.5,4443.0,0.0,1.0,1.0,4222.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.745343213,7.369992271002382E-8,25000.0,2.0,2.0,1.0,1081.0,540.5,4443.0,0.0,1.0,1.0,5222.0,12304.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.777488842,7.691672216915008E-8,26000.0,2.0,2.0,1.0,1081.0,540.5,4443.0,0.0,1.0,1.0,6222.0,12304.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.800551061,7.922454864239941E-8,27000.0,2.0,2.0,1.0,1081.0,540.5,4443.0,0.0,1.0,2.0,7222.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.830694217,8.233048316083434E-8,28000.0,2.0,2.0,1.0,1081.0,540.5,4443.0,0.0,1.0,2.0,8222.0,23760.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
30000.0,0.881392729,8.757961268595936E-8,29000.0,2.0,2.0,1.0,1081.0,540.5,4443.0,0.0,1.0,1.0,9222.0,24600.0,0.0,13.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
31000.0,0.90525986,9.005072390934452E-8,30000.0,2.0,2.0,1.0,1081.0,540.5,4443.0,0.0,1.0,0.0,10222.0,24600.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
32000.0,0.926776595,9.220990616055826E-8,31000.0,3.0,2.0,1.0,1081.0,360.3333333333333,2221.5,0.0,1.0,0.0,2365.0,12304.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,0.952250426,9.47661789298989E-8,32000.0,3.0,2.0,1.0,1081.0,360.3333333333333,2221.5,0.0,1.0,1.0,3365.0,12304.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,0.977153014,9.726512805107775E-8,33000.0,3.0,2.0,1.0,1081.0,360.3333333333333,2221.5,0.0,1.0,2.0,4365.0,12304.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.004992194,1.0005876116243709E-7,34000.0,4.0,2.0,1.0,1081.0,270.25,2496.3333333333335,0.0,1.0,0.0,1709.0,12304.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.027541369,1.0232154770693431E-7,35000.0,4.0,2.0,1.0,1081.0,270.25,2496.3333333333335,0.0,1.0,0.0,2709.0,12304.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.0582799,1.054061277123851E-7,36000.0,4.0,2.0,1.0,1081.0,270.25,2496.3333333333335,0.0,1.0,1.0,3709.0,12304.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.078808413,1.0746614290118631E-7,37000.0,4.0,2.0,1.0,1081.0,270.25,2496.3333333333335,0.0,1.0,0.0,4709.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
