learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.069433906,6.454752943805523E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,12304.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.161460232,1.511888741158363E-8,2000.0,2.0,0.0,0.0,?,0.0,30.0,?,0.0,0.0,52.0,12304.0,2.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.212489806,2.008672786495752E-8,3000.0,2.0,0.0,0.0,?,0.0,30.0,?,0.0,2.0,1052.0,12304.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.260461743,2.4725427970443337E-8,4000.0,2.0,0.0,0.0,?,0.0,30.0,?,0.0,0.0,2052.0,12304.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.31991806,3.05136302548916E-8,5000.0,3.0,0.0,0.0,?,0.0,762.3333333333334,?,0.0,0.0,828.0,12304.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.350823096,3.350477761191006E-8,6000.0,3.0,0.0,0.0,?,0.0,762.3333333333334,?,0.0,2.0,1828.0,12304.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.386681101,3.6995632695597086E-8,7000.0,4.0,0.0,0.0,?,0.0,1090.0,?,0.0,1.0,755.0,12304.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.411889502,3.9433187226235046E-8,8000.0,4.0,0.0,0.0,?,0.0,1090.0,?,0.0,1.0,1755.0,12304.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.442525248,4.2415643993326366E-8,9000.0,4.0,0.0,0.0,?,0.0,1090.0,?,0.0,0.0,2755.0,12304.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.478247105,4.5885482105169866E-8,10000.0,4.0,0.0,0.0,?,0.0,1090.0,?,0.0,2.0,3755.0,12304.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.5083982,4.882075703916244E-8,11000.0,4.0,0.0,0.0,?,0.0,1090.0,?,0.0,0.0,4755.0,12304.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.53925419,5.182465504056257E-8,12000.0,4.0,0.0,0.0,?,0.0,1090.0,?,0.0,2.0,5755.0,12304.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.576538018,5.5454317106623204E-8,13000.0,5.0,0.0,0.0,?,0.0,2128.4,?,0.0,1.0,474.0,12304.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.60906672,5.8602611158587455E-8,14000.0,5.0,0.0,0.0,?,0.0,2128.4,?,0.0,2.0,1474.0,12304.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.645252805,6.210967845165067E-8,15000.0,7.0,0.0,0.0,?,0.0,1760.142857142857,?,0.0,0.0,793.0,12304.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.678989216,6.537932930234199E-8,16000.0,8.0,0.0,0.0,?,0.0,1674.875,?,0.0,0.0,717.0,12304.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.707955826,6.81992920352291E-8,17000.0,8.0,0.0,0.0,?,0.0,1674.875,?,0.0,0.0,1717.0,12304.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.737925674,7.11104094722805E-8,18000.0,8.0,0.0,0.0,?,0.0,1674.875,?,0.0,2.0,2717.0,12304.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.767217896,7.394934034079935E-8,19000.0,8.0,0.0,1.0,0.0,0.0,1674.875,1.0,0.0,2.0,3717.0,12304.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.7960648,7.673872398873792E-8,20000.0,8.0,2.0,1.0,0.0,0.0,1674.875,1.0,0.0,1.0,4717.0,12304.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.828016068,7.984924969500759E-8,21000.0,8.0,7.0,1.0,0.0,0.0,1674.875,1.0,0.0,1.0,5717.0,12304.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.860397116,8.289787465130082E-8,22000.0,10.0,11.0,1.0,2889.0,288.9,2222.222222222222,0.0,1.0,0.0,52.0,12304.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.891217493,8.589830564938899E-8,23000.0,10.0,11.0,1.0,2889.0,288.9,2222.222222222222,0.0,1.0,2.0,1052.0,12304.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.925460522,8.920947363984253E-8,24000.0,10.0,11.0,1.0,2889.0,288.9,2222.222222222222,0.0,1.0,0.0,2052.0,12304.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.965020015,9.306067666263008E-8,25000.0,11.0,11.0,1.0,2889.0,262.6363636363636,2222.7,0.0,1.0,0.0,828.0,12304.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.994511581,9.591502116801217E-8,26000.0,11.0,11.0,1.0,2889.0,262.6363636363636,2222.7,0.0,1.0,2.0,1828.0,12304.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
