learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.088759,6.552257411595849E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,375.0,4560.0,3.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.152976,1.1521001518186596E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,375.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.197653,1.497785220336583E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,375.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.232884,1.7703825444397E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,375.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.268549,2.0463379122730757E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,375.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.302679,2.310416328203347E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,375.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.33539,2.5635153338727023E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,375.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.364048,2.785254544061091E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,375.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.434479,3.330194755560822E-8,9000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,558.0,4560.0,1.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.498679,3.826857908732361E-8,10000.0,2.0,0.0,0.0,?,0.0,601.5,?,0.0,0.0,354.0,4560.0,1.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
