learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.069686,6.118929886983501E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,584.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.147176,1.3300947414504158E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,584.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.205659,1.8721336252573466E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,584.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.24761,2.260948720491595E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,584.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.280096,2.5620392113924032E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,584.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.310055,2.8397086695250543E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,584.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.33883,3.1064044423401363E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,584.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.366043,3.3586231066534926E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,584.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.418994,3.835625456025204E-8,9000.0,4.0,0.0,0.0,?,0.0,161.5,?,0.0,0.0,279.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.463538,4.228035098562639E-8,10000.0,9.0,0.0,0.0,?,0.0,209.33333333333334,?,0.0,1.0,41.0,4552.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.503913,4.5858571479717897E-8,11000.0,11.0,0.0,0.0,?,0.0,256.09090909090907,?,0.0,0.0,108.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.54452,4.946121875610617E-8,12000.0,17.0,0.0,0.0,?,0.0,224.23529411764707,?,0.0,0.0,113.0,4560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.570013,5.195399214617081E-8,13000.0,17.0,0.0,0.0,?,0.0,224.23529411764707,?,0.0,0.0,1113.0,8392.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
15000.0,0.600402,5.464267850956984E-8,14000.0,25.0,0.0,0.0,?,0.0,234.88,?,0.0,1.0,53.0,4544.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.622398,5.6693992550588325E-8,15000.0,28.0,0.0,0.0,?,0.0,224.92857142857142,?,0.0,0.0,627.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.647065,5.891159539007479E-8,16000.0,29.0,0.0,0.0,?,0.0,265.3103448275862,?,0.0,0.0,231.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.670133,6.107023476312559E-8,17000.0,32.0,0.0,0.0,?,0.0,257.875,?,0.0,0.0,673.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.69371,6.333705965429545E-8,18000.0,33.0,0.0,0.0,?,0.0,271.030303030303,?,0.0,0.0,981.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.724141,6.602625000601014E-8,19000.0,40.0,0.0,1.0,0.0,0.0,272.1,1.0,0.0,1.0,41.0,4552.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.744137,6.785433957767157E-8,20000.0,42.0,0.0,1.0,58.0,1.380952380952381,267.8536585365854,0.0,1.0,1.0,405.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.765211,6.9747006903506E-8,21000.0,44.0,0.0,1.0,58.0,1.3181818181818181,282.9767441860465,0.0,1.0,0.0,219.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.792316,7.215916341584592E-8,22000.0,49.0,0.0,1.0,58.0,1.183673469387755,276.5416666666667,0.0,1.0,1.0,113.0,4552.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.818396,7.447519030215014E-8,23000.0,53.0,0.0,1.0,58.0,1.0943396226415094,274.86538461538464,0.0,1.0,1.0,94.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.841242,7.651433027245934E-8,24000.0,56.0,0.0,1.0,58.0,1.0357142857142858,277.0181818181818,0.0,1.0,1.0,151.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.86498,7.86083258295225E-8,25000.0,60.0,0.0,1.0,58.0,0.9666666666666667,277.3728813559322,0.0,1.0,1.0,22.0,4544.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.887029,8.055761943674752E-8,26000.0,63.0,0.0,1.0,58.0,0.9206349206349206,279.69354838709677,0.0,1.0,0.0,46.0,4544.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.908958,8.250320258860789E-8,27000.0,67.0,0.0,1.0,58.0,0.8656716417910447,277.3484848484849,0.0,1.0,0.0,82.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.930907,8.446718601302971E-8,28000.0,69.0,0.0,1.0,58.0,0.8405797101449275,282.5882352941176,0.0,1.0,0.0,171.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.953065,8.644647711680997E-8,29000.0,71.0,0.0,1.0,58.0,0.8169014084507042,288.9428571428571,0.0,1.0,1.0,161.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
