learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.061274,4.747372253073586E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,8384.0,0.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3000.0,0.138955,1.1063666376802656E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,8384.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4000.0,0.188482,1.5090739909145568E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1000.0,8384.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.228364,1.8333572033378815E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,8384.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.273605,2.2065330462323297E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,2000.0,12904.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.309083,2.499192291663753E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,3000.0,12920.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.350934,2.8444312953700627E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,4000.0,12928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.394805,3.2063337667948674E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,5000.0,12928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.43482,3.536427163208525E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,6000.0,12928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.471558,3.839487795407574E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,7000.0,12928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
