learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
2000.0,4.159150888,2.498955238026394E-5,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1000.0,2.3246984E7
3000.0,5.588032534,3.36449645233043E-5,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,2000.0,2.3414984E7
4000.0,7.027740517,4.242852909701728E-5,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,3000.0,2.3582984E7
5000.0,8.334070752,5.045514008195023E-5,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,4000.0,2.3750984E7
6000.0,9.739161172,5.91496404531776E-5,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,5000.0,2.3918984E7
7000.0,11.010192237,6.706984173275186E-5,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,6000.0,2.4086984E7
8000.0,12.096175579,7.388415014152291E-5,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,7000.0,2.4254984E7
9000.0,13.289610765,8.142456416150612E-5,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,8000.0,2.4422984E7
10000.0,14.440970244,8.874917368574988E-5,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,9000.0,2.4590984E7
11000.0,15.779200495,9.732076175081764E-5,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,10000.0,2.4758984E7
12000.0,17.076602009,1.056872222439247E-4,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,11000.0,2.4926984E7
13000.0,18.300259454,1.1363131688292608E-4,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,12000.0,2.5094984E7
14000.0,19.42879953,1.2100694926547945E-4,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,13000.0,2.5262984E7
15000.0,20.718703708,1.2949324658653288E-4,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,14000.0,2.5430984E7
16000.0,22.036395143,1.382196257898072E-4,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,15000.0,2.5598984E7
17000.0,23.363187818,1.4706394242365025E-4,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,16000.0,2.5766984E7
18000.0,24.706822177,1.560789213256806E-4,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,17000.0,2.5934984E7
19000.0,25.852277581,1.638140220255087E-4,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,18000.0,2.6102984E7
