learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.085104371,7.529487949028197E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,493.0,4560.0,5.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.198266503,1.8025673979113085E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,1493.0,4560.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.257410066,2.3511447609907223E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,2493.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.320093511,2.9398984944507896E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,3493.0,9088.0,0.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.364616738,3.359344925766397E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,4493.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
7000.0,0.430393428,3.993528594264761E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,5493.0,17584.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.474303178,4.4174100014710184E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,6493.0,18048.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.505169684,4.715455515816187E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,7493.0,18144.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.530011578,4.9553276631378884E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,8493.0,18144.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.554276396,5.192108391185809E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,9493.0,22072.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
12000.0,0.572982427,5.374649285502318E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,10493.0,22080.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.601484874,5.6527875055014676E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,11493.0,22080.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
14000.0,0.647472203,6.116292868448422E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,12493.0,34400.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
