learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.122948136,1.2596499018669128E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,112.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.2227209,2.3376324253703157E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,112.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.318726611,3.3810340635699946E-8,3000.0,4.0,0.0,0.0,?,0.0,76.25,?,0.0,0.0,192.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.390168819,4.151133516674862E-8,4000.0,8.0,0.0,0.0,?,0.0,176.5,?,0.0,1.0,85.0,4552.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.448096398,4.7799541260028885E-8,5000.0,10.0,0.0,0.0,?,0.0,232.3,?,0.0,1.0,174.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.488040312,5.2243037149148687E-8,6000.0,11.0,0.0,0.0,?,0.0,271.09090909090907,?,0.0,1.0,515.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.524147325,5.619850157043586E-8,7000.0,15.0,0.0,0.0,?,0.0,279.93333333333334,?,0.0,1.0,298.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.565249959,6.060995204714437E-8,8000.0,22.0,0.0,0.0,?,0.0,248.54545454545453,?,0.0,0.0,29.0,4560.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.598605319,6.419646363722781E-8,9000.0,24.0,0.0,0.0,?,0.0,268.5416666666667,?,0.0,0.0,52.0,4544.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.632786337,6.794072622186194E-8,10000.0,28.0,0.0,0.0,?,0.0,257.14285714285717,?,0.0,1.0,297.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.681590289,7.318278151389211E-8,11000.0,35.0,0.0,0.0,?,0.0,241.65714285714284,?,0.0,1.0,39.0,4544.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.732309648,7.871181763141726E-8,12000.0,39.0,0.0,0.0,?,0.0,237.35897435897436,?,0.0,1.0,240.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.778627278,8.383980724983539E-8,13000.0,41.0,0.0,0.0,?,0.0,245.3170731707317,?,0.0,0.0,439.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.819920669,8.836573837548496E-8,14000.0,42.0,0.0,0.0,?,0.0,266.42857142857144,?,0.0,1.0,307.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.871082728,9.388299729744181E-8,15000.0,47.0,0.0,0.0,?,0.0,263.9574468085106,?,0.0,0.0,91.0,4552.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.920456433,9.918124300445121E-8,16000.0,50.0,0.0,0.0,?,0.0,269.4,?,0.0,1.0,27.0,4536.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.964145287,1.0393970804504638E-7,17000.0,52.0,0.0,0.0,?,0.0,274.4423076923077,?,0.0,1.0,226.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.010896058,1.090000292272659E-7,18000.0,56.0,0.0,0.0,?,0.0,274.2142857142857,?,0.0,0.0,141.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.061780432,1.145593753556452E-7,19000.0,62.0,0.0,1.0,0.0,0.0,261.9516129032258,1.0,0.0,0.0,256.0,4560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.104103291,1.192437757885332E-7,20000.0,65.0,0.0,1.0,415.0,6.384615384615385,265.078125,0.0,1.0,1.0,434.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.127998616,1.2183723728228775E-7,21000.0,67.0,0.0,1.0,415.0,6.1940298507462686,276.1818181818182,0.0,1.0,0.0,171.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.160885496,1.2538739684259726E-7,22000.0,71.0,0.0,1.0,415.0,5.845070422535211,275.5857142857143,0.0,1.0,1.0,108.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.19906676,1.29743936437327E-7,23000.0,74.0,0.0,1.0,415.0,5.608108108108108,269.64383561643837,0.0,1.0,0.0,715.0,9096.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
25000.0,1.242640732,1.3462227448150516E-7,24000.0,77.0,0.0,1.0,415.0,5.3896103896103895,276.1842105263158,0.0,1.0,0.0,409.0,9056.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
26000.0,1.272331973,1.3805869598190612E-7,25000.0,78.0,0.0,1.0,415.0,5.32051282051282,279.87012987012986,0.0,1.0,0.0,849.0,9104.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
27000.0,1.317830409,1.4296331289058553E-7,26000.0,84.0,0.0,1.0,415.0,4.940476190476191,281.30120481927713,0.0,1.0,1.0,51.0,4560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.345405403,1.460070504221134E-7,27000.0,86.0,0.0,1.0,415.0,4.825581395348837,284.36470588235295,0.0,1.0,0.0,228.0,9080.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
29000.0,1.3720087,1.4915616698957775E-7,28000.0,86.0,0.0,1.0,415.0,4.825581395348837,284.36470588235295,0.0,1.0,0.0,1228.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
30000.0,1.398898682,1.525693389855098E-7,29000.0,86.0,0.0,1.0,415.0,4.825581395348837,284.36470588235295,0.0,1.0,1.0,2228.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
31000.0,1.441670195,1.5717592852908087E-7,30000.0,89.0,0.0,1.0,415.0,4.662921348314606,310.8863636363636,0.0,1.0,0.0,41.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.481796658,1.6164081138289848E-7,31000.0,92.0,0.0,1.0,415.0,4.510869565217392,308.34065934065933,0.0,1.0,1.0,340.0,9024.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
33000.0,1.538381628,1.677212058433456E-7,32000.0,95.0,0.0,1.0,415.0,4.368421052631579,312.6276595744681,0.0,1.0,0.0,12.0,4504.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.567653867,1.7114239216964075E-7,33000.0,95.0,0.0,1.0,415.0,4.368421052631579,312.6276595744681,0.0,1.0,1.0,1012.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
35000.0,1.599782817,1.7464205150146662E-7,34000.0,96.0,0.0,1.0,415.0,4.322916666666667,328.5473684210526,0.0,1.0,0.0,187.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.63597959,1.7866712959714858E-7,35000.0,98.0,0.0,1.0,415.0,4.23469387755102,330.5979381443299,0.0,1.0,1.0,331.0,8968.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
37000.0,1.676533403,1.833215740485469E-7,36000.0,99.0,0.0,1.0,415.0,4.191919191919192,332.9387755102041,0.0,1.0,0.0,771.0,9104.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
38000.0,1.717838889,1.8804604720142777E-7,37000.0,101.0,0.0,1.0,415.0,4.108910891089109,338.25,0.0,1.0,0.0,574.0,12864.0,2.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
39000.0,1.751856023,1.9185289752960416E-7,38000.0,105.0,0.0,1.0,415.0,3.9523809523809526,336.5192307692308,0.0,1.0,0.0,401.0,9104.0,4.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
40000.0,1.791205763,1.9621278623024833E-7,39000.0,109.0,0.0,2.0,207.5,3.8073394495412844,334.50925925925924,0.5,1.0,0.0,272.0,9024.0,4.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
41000.0,1.821805896,1.998639628464853E-7,40000.0,109.0,0.0,2.0,207.5,3.8073394495412844,334.50925925925924,0.5,1.0,0.0,1272.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
42000.0,1.854373393,2.0336131149847064E-7,41000.0,110.0,0.0,2.0,1204.5,21.9,355.48148148148147,0.0,2.0,0.0,7.0,4384.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.874701904,2.0569538206273486E-7,42000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,887.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.895242779,2.0822962085274156E-7,43000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,1887.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.917646933,2.1118190283720904E-7,44000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,2887.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.953221128,2.1615207584070254E-7,45000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,3887.0,8312.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
47000.0,2.016369492,2.2555159066660127E-7,46000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,4887.0,8384.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
48000.0,2.073199626,2.3446311751736127E-7,47000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,5887.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
49000.0,2.116817001,2.417474269390272E-7,48000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,6887.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
50000.0,2.154423292,2.4828967747143165E-7,49000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,7887.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
51000.0,2.203138674,2.571033030117593E-7,50000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,8887.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
52000.0,2.27090838,2.7024338014804246E-7,51000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,9887.0,16696.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
53000.0,2.340079355,2.841374483879718E-7,52000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,10887.0,16736.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
54000.0,2.402840506,2.971810862585137E-7,53000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,11887.0,16744.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
55000.0,2.475337441,3.1275299507474325E-7,54000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,12887.0,16752.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
56000.0,2.564542127,3.3253468578696256E-7,55000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,13887.0,16752.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
57000.0,2.631853818,3.484194951443168E-7,56000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,14887.0,16752.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
58000.0,2.694154845,3.6360652366080433E-7,57000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,15887.0,19888.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
59000.0,2.756378128,3.7921823968556824E-7,58000.0,111.0,0.0,2.0,1204.5,21.7027027027027,352.2201834862385,0.0,2.0,0.0,16887.0,20536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
60000.0,2.826258771,3.9723856185484894E-7,59000.0,111.0,0.0,3.0,803.0,21.7027027027027,352.2201834862385,0.3333333333333333,2.0,0.0,17887.0,20584.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
61000.0,2.915781649,4.209475409020008E-7,60000.0,111.0,0.0,3.0,803.0,21.7027027027027,352.2201834862385,0.3333333333333333,2.0,0.0,18887.0,20592.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
62000.0,3.007209035,4.476964341089192E-7,61000.0,111.0,0.0,3.0,803.0,21.7027027027027,352.2201834862385,0.3333333333333333,2.0,0.0,19887.0,100816.0,0.0,0.0,29.0,24.0,24.0,3.0,0.0,0.0,1.0
63000.0,3.084589586,4.560993593232769E-7,62000.0,112.0,0.0,3.0,1756.0,47.035714285714285,542.5412844036697,0.0,3.0,0.0,142.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
64000.0,3.117368154,4.5971156721427424E-7,63000.0,114.0,0.0,3.0,1756.0,46.21052631578947,533.7477477477478,0.0,3.0,1.0,220.0,8304.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
65000.0,3.151774324,4.6343670100372914E-7,64000.0,119.0,0.0,3.0,1756.0,44.26890756302521,520.3706896551724,0.0,3.0,1.0,103.0,4560.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66000.0,3.189389852,4.674860329653841E-7,65000.0,121.0,0.0,3.0,1756.0,43.53719008264463,520.6694915254237,0.0,3.0,0.0,27.0,4520.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
67000.0,3.235120377,4.7269373301509574E-7,66000.0,123.0,0.0,3.0,1756.0,42.829268292682926,515.275,0.0,3.0,1.0,633.0,9104.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
68000.0,3.2680481,4.767077514003446E-7,67000.0,123.0,0.0,3.0,1756.0,42.829268292682926,515.275,0.0,3.0,0.0,1633.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
