learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.177998549,1.7440537001745154E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,16.0,4504.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.277857134,2.7783025331478565E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,16.0,4504.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.326782825,3.285032513541273E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,16.0,4504.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.374255177,3.7767100658969334E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,16.0,4504.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.420737215,4.258130802588952E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,16.0,4504.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.479397688,4.865685233106009E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,16.0,4504.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.510343121,5.186191256359841E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,16.0,4504.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.53321091,5.4230360312575684E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,16.0,4504.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.597345775,6.088125701527214E-8,9000.0,17.0,0.0,0.0,?,0.0,54.05882352941177,?,0.0,1.0,32.0,4520.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.664831308,6.787068501873356E-8,10000.0,35.0,0.0,0.0,?,0.0,55.285714285714285,?,0.0,1.0,16.0,4496.0,18.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.720343894,7.363961469068089E-8,11000.0,53.0,0.0,0.0,?,0.0,54.64150943396226,?,0.0,0.0,55.0,4560.0,18.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.761334099,7.791641392507695E-8,12000.0,64.0,0.0,0.0,?,0.0,60.203125,?,0.0,0.0,98.0,4560.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.81894656,8.389998788990082E-8,13000.0,82.0,0.0,0.0,?,0.0,59.91463414634146,?,0.0,0.0,38.0,4552.0,18.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.868232552,8.901398879088463E-8,14000.0,94.0,0.0,0.0,?,0.0,63.02127659574468,?,0.0,1.0,27.0,4536.0,12.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.940540654,9.652024610350117E-8,15000.0,112.0,0.0,0.0,?,0.0,61.767857142857146,?,0.0,0.0,33.0,4544.0,18.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.013491065,1.0415010002574575E-7,16000.0,129.0,0.0,0.0,?,0.0,60.65891472868217,?,0.0,0.0,126.0,4552.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.077493986,1.1078201547440764E-7,17000.0,148.0,0.0,0.0,?,0.0,60.398648648648646,?,0.0,0.0,12.0,4448.0,19.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.153029769,1.1860176282270917E-7,18000.0,171.0,0.0,0.0,?,0.0,58.187134502923975,?,0.0,1.0,1.0,3784.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.231248656,1.2670558856078323E-7,19000.0,190.0,0.0,1.0,0.0,0.0,57.59473684210526,1.0,0.0,0.0,8.0,4512.0,19.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.295398323,1.333803246955429E-7,20000.0,212.0,0.0,1.0,14.0,0.0660377358490566,56.03791469194313,0.0,1.0,0.0,62.0,4552.0,22.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.342903999,1.383041893974216E-7,21000.0,230.0,0.0,1.0,14.0,0.06086956521739131,56.213973799126634,0.0,1.0,1.0,13.0,4536.0,18.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.383639952,1.4253119188300233E-7,22000.0,245.0,0.0,1.0,14.0,0.05714285714285714,56.799180327868854,0.0,1.0,0.0,27.0,4552.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.41389472,1.456685385518749E-7,23000.0,264.0,0.0,1.0,14.0,0.05303030303030303,56.59695817490494,0.0,1.0,0.0,1.0,3752.0,19.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.446182305,1.4902730824278255E-7,24000.0,278.0,0.0,1.0,14.0,0.050359712230215826,57.14079422382672,0.0,1.0,0.0,58.0,4560.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.486651353,1.5324537620706483E-7,25000.0,292.0,0.0,1.0,14.0,0.04794520547945205,57.74570446735395,0.0,1.0,1.0,82.0,4560.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.525372867,1.572619862830825E-7,26000.0,311.0,0.0,1.0,14.0,0.04501607717041801,57.693548387096776,0.0,1.0,0.0,1.0,3880.0,19.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
