learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.055999461,5.099575311485679E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,143.0,4560.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.145502902,1.3632139576483105E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,143.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.229189456,2.1610166925411258E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,143.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.270429951,2.5541716036554428E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,143.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.30427945,2.8768664881520803E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,1143.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.330572615,3.127525141703379E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,2143.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.351745724,3.329373150242286E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,3143.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.378950643,3.5951310929633266E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,4143.0,13632.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.39707399,3.772687327951814E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,5143.0,13648.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.419359311,3.993205011240103E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,6143.0,17416.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12000.0,0.440073364,4.1985648014781377E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,7143.0,18144.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13000.0,0.469610394,4.494874167919573E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,8143.0,22672.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
14000.0,0.491225705,4.711718963833526E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,9143.0,22680.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.510538254,4.90774470235842E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,10143.0,27224.0,0.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
16000.0,0.528886131,5.094016824812318E-8,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,11143.0,27296.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
17000.0,0.550422015,5.317369961351777E-8,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,12143.0,35720.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
18000.0,0.581539303,5.646946048574936E-8,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,13143.0,44184.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
19000.0,0.601352822,5.856803336466766E-8,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,14143.0,44192.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
20000.0,0.621302039,6.068407538774526E-8,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,15143.0,44792.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
21000.0,0.643646515,6.305432469676352E-8,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,16143.0,44816.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
22000.0,0.667405111,6.557467886167681E-8,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,17143.0,44832.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
23000.0,0.690936522,6.807103023878194E-8,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,18143.0,44848.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
24000.0,0.717298142,7.087133689536608E-8,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,19143.0,45392.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
25000.0,0.739266978,7.299768407212154E-8,24000.0,1.0,1.0,1.0,4208.0,4208.0,?,0.0,1.0,1.0,881.0,9104.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
26000.0,0.75641762,7.46576818615467E-8,25000.0,1.0,1.0,1.0,4208.0,4208.0,?,0.0,1.0,0.0,1881.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
