learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.152462742,1.3924050411780676E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,1000.0,16576.0,0.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.264026964,2.457449574265629E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,1000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.316570501,2.959054890268586E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,1000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.360942789,3.3826536202896386E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,1000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.407613885,3.8281978526332725E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,1000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.447967088,4.213428507024629E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,1000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.490771545,4.62205998495159E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,1000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.524899041,4.947857112302755E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,1000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.580134775,5.481050690879631E-8,9000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,9.0,958.0,16768.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.673467511,6.361154549350547E-8,10000.0,2.0,0.0,0.0,?,0.0,873.0,?,0.0,0.0,212.0,16952.0,1.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.733671924,6.92783260961891E-8,11000.0,3.0,0.0,0.0,?,0.0,973.3333333333334,?,0.0,5.0,41.0,16288.0,1.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.776577637,7.338860371280254E-8,12000.0,4.0,0.0,0.0,?,0.0,897.0,?,0.0,9.0,371.0,16960.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.834501915,7.899421201896543E-8,13000.0,4.0,0.0,0.0,?,0.0,897.0,?,0.0,0.0,1371.0,16960.0,0.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.918063448,8.686918175695877E-8,14000.0,5.0,0.0,0.0,?,0.0,1160.8,?,0.0,2.0,154.0,16736.0,1.0,37.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.979882476,9.279758452444647E-8,15000.0,6.0,0.0,0.0,?,0.0,1069.1666666666667,?,0.0,5.0,544.0,16768.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.078071248,1.0220853750826789E-7,16000.0,6.0,0.0,0.0,?,0.0,1069.1666666666667,?,0.0,4.0,1544.0,16768.0,0.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.198156997,1.1376941464398054E-7,17000.0,7.0,0.0,0.0,?,0.0,1188.5714285714287,?,0.0,0.0,638.0,16960.0,1.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.294929069,1.2305900345542775E-7,18000.0,7.0,0.0,0.0,?,0.0,1188.5714285714287,?,0.0,6.0,1638.0,16960.0,0.0,33.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.354220671,1.2865005006260338E-7,19000.0,9.0,0.0,1.0,0.0,0.0,1195.6666666666667,1.0,0.0,8.0,198.0,16952.0,2.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.413251066,1.3417260661501847E-7,20000.0,10.0,24.0,1.0,989.0,98.9,1327.111111111111,0.0,1.0,8.0,14.0,14080.0,1.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.460619668,1.387102236000862E-7,21000.0,10.0,24.0,1.0,989.0,98.9,1327.111111111111,0.0,1.0,4.0,1014.0,16768.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.518556135,1.441126922771831E-7,22000.0,12.0,24.0,1.0,989.0,82.41666666666667,1152.4545454545455,0.0,1.0,9.0,8.0,12896.0,2.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.566758345,1.4873515169410237E-7,23000.0,12.0,24.0,1.0,989.0,82.41666666666667,1152.4545454545455,0.0,1.0,4.0,1008.0,16960.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.616049251,1.534646663955433E-7,24000.0,13.0,24.0,1.0,989.0,76.07692307692308,1158.9166666666667,0.0,1.0,8.0,779.0,16960.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.689329108,1.604995862344859E-7,25000.0,13.0,24.0,1.0,989.0,76.07692307692308,1158.9166666666667,0.0,1.0,7.0,1779.0,16960.0,0.0,31.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.737507508,1.6504238715105168E-7,26000.0,15.0,24.0,1.0,989.0,65.93333333333334,1178.0714285714287,0.0,1.0,0.0,193.0,16928.0,2.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
