learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.136623651,1.3890724792716405E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,202.0,16744.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.239961632,2.4961433326846195E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,202.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.295789244,3.094230516726358E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,202.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.344792099,3.6192033483953106E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,202.0,16744.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.400043874,4.2234026534582174E-8,5000.0,3.0,0.0,0.0,?,0.0,80.0,?,0.0,5.0,468.0,16960.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.477408414,5.133699315572778E-8,6000.0,3.0,0.0,0.0,?,0.0,80.0,?,0.0,4.0,1468.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.526948653,5.662101796664918E-8,7000.0,6.0,0.0,0.0,?,0.0,428.1666666666667,?,0.0,6.0,139.0,16952.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.579007851,6.214096457147971E-8,8000.0,12.0,0.0,0.0,?,0.0,303.4166666666667,?,0.0,6.0,67.0,16800.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.614998689,6.601889865638688E-8,9000.0,13.0,0.0,0.0,?,0.0,341.7692307692308,?,0.0,6.0,265.0,16936.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.656777227,7.054794066118076E-8,10000.0,16.0,0.0,0.0,?,0.0,333.875,?,0.0,0.0,366.0,16768.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
