learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.129695112,1.3874513281881809E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,331.0,16952.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.243828396,2.6707378924787042E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,331.0,16952.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.337795603,3.7105571926277545E-8,3000.0,4.0,0.0,0.0,?,0.0,153.25,?,0.0,1.0,114.0,16728.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.410695092,4.514620822145293E-8,4000.0,7.0,0.0,0.0,?,0.0,236.42857142857142,?,0.0,8.0,72.0,16832.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.459074255,5.049282541728475E-8,5000.0,10.0,0.0,0.0,?,0.0,263.1,?,0.0,6.0,96.0,16888.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.493455557,5.45264308125298E-8,6000.0,12.0,0.0,0.0,?,0.0,234.66666666666666,?,0.0,8.0,911.0,16768.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.523295932,5.7900198260239424E-8,7000.0,13.0,0.0,0.0,?,0.0,333.3076923076923,?,0.0,0.0,394.0,16952.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.55851013,6.19354636088055E-8,8000.0,16.0,0.0,0.0,?,0.0,322.1875,?,0.0,6.0,572.0,16960.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.600377476,6.668070390378849E-8,9000.0,17.0,0.0,0.0,?,0.0,369.8235294117647,?,0.0,4.0,440.0,16768.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.638632224,7.093288685598721E-8,10000.0,19.0,0.0,0.0,?,0.0,397.94736842105266,?,0.0,9.0,166.0,16920.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.667799759,7.421054140425598E-8,11000.0,22.0,0.0,0.0,?,0.0,382.04545454545456,?,0.0,1.0,322.0,16952.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.707663982,7.859558775978577E-8,12000.0,30.0,0.0,0.0,?,0.0,322.8,?,0.0,3.0,43.0,16568.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.740287094,8.226209731763229E-8,13000.0,33.0,0.0,0.0,?,0.0,315.030303030303,?,0.0,1.0,331.0,16768.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.792116165,8.796691853350029E-8,14000.0,35.0,0.0,0.0,?,0.0,333.74285714285713,?,0.0,4.0,46.0,16736.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.838611294,9.32261825363545E-8,15000.0,39.0,0.0,0.0,?,0.0,316.05128205128204,?,0.0,6.0,401.0,16960.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.882736082,9.82233542548741E-8,16000.0,41.0,0.0,0.0,?,0.0,324.1951219512195,?,0.0,6.0,435.0,16576.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.929133597,1.033675821171908E-7,17000.0,42.0,0.0,0.0,?,0.0,347.35714285714283,?,0.0,5.0,138.0,16920.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.992539932,1.1037269451802805E-7,18000.0,47.0,0.0,0.0,?,0.0,332.531914893617,?,0.0,1.0,98.0,16704.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.035593702,1.1528751108148033E-7,19000.0,49.0,0.0,1.0,0.0,0.0,330.14285714285717,1.0,0.0,2.0,550.0,16960.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.085731781,1.2107547787207077E-7,20000.0,51.0,0.0,1.0,132.0,2.588235294117647,337.16,0.0,1.0,4.0,694.0,16960.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.15170221,1.2832646060889173E-7,21000.0,55.0,0.0,1.0,132.0,2.4,342.8703703703704,0.0,1.0,1.0,37.0,16376.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.211640496,1.3489508311578176E-7,22000.0,61.0,0.0,1.0,132.0,2.1639344262295084,325.35,0.0,1.0,1.0,31.0,15368.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.259604424,1.401665270732695E-7,23000.0,63.0,0.0,1.0,132.0,2.0952380952380953,330.96774193548384,0.0,1.0,7.0,32.0,16560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.299880856,1.446984442458074E-7,24000.0,67.0,0.0,1.0,132.0,1.9701492537313432,321.3484848484849,0.0,1.0,9.0,343.0,16952.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.361262393,1.5149103671704522E-7,25000.0,71.0,0.0,1.0,132.0,1.8591549295774648,320.5285714285714,0.0,1.0,9.0,115.0,16720.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.412511112,1.573118642730328E-7,26000.0,73.0,0.0,1.0,132.0,1.8082191780821917,320.6111111111111,0.0,1.0,5.0,468.0,16960.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.464871508,1.6320650721885886E-7,27000.0,75.0,0.0,1.0,132.0,1.76,326.93243243243245,0.0,1.0,6.0,359.0,16760.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.506768769,1.679828855361272E-7,28000.0,77.0,0.0,1.0,132.0,1.7142857142857142,329.1578947368421,0.0,1.0,1.0,536.0,16768.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.547123965,1.7252834234274716E-7,29000.0,78.0,0.0,1.0,132.0,1.6923076923076923,340.15584415584414,0.0,1.0,2.0,360.0,16960.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.583121761,1.765296551854805E-7,30000.0,80.0,0.0,1.0,132.0,1.65,346.55696202531647,0.0,1.0,8.0,174.0,16728.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.621235117,1.80846973407134E-7,31000.0,82.0,0.0,1.0,132.0,1.6097560975609757,347.0740740740741,0.0,1.0,4.0,439.0,16576.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.671707967,1.8640272441646083E-7,32000.0,84.0,0.0,1.0,132.0,1.5714285714285714,355.3855421686747,0.0,1.0,8.0,55.0,16408.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.719338241,1.916389769888607E-7,33000.0,89.0,0.0,1.0,132.0,1.4831460674157304,346.7613636363636,0.0,1.0,4.0,37.0,16464.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.761218724,1.9631029803405825E-7,34000.0,94.0,0.0,1.0,132.0,1.4042553191489362,336.81720430107526,0.0,1.0,0.0,228.0,16760.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.802500364,2.0076249086302806E-7,35000.0,99.0,0.0,1.0,132.0,1.3333333333333333,332.1530612244898,0.0,1.0,9.0,1.0,5672.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.828169329,2.037760921362332E-7,36000.0,101.0,0.0,1.0,132.0,1.306930693069307,326.37,0.0,1.0,3.0,915.0,16960.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.855841887,2.0702068220917547E-7,37000.0,102.0,0.0,1.0,132.0,1.2941176470588236,333.25742574257424,0.0,1.0,6.0,893.0,16960.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.889971908,2.1079488822263974E-7,38000.0,107.0,0.0,1.0,132.0,1.233644859813084,334.4056603773585,0.0,1.0,5.0,105.0,16904.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.931764632,2.1539604755414027E-7,39000.0,111.0,0.0,2.0,66.0,1.1891891891891893,331.8090909090909,0.5,1.0,9.0,53.0,16568.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.955781554,2.1823746584471313E-7,40000.0,111.0,0.0,2.0,66.0,1.1891891891891893,331.8090909090909,0.5,1.0,1.0,1053.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.984359343,2.214043717843025E-7,41000.0,114.0,0.0,2.0,820.5,14.394736842105264,340.69642857142856,0.0,2.0,8.0,131.0,16904.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,2.014854002,2.2483715537705973E-7,42000.0,115.0,0.0,2.0,820.5,14.269565217391305,344.5840707964602,0.0,2.0,6.0,351.0,16952.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,2.058871785,2.2971434692823635E-7,43000.0,119.0,0.0,2.0,820.5,13.789915966386555,343.20512820512823,0.0,2.0,2.0,134.0,16736.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,2.099620604,2.342166855958497E-7,44000.0,122.0,0.0,2.0,820.5,13.450819672131148,343.30833333333334,0.0,2.0,4.0,92.0,16888.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,2.132455999,2.378521449193979E-7,45000.0,125.0,0.0,2.0,820.5,13.128,342.869918699187,0.0,2.0,7.0,116.0,16912.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,2.170493497,2.423200474154204E-7,46000.0,127.0,0.0,2.0,820.5,12.921259842519685,338.864,0.0,2.0,5.0,931.0,16768.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,2.2194051,2.478569007497508E-7,47000.0,128.0,0.0,2.0,820.5,12.8203125,348.2142857142857,0.0,2.0,9.0,414.0,16952.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
