learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.201008495,2.0158515709586856E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,25.0,15344.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.300919836,3.0723790763587586E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,25.0,15344.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.352780449,3.620786930091886E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,25.0,15344.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.387231572,3.985095512852487E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,25.0,15344.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.439501134,4.5378278593056736E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,25.0,15344.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.488396238,5.054876492006911E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,25.0,15344.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.513354186,5.318798067640099E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,25.0,15344.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.539505004,5.595333826535692E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,25.0,15344.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.624512634,6.485128912753944E-8,9000.0,15.0,0.0,0.0,?,0.0,65.8,?,0.0,6.0,6.0,11824.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.716150787,7.45904447662044E-8,10000.0,40.0,0.0,0.0,?,0.0,48.525,?,0.0,6.0,52.0,16576.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.779239096,8.127957014508753E-8,11000.0,64.0,0.0,0.0,?,0.0,46.28125,?,0.0,4.0,31.0,16336.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.864319761,9.030736765562454E-8,12000.0,89.0,0.0,0.0,?,0.0,44.49438202247191,?,0.0,3.0,33.0,16568.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
