learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.097984298,8.725193651492396E-9,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,9.0,10848.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.239470646,2.2221604302972556E-8,2000.0,5.0,0.0,0.0,?,0.0,134.4,?,0.0,5.0,81.0,16496.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.3139488,2.9340425166305572E-8,3000.0,10.0,0.0,0.0,?,0.0,147.2,?,0.0,3.0,281.0,16952.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.384110876,3.6039298168197276E-8,4000.0,16.0,0.0,0.0,?,0.0,166.0,?,0.0,4.0,97.0,16688.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.44006644,4.138756460628576E-8,5000.0,20.0,0.0,0.0,?,0.0,184.0,?,0.0,2.0,73.0,16848.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.507758114,4.784860940707641E-8,6000.0,24.0,0.0,0.0,?,0.0,196.0,?,0.0,3.0,49.0,16768.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.540734333,5.100349914073738E-8,7000.0,28.0,0.0,0.0,?,0.0,189.71428571428572,?,0.0,5.0,441.0,16960.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.593128729,5.5858817912404325E-8,8000.0,36.0,0.0,0.0,?,0.0,187.55555555555554,?,0.0,4.0,1.0,5880.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.637332983,6.00791298382005E-8,9000.0,41.0,0.0,0.0,?,0.0,186.53658536585365,?,0.0,4.0,105.0,16720.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.687422647,6.485999174811981E-8,10000.0,44.0,0.0,0.0,?,0.0,197.8181818181818,?,0.0,4.0,49.0,16616.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.736791648,6.958627143909947E-8,11000.0,47.0,0.0,0.0,?,0.0,194.72340425531914,?,0.0,0.0,601.0,16960.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.797403094,7.53762883903914E-8,12000.0,53.0,0.0,0.0,?,0.0,200.45283018867926,?,0.0,1.0,129.0,16880.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.841911406,7.963327515655093E-8,13000.0,56.0,0.0,0.0,?,0.0,202.85714285714286,?,0.0,4.0,393.0,16952.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.877513269,8.303752257444377E-8,14000.0,59.0,0.0,0.0,?,0.0,211.52542372881356,?,0.0,3.0,273.0,16952.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.914276631,8.655701714944507E-8,15000.0,62.0,0.0,0.0,?,0.0,211.61290322580646,?,0.0,9.0,633.0,16960.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.964079532,9.131473462320656E-8,16000.0,68.0,0.0,0.0,?,0.0,215.05882352941177,?,0.0,0.0,129.0,16896.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.014905289,9.609506133828725E-8,17000.0,75.0,0.0,0.0,?,0.0,209.92,?,0.0,3.0,9.0,11376.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.063881613,1.0078374858679042E-7,18000.0,77.0,0.0,0.0,?,0.0,210.7012987012987,?,0.0,3.0,529.0,16768.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.122447685,1.063808016964462E-7,19000.0,82.0,0.0,1.0,0.0,0.0,212.29268292682926,1.0,0.0,0.0,345.0,16752.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.172793452,1.1119308875739367E-7,20000.0,85.0,0.0,1.0,424.0,4.988235294117647,218.66666666666666,0.0,1.0,5.0,321.0,16768.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.21457394,1.1518433118333212E-7,21000.0,90.0,0.0,1.0,424.0,4.711111111111111,219.68539325842696,0.0,1.0,6.0,137.0,16936.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.273822061,1.208403128441444E-7,22000.0,96.0,0.0,1.0,424.0,4.416666666666667,216.58947368421053,0.0,1.0,6.0,113.0,16728.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.325149152,1.257420442042355E-7,23000.0,102.0,0.0,1.0,424.0,4.1568627450980395,213.54455445544554,0.0,1.0,4.0,121.0,16680.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.379306698,1.309193516793578E-7,24000.0,107.0,0.0,1.0,424.0,3.9626168224299065,211.32075471698113,0.0,1.0,0.0,289.0,16960.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.433897699,1.3614148567598728E-7,25000.0,111.0,0.0,1.0,424.0,3.81981981981982,212.36363636363637,0.0,1.0,8.0,329.0,16960.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.486435302,1.4115729854483986E-7,26000.0,114.0,0.0,1.0,424.0,3.719298245614035,218.05309734513276,0.0,1.0,6.0,49.0,16808.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.538224387,1.46107544781903E-7,27000.0,117.0,0.0,1.0,424.0,3.623931623931624,218.20689655172413,0.0,1.0,5.0,377.0,16768.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.593981523,1.5127159930054305E-7,28000.0,122.0,0.0,1.0,424.0,3.4754098360655736,220.56198347107437,0.0,1.0,6.0,1.0,5920.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.64811899,1.5635387937162277E-7,29000.0,127.0,0.0,1.0,424.0,3.338582677165354,219.68253968253967,0.0,1.0,6.0,9.0,10696.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.689174896,1.6027012537590123E-7,30000.0,131.0,0.0,1.0,424.0,3.236641221374046,220.30769230769232,0.0,1.0,0.0,49.0,16344.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.743742585,1.6547884893765258E-7,31000.0,135.0,0.0,1.0,424.0,3.140740740740741,221.13432835820896,0.0,1.0,4.0,57.0,16792.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.796193589,1.704897592608403E-7,32000.0,139.0,0.0,1.0,424.0,3.050359712230216,220.9855072463768,0.0,1.0,9.0,193.0,16720.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.84273782,1.7487115141776078E-7,33000.0,146.0,0.0,1.0,424.0,2.904109589041096,218.48275862068965,0.0,1.0,4.0,9.0,11736.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.882991049,1.7871283096537611E-7,34000.0,150.0,0.0,1.0,424.0,2.8266666666666667,218.84563758389262,0.0,1.0,6.0,81.0,16488.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.92184792,1.8242735697851617E-7,35000.0,153.0,0.0,1.0,424.0,2.7712418300653594,219.1578947368421,0.0,1.0,5.0,377.0,16760.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
