learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.142893752,1.3333450801405644E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,645.0,16768.0,2.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.277801482,2.639525699849758E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,645.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.362742548,3.4619276054087616E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,645.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.408832094,3.908167948763404E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,645.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.485608788,4.650362212244422E-8,5000.0,2.0,0.0,0.0,?,0.0,55.5,?,0.0,6.0,346.0,16768.0,2.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.536047898,5.1448741176645796E-8,6000.0,2.0,0.0,0.0,?,0.0,55.5,?,0.0,5.0,1346.0,16768.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.582594891,5.6012946115659764E-8,7000.0,2.0,0.0,0.0,?,0.0,55.5,?,0.0,6.0,2346.0,16768.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.627544076,6.036503248803318E-8,8000.0,2.0,0.0,0.0,?,0.0,55.5,?,0.0,3.0,3346.0,16768.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.671490516,6.455163496220278E-8,9000.0,4.0,0.0,0.0,?,0.0,1082.5,?,0.0,7.0,127.0,16936.0,2.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.732096987,7.031935158685885E-8,10000.0,7.0,0.0,0.0,?,0.0,772.0,?,0.0,8.0,58.0,16552.0,3.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.827486456,7.930722777023911E-8,11000.0,18.0,0.0,0.0,?,0.0,357.8888888888889,?,0.0,4.0,14.0,12904.0,11.0,42.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.922225186,8.832025708365772E-8,12000.0,20.0,0.0,0.0,?,0.0,371.15,?,0.0,6.0,37.0,16432.0,2.0,29.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.011816504,9.698821067310042E-8,13000.0,22.0,0.0,0.0,?,0.0,379.09090909090907,?,0.0,3.0,122.0,16704.0,2.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.099200308,1.0547803404546447E-7,14000.0,27.0,0.0,0.0,?,0.0,332.51851851851853,?,0.0,3.0,483.0,16768.0,5.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.167073823,1.1203481828217498E-7,15000.0,27.0,0.0,0.0,?,0.0,332.51851851851853,?,0.0,0.0,1483.0,16768.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.220163462,1.1719211322482468E-7,16000.0,27.0,0.0,0.0,?,0.0,332.51851851851853,?,0.0,0.0,2483.0,16768.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.283137224,1.2334607568406604E-7,17000.0,27.0,0.0,0.0,?,0.0,332.51851851851853,?,0.0,0.0,3483.0,16768.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.350978866,1.299308104983407E-7,18000.0,27.0,0.0,0.0,?,0.0,332.51851851851853,?,0.0,8.0,4483.0,16768.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
