learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.092107221,8.075854881076764E-9,1000.0,1000.0,0.0,0.0,?,0.0,0.999,?,0.0,1.0,1.0,5480.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.18863453,1.7024507739914375E-8,2000.0,2000.0,0.0,0.0,?,0.0,0.9995,?,0.0,6.0,1.0,5480.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.241403423,2.1916496443361458E-8,3000.0,3000.0,0.0,0.0,?,0.0,0.9996666666666667,?,0.0,6.0,1.0,5480.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.288959031,2.6325182771527518E-8,4000.0,4000.0,0.0,0.0,?,0.0,0.99975,?,0.0,5.0,1.0,5480.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.34134592,3.1356856074610515E-8,5000.0,4003.0,0.0,0.0,?,0.0,1.1988508618536098,?,0.0,1.0,201.0,16744.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.420982017,3.8752284387112076E-8,6000.0,4007.0,0.0,0.0,?,0.0,1.4971300224606938,?,0.0,3.0,1.0,6096.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.471042939,4.3400895022660906E-8,7000.0,4010.0,0.0,0.0,?,0.0,1.7453865336658354,?,0.0,5.0,1.0,6072.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.515645191,4.768726696324224E-8,8000.0,4013.0,0.0,0.0,?,0.0,1.9434338400199351,?,0.0,1.0,201.0,16952.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.557607993,5.1575295911785216E-8,9000.0,4017.0,0.0,0.0,?,0.0,2.2402290266367935,?,0.0,4.0,1.0,5280.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.602069998,5.5697278950615893E-8,10000.0,4020.0,0.0,0.0,?,0.0,2.487313432835821,?,0.0,1.0,1.0,5488.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.643472914,5.967618784966983E-8,11000.0,4023.0,0.0,0.0,?,0.0,2.6843151876708924,?,0.0,2.0,201.0,16952.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.680358378,6.3093474863184E-8,12000.0,4027.0,0.0,0.0,?,0.0,2.9796374472311893,?,0.0,6.0,1.0,5248.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.708370411,6.569192141094764E-8,13000.0,4030.0,0.0,0.0,?,0.0,3.2255583126550866,?,0.0,7.0,1.0,5696.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.740486228,6.877812080494853E-8,14000.0,4033.0,0.0,0.0,?,0.0,3.4215224398710635,?,0.0,0.0,201.0,16928.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.787627998,7.314844190113868E-8,15000.0,4037.0,0.0,0.0,?,0.0,3.7153827099331185,?,0.0,5.0,1.0,5480.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.834413824,7.768484368808361E-8,16000.0,4038.0,0.0,0.0,?,0.0,3.8135215453194653,?,0.0,3.0,601.0,16960.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.872076207,8.141730146568269E-8,17000.0,4038.0,0.0,0.0,?,0.0,3.8135215453194653,?,0.0,5.0,1601.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.920683982,8.592141732467752E-8,18000.0,4041.0,0.0,0.0,?,0.0,4.454095520910665,?,0.0,1.0,1.0,5312.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.972333071,9.088222616846776E-8,19000.0,4044.0,0.0,1.0,0.0,0.0,4.648615232443126,1.0,0.0,4.0,201.0,16744.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.020483551,9.550939111397084E-8,20000.0,4047.0,0.0,1.0,200.0,0.04941932295527551,4.844043499752842,0.0,1.0,4.0,201.0,16936.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.055535258,9.895308999495167E-8,21000.0,4047.0,0.0,1.0,200.0,0.04941932295527551,4.844043499752842,0.0,1.0,7.0,1201.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.083397247,1.0175028055932786E-7,22000.0,4047.0,0.0,1.0,200.0,0.04941932295527551,4.844043499752842,0.0,1.0,4.0,2201.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.110213161,1.0450005825005884E-7,23000.0,4047.0,0.0,1.0,200.0,0.04941932295527551,4.844043499752842,0.0,1.0,1.0,3201.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.136073418,1.072072339940816E-7,24000.0,4047.0,0.0,1.0,200.0,0.04941932295527551,4.844043499752842,0.0,1.0,7.0,4201.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.162608382,1.1004220980991918E-7,25000.0,4047.0,0.0,1.0,200.0,0.04941932295527551,4.844043499752842,0.0,1.0,5.0,5201.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.191630071,1.1320503114949083E-7,26000.0,4047.0,0.0,1.0,200.0,0.04941932295527551,4.844043499752842,0.0,1.0,3.0,6201.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.231837425,1.1767367232538759E-7,27000.0,4047.0,0.0,1.0,200.0,0.04941932295527551,4.844043499752842,0.0,1.0,7.0,7201.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.278078213,1.2291191844003894E-7,28000.0,4047.0,0.0,1.0,200.0,0.04941932295527551,4.844043499752842,0.0,1.0,3.0,8201.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.331555051,1.2908442795652067E-7,29000.0,4047.0,0.0,1.0,200.0,0.04941932295527551,4.844043499752842,0.0,1.0,1.0,9201.0,16960.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
