learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes)
2000.0,2.07757226,3.828609733967525E-6,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,1000.0,7144312.0
3000.0,2.372240499,4.373226954495785E-6,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,8.0,1000.0,7144312.0
4000.0,2.55612575,4.7130907777419735E-6,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,1000.0,7144312.0
5000.0,2.738183594,5.049577116789351E-6,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,7.0,1000.0,7144312.0
6000.0,3.288931435,6.108524460282022E-6,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,2000.0,7432312.0
7000.0,3.818420042,7.1660457054360015E-6,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,3000.0,7720312.0
8000.0,4.431408639,8.436008534771455E-6,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,4000.0,8008312.0
9000.0,5.040425326,9.743117814680922E-6,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,5000.0,8296312.0
10000.0,5.558272664,1.0893136432440446E-5,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,6000.0,8584312.0
11000.0,6.094253704,1.2123359488411943E-5,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,7000.0,8872312.0
12000.0,6.600454541,1.3322943736158433E-5,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,8000.0,9160312.0
13000.0,7.219880007,1.4836996155645353E-5,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,9.0,9000.0,9448312.0
14000.0,7.759299872,1.6195681990764555E-5,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,10000.0,9736312.0
15000.0,8.356993153,1.7745677994130236E-5,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,11000.0,1.0024312E7
16000.0,8.879625446,1.9139957726471033E-5,15000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,12000.0,1.0312312E7
17000.0,9.40179184,2.0571898960334812E-5,16000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,13000.0,1.0600312E7
18000.0,9.926727508,2.2050545152287462E-5,17000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,14000.0,1.0888312E7
19000.0,10.448963333,2.356049598945377E-5,18000.0,0.0,0.0,0.0,?,?,?,?,0.0,6.0,15000.0,1.1176312E7
20000.0,11.019351294,2.5252167270768906E-5,19000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,16000.0,1.1464312E7
21000.0,11.643428911,2.7149570120231332E-5,20000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,17000.0,1.1752312E7
22000.0,12.278671409,2.9128247163606835E-5,21000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,18000.0,1.2040312E7
23000.0,12.895559423,3.1095714713808684E-5,22000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,9.0,19000.0,1.2328312E7
24000.0,13.507525805,3.3093739134459024E-5,23000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,20000.0,1.2620472E7
25000.0,14.125551472,3.5157593167418506E-5,24000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,21000.0,1.2908472E7
26000.0,14.735179107,3.723882335078429E-5,25000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,7.0,22000.0,1.3196472E7
27000.0,15.349505374,3.938186524023295E-5,26000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,0.0,23000.0,1.3484472E7
28000.0,15.967986419,4.158548126277746E-5,27000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,24000.0,1.3772472E7
29000.0,16.622865392,4.3967573508749674E-5,28000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,25000.0,1.4060472E7
30000.0,17.300848386,4.6484219241469635E-5,29000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,26000.0,1.4348472E7
31000.0,17.938256191,4.889774207916974E-5,30000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,27000.0,1.4636472E7
32000.0,18.578247892,5.1368731848134E-5,31000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,2.0,28000.0,1.4924472E7
33000.0,19.217594077,5.3884864300974636E-5,32000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,29000.0,1.5212472E7
34000.0,19.892181549,5.658994872515254E-5,33000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,6.0,30000.0,1.5500472E7
35000.0,20.703024136,5.9901826350747765E-5,34000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,31000.0,1.5788472E7
36000.0,21.431246647,6.29304999900259E-5,35000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,8.0,32000.0,1.6076472E7
37000.0,22.168674968,6.605240323665969E-5,36000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,4.0,33000.0,1.6364472E7
38000.0,22.891237499,6.916520725599872E-5,37000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,1.0,34000.0,1.6652472E7
39000.0,23.61888905,7.235414907141972E-5,38000.0,0.0,0.0,1.0,0.0,?,?,1.0,0.0,5.0,35000.0,1.6940472E7
40000.0,24.368842493,7.569670508680863E-5,39000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,8.0,36000.0,1.7228472E7
41000.0,25.095905304,7.899140754343184E-5,40000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,37000.0,1.7516472E7
42000.0,25.800672783,8.223758744076122E-5,41000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,38000.0,1.7804472E7
43000.0,26.484849578,8.543990118082303E-5,42000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,9.0,39000.0,1.8092472E7
44000.0,27.165509895,8.867720158968442E-5,43000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,0.0,40000.0,1.8384632E7
45000.0,27.825205815,9.18639440404318E-5,44000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,3.0,41000.0,1.8672632E7
46000.0,28.538461957,9.536255746870497E-5,45000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,8.0,42000.0,1.8960632E7
47000.0,29.295848713,9.913406696476491E-5,46000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,43000.0,1.9248632E7
48000.0,30.049306938,1.0294215082320891E-4,47000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,1.0,44000.0,1.9536632E7
49000.0,30.795307977,1.0676812642326791E-4,48000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,45000.0,1.9824632E7
50000.0,31.474496421,1.1030204732582615E-4,49000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,46000.0,2.0112632E7
51000.0,32.177251483,1.1401094826291211E-4,50000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,9.0,47000.0,2.0400632E7
52000.0,32.975701038,1.1828438114261014E-4,51000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,2.0,48000.0,2.0688632E7
53000.0,33.694243292,1.2218367262076152E-4,52000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,5.0,49000.0,2.0976632E7
54000.0,34.460314655,1.263979656389347E-4,53000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,4.0,50000.0,2.1264632E7
55000.0,35.27003341,1.3091269936933952E-4,54000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,6.0,51000.0,2.1552632E7
56000.0,36.078520859,1.354808047388943E-4,55000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,8.0,52000.0,2.1840632E7
57000.0,36.892945682,1.401431367603787E-4,56000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,9.0,53000.0,2.2128632E7
58000.0,37.714649056,1.449083579234184E-4,57000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,7.0,54000.0,2.2416632E7
59000.0,38.525959456,1.496737555000783E-4,58000.0,0.0,0.0,2.0,0.0,?,?,1.0,0.0,7.0,55000.0,2.2704632E7
60000.0,39.321373037,1.5440504278879975E-4,59000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,4.0,56000.0,2.2992632E7
61000.0,40.063207415,1.5887290067634569E-4,60000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,4.0,57000.0,2.3280632E7
62000.0,40.842528758,1.6362459587810707E-4,61000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,1.0,58000.0,2.3568632E7
63000.0,41.675620702,1.6876621255549972E-4,62000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,6.0,59000.0,2.3856632E7
64000.0,42.503340976,1.7393723750256708E-4,63000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,4.0,60000.0,2.4148792E7
65000.0,43.349336911,1.792854677739708E-4,64000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,6.0,61000.0,2.4436792E7
66000.0,44.196384653,1.847034573499526E-4,65000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,3.0,62000.0,2.4724792E7
67000.0,45.046034341,1.9020139364354116E-4,66000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,8.0,63000.0,2.5012792E7
68000.0,45.865978725,1.9556820266583122E-4,67000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,9.0,64000.0,2.5300792E7
69000.0,46.636580463,2.0066946194327153E-4,68000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,5.0,65000.0,2.5588792E7
70000.0,47.407436956,2.0582984094204057E-4,69000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,7.0,66000.0,2.5876792E7
71000.0,48.157145578,2.109045064499726E-4,70000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,6.0,67000.0,2.6164792E7
72000.0,48.905423417,2.1602523824530253E-4,71000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,9.0,68000.0,2.6452792E7
73000.0,49.654554045,2.2120762056074568E-4,72000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,2.0,69000.0,2.6740792E7
74000.0,50.400207094,2.2642150094591098E-4,73000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,7.0,70000.0,2.7028792E7
75000.0,51.226629187,2.3226172143935286E-4,74000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,1.0,71000.0,2.7316792E7
76000.0,52.037676476,2.3805371786783945E-4,75000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,1.0,72000.0,2.7604792E7
77000.0,52.8697976,2.4405820840316757E-4,76000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,3.0,73000.0,2.7892792E7
78000.0,53.764675627,2.505822191571141E-4,77000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,5.0,74000.0,2.8180792E7
79000.0,54.671414554,2.5726025782476E-4,78000.0,0.0,0.0,3.0,0.0,?,?,1.0,0.0,4.0,75000.0,2.8468792E7
