learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.207123362,2.170410020646122E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,29.0,30560.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.294094821,3.1326899997026975E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,29.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.339226705,3.632043567984262E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,29.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.379353211,4.076016036622434E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,29.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.403438707,4.3425056511803225E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,29.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.427786529,4.611897724322768E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,29.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.451861245,4.878268065520252E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,29.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.475820167,5.1433572249464284E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,29.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.592881653,6.421894612735965E-8,9000.0,32.0,0.0,0.0,?,0.0,31.0,?,0.0,2.0,5.0,25760.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.701910865,7.627393714970805E-8,10000.0,58.0,0.0,0.0,?,0.0,33.91379310344828,?,0.0,3.0,30.0,30240.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.792836941,8.633824018986482E-8,11000.0,84.0,0.0,0.0,?,0.0,35.154761904761905,?,0.0,1.0,44.0,30240.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.877714331,9.57518303328028E-8,12000.0,114.0,0.0,0.0,?,0.0,34.421052631578945,?,0.0,5.0,73.0,30240.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.970190925,1.0599387950390783E-7,13000.0,140.0,0.0,0.0,?,0.0,35.464285714285715,?,0.0,1.0,32.0,30560.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.07516638,1.1765345397839528E-7,14000.0,169.0,0.0,0.0,?,0.0,35.06508875739645,?,0.0,1.0,71.0,30560.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
