learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.160318659,1.640268751797577E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,815.0,30240.0,2.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.242737182,2.518689947777738E-8,2000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,815.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.280554465,2.9217486505111057E-8,3000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,815.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.320872364,3.351459057466437E-8,4000.0,0.0,0.0,0.0,?,?,?,?,0.0,2.0,815.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.391489606,4.104101545059432E-8,5000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,1815.0,30240.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.429051117,4.5044342156102256E-8,6000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,2815.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.470858798,4.940288692592953E-8,7000.0,0.0,0.0,0.0,?,?,?,?,0.0,5.0,3815.0,30240.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.501428682,5.258986608467375E-8,8000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,4815.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.531050042,5.5677959483185155E-8,9000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,5815.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.562814953,5.9015950712598854E-8,10000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,6815.0,30240.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.5922957,6.211391232573116E-8,11000.0,0.0,0.0,0.0,?,?,?,?,0.0,4.0,7815.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.627343073,6.584050416326356E-8,12000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,8815.0,30240.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.664588529,6.980081845885349E-8,13000.0,0.0,0.0,0.0,?,?,?,?,0.0,3.0,9815.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.701724197,7.37494589817855E-8,14000.0,0.0,0.0,0.0,?,?,?,?,0.0,0.0,10815.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.76939142,8.101748698288781E-8,15000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,4.0,439.0,30240.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.816328516,8.605503960693461E-8,16000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,1439.0,30240.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.855981266,9.025490868241422E-8,17000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,2439.0,30240.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.898787499,9.472473069799028E-8,18000.0,1.0,0.0,0.0,?,0.0,0.0,?,0.0,1.0,3439.0,30240.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.928550737,9.783260464866541E-8,19000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4439.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.958015935,1.0090935729619942E-7,20000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,5439.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.988099192,1.0405064759471349E-7,21000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,6439.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.01731007,1.071008441765689E-7,22000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,7439.0,30240.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.054066921,1.1094819514177117E-7,23000.0,2.0,2.0,1.0,3764.0,1882.0,8194.0,0.0,1.0,1.0,242.0,30240.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.10603142,1.165124113541655E-7,24000.0,4.0,2.0,1.0,3764.0,941.0,2761.0,0.0,1.0,0.0,739.0,30560.0,2.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.14704506,1.208937688515563E-7,25000.0,4.0,2.0,1.0,3764.0,941.0,2761.0,0.0,1.0,4.0,1739.0,30560.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.214101559,1.2799613921578146E-7,26000.0,7.0,2.0,1.0,3764.0,537.7142857142857,1761.6666666666667,0.0,1.0,4.0,436.0,30240.0,3.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.258552867,1.3277058298495496E-7,27000.0,7.0,2.0,1.0,3764.0,537.7142857142857,1761.6666666666667,0.0,1.0,1.0,1436.0,30240.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.293505715,1.364203554257461E-7,28000.0,7.0,2.0,1.0,3764.0,537.7142857142857,1761.6666666666667,0.0,1.0,4.0,2436.0,30240.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.339666143,1.4099719283094425E-7,29000.0,14.0,2.0,1.0,3764.0,268.85714285714283,1075.6153846153845,0.0,1.0,4.0,23.0,28960.0,7.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.38653969,1.459657417627445E-7,30000.0,15.0,2.0,1.0,3764.0,250.93333333333334,1004.7857142857143,0.0,1.0,5.0,953.0,30560.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.423412853,1.498987564724415E-7,31000.0,15.0,2.0,1.0,3764.0,250.93333333333334,1004.7857142857143,0.0,1.0,5.0,1953.0,30560.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.455141129,1.532830003525048E-7,32000.0,15.0,2.0,1.0,3764.0,250.93333333333334,1004.7857142857143,0.0,1.0,5.0,2953.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.488595004,1.5682069992648855E-7,33000.0,15.0,2.0,1.0,3764.0,250.93333333333334,1004.7857142857143,0.0,1.0,5.0,3953.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.523410036,1.605341875102516E-7,34000.0,15.0,2.0,1.0,3764.0,250.93333333333334,1004.7857142857143,0.0,1.0,2.0,4953.0,30560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.555039732,1.6390791651829043E-7,35000.0,15.0,2.0,1.0,3764.0,250.93333333333334,1004.7857142857143,0.0,1.0,4.0,5953.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.586875329,1.6730360761463022E-7,36000.0,15.0,2.0,1.0,3764.0,250.93333333333334,1004.7857142857143,0.0,1.0,1.0,6953.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.628961014,1.714764315176362E-7,37000.0,19.0,2.0,1.0,3764.0,198.10526315789474,1221.6666666666667,0.0,1.0,4.0,16.0,28960.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,1.676658183,1.7660345658942023E-7,38000.0,22.0,2.0,1.0,3764.0,171.0909090909091,1059.047619047619,0.0,1.0,4.0,793.0,30560.0,3.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,1.719164053,1.8110903614335798E-7,39000.0,22.0,2.0,2.0,1882.0,171.0909090909091,1059.047619047619,0.5,1.0,1.0,1793.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.758837907,1.8534078190849267E-7,40000.0,22.0,3.0,2.0,1882.0,171.0909090909091,1059.047619047619,0.5,1.0,5.0,2793.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.796040876,1.8930897482759217E-7,41000.0,22.0,3.0,2.0,1882.0,171.0909090909091,1059.047619047619,0.5,1.0,2.0,3793.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.835612854,1.9352985415833485E-7,42000.0,22.0,4.0,2.0,1882.0,171.0909090909091,1059.047619047619,0.5,1.0,1.0,4793.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.900177934,2.0027707749069357E-7,43000.0,24.0,12.0,2.0,3759.5,313.2916666666667,1261.8181818181818,0.0,2.0,1.0,174.0,30560.0,2.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,1.965442803,2.067751475474549E-7,44000.0,29.0,12.0,2.0,3759.5,259.2758620689655,1070.037037037037,0.0,2.0,5.0,45.0,30560.0,5.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,2.036225053,2.142484037458338E-7,45000.0,29.0,12.0,2.0,3759.5,259.2758620689655,1070.037037037037,0.0,2.0,0.0,1045.0,30560.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,2.116708016,2.2226165712338563E-7,46000.0,34.0,12.0,2.0,3759.5,221.14705882352942,964.78125,0.0,2.0,5.0,66.0,30560.0,5.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,2.176928296,2.287348061983308E-7,47000.0,34.0,12.0,2.0,3759.5,221.14705882352942,964.78125,0.0,2.0,0.0,1066.0,30560.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49000.0,2.218778541,2.3319869309594855E-7,48000.0,34.0,12.0,2.0,3759.5,221.14705882352942,964.78125,0.0,2.0,5.0,2066.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,2.25838462,2.3742320975323724E-7,49000.0,34.0,12.0,2.0,3759.5,221.14705882352942,964.78125,0.0,2.0,0.0,3066.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51000.0,2.302228354,2.420815809966396E-7,50000.0,34.0,12.0,2.0,3759.5,221.14705882352942,964.78125,0.0,2.0,1.0,4066.0,30560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52000.0,2.341867434,2.462932101974491E-7,51000.0,34.0,12.0,2.0,3759.5,221.14705882352942,964.78125,0.0,2.0,4.0,5066.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
